suggested_sample_id	gsm	srr_list	inventory_name
AML_Patient_30886	GSM8791444	SRR32323358	AML Patient 30886
AML_Patient_30862	GSM8791443	SRR32323359	AML Patient 30862
AML_Patient_29538	GSM8791442	SRR32323360	AML Patient 29538
AML_Patient_29532	GSM8791441	SRR32323361	AML Patient 29532
AML_Patient_29512_PDX	GSM8791440	SRR32323362	AML Patient 29512 PDX
AML_Patient_28855	GSM8791439	SRR32323363	AML Patient 28855
AML_Patient_28830	GSM8791438	SRR32323364	AML Patient 28830
AML_Patient_28824	GSM8791437	SRR32323365	AML Patient 28824
AML_Patient_17844	GSM8791436	SRR32323366	AML Patient 17844
AML_Patient_17843	GSM8791435	SRR32323367	AML Patient 17843
AML_Patient_17746	GSM8791434	SRR32323368	AML Patient 17746
AML_Patient_16703	GSM8791433	SRR32323369	AML Patient 16703
AML_Patient_14666	GSM8791432	SRR32323370	AML Patient 14666
