gene,logFC,P.Value,adj.P.Val,logFC_depth,P_depth,q_depth,hit_baseline,hit_depth,reportable,tier,hierarchy_bin
INTS6,0.38381677079882,0.0419045008162537,0.183690278021646,0.347706547521055,0.0748201378112756,0.280540870295485,FALSE,FALSE,FALSE,primary,Mono_DC
EHMT2,0.370975580390587,0.0419397175721372,0.1837036418358,0.3371646293281,0.073471477097121,0.277799016344343,FALSE,FALSE,FALSE,primary,Mono_DC
UBE4B,-0.24795775434085,0.041940862285116,0.1837036418358,-0.235449053852363,0.0639890301127767,0.256799541590297,FALSE,FALSE,FALSE,primary,Mono_DC
MARCH6,0.306216238668656,0.0419939202632571,0.183790058168041,0.289766542022768,0.0641297580738258,0.257007724597909,FALSE,FALSE,FALSE,primary,Mono_DC
MED1,0.256863658976086,0.041978653770174,0.183790058168041,0.220168505657986,0.0949551964388201,0.318470457560747,FALSE,FALSE,FALSE,primary,Mono_DC
WDR76,0.714660480193092,0.0420138568746011,0.183804374244338,0.588977451832266,0.0957826983163905,0.320013231163915,FALSE,FALSE,FALSE,primary,Mono_DC
ANAPC11,-0.327426114165141,0.042039287174842,0.183842703509648,-0.36035704764061,0.029711909600027,0.172868463846682,FALSE,FALSE,FALSE,primary,Mono_DC
TPP2,0.323153264307717,0.0420972776795405,0.184023335524238,0.308797939579407,0.0628620648570478,0.254679952350555,FALSE,FALSE,FALSE,primary,Mono_DC
EVA1B,0.462115968031284,0.042163577194151,0.184240131883634,0.516101485594372,0.0262176261403598,0.160836656651094,FALSE,FALSE,FALSE,primary,Mono_DC
LENG1,-0.449656654827507,0.0422034986354921,0.184341539188452,-0.414591729319516,0.0696358200134188,0.269647897191914,FALSE,FALSE,FALSE,primary,Mono_DC
TMEM62,-0.334989746937258,0.0422310070867287,0.184388668709236,-0.367676197280217,0.0359181182780021,0.192085541904386,FALSE,FALSE,FALSE,primary,Mono_DC
GBGT1,-0.711867484154208,0.0422558627090965,0.18442418275371,-0.697530961192765,0.0559724318249001,0.239783324157877,FALSE,FALSE,FALSE,primary,Mono_DC
WSB1,-0.372500757000608,0.0423503155220917,0.184724975513276,-0.380665951637671,0.0426861462829559,0.20873994610896,FALSE,FALSE,FALSE,primary,Mono_DC
NTMT1,-0.351914480566751,0.0423588907692616,0.184724975513276,-0.393614863479691,0.0306848518585404,0.176103043652437,FALSE,FALSE,FALSE,primary,Mono_DC
HAUS8,-0.340430017992684,0.0423917774072084,0.184724975513276,-0.35673856208034,0.0425318671950917,0.2085142811217,FALSE,FALSE,FALSE,primary,Mono_DC
TXNL4A,-0.267307470078743,0.042389139811852,0.184724975513276,-0.309197079003572,0.023654580744157,0.152320293055905,FALSE,FALSE,FALSE,primary,Mono_DC
FASTKD3,-0.43755272437807,0.0424699515133565,0.184846525351543,-0.48250565450616,0.03253792882829,0.181576351529006,FALSE,FALSE,FALSE,primary,Mono_DC
POLD2,0.384509273553971,0.0424619025256205,0.184846525351543,0.394794927271878,0.0434659149943537,0.210728848369181,FALSE,FALSE,FALSE,primary,Mono_DC
CCS,-0.359878220406947,0.04244411021297,0.184846525351543,-0.30553948214555,0.0879063528211445,0.30561192972976,FALSE,FALSE,FALSE,primary,Mono_DC
GOLGA8M,1.42643823606223,0.0425749363203052,0.185230363975008,1.17314838595148,0.0907276110195733,0.310841529761765,FALSE,FALSE,FALSE,primary,Mono_DC
PLD3,0.662439149739525,0.0426578271506541,0.185299225866522,0.576730223808782,0.0816028845590778,0.293684772030824,FALSE,FALSE,FALSE,primary,Mono_DC
PPM1M,-0.544761944495288,0.0427055874530613,0.185299225866522,-0.505681666173004,0.0661527244088993,0.261939432378838,FALSE,FALSE,FALSE,primary,Mono_DC
SERTAD2,0.476032332213862,0.0427048791187301,0.185299225866522,0.462537454351959,0.0585649457478781,0.245190173268919,FALSE,FALSE,FALSE,primary,Mono_DC
TMEM120A,-0.462505165610861,0.0426600745849428,0.185299225866522,-0.467632699771072,0.0495720705558461,0.226073652475814,FALSE,FALSE,FALSE,primary,Mono_DC
SCLT1,-0.357384466065446,0.042692027031495,0.185299225866522,-0.384623538068524,0.0368306354629507,0.194136880321795,FALSE,FALSE,FALSE,primary,Mono_DC
MOSPD3,-0.351469470475777,0.0427083717610572,0.185299225866522,-0.378096441650399,0.0390788012050677,0.199621072822355,FALSE,FALSE,FALSE,primary,Mono_DC
PDCL,-0.328477982586404,0.0426848085841215,0.185299225866522,-0.333149713053994,0.0511216622070633,0.229789289718618,FALSE,FALSE,FALSE,primary,Mono_DC
CDC42EP2,-0.854399423825461,0.0427917108462319,0.185587801385408,-0.674686863876576,0.113973107486852,0.353625329477844,FALSE,FALSE,FALSE,primary,Mono_DC
UQCRHL,-0.504567225094957,0.0428277066857952,0.185648799545238,-0.510072700880275,0.0515996211541686,0.230768053865152,FALSE,FALSE,FALSE,primary,Mono_DC
PMF1,-0.317838166318654,0.0428394410048626,0.185648799545238,-0.355517288867521,0.0301972614057508,0.174603855304616,FALSE,FALSE,FALSE,primary,Mono_DC
PCYT2,0.346481591137814,0.0428595934759464,0.185663180065284,0.339979958537576,0.0573324748566042,0.242270538382363,FALSE,FALSE,FALSE,primary,Mono_DC
COA5,-0.341693086880534,0.0429321790728613,0.185904594815307,-0.333293147071034,0.0581249256689029,0.243926510696121,FALSE,FALSE,FALSE,primary,Mono_DC
NDEL1,-0.423967282325271,0.0430064365308633,0.186153056710711,-0.458992255553065,0.037261657592422,0.194987507166134,FALSE,FALSE,FALSE,primary,Mono_DC
PPIF,-0.724350294303261,0.0430871848089441,0.186341187579417,-0.746875976226466,0.0443888089951613,0.213191581599841,FALSE,FALSE,FALSE,primary,Mono_DC
AGAP4,0.422706984421404,0.0430940711850268,0.186341187579417,0.436803665700722,0.0421744984500412,0.207289272330916,FALSE,FALSE,FALSE,primary,Mono_DC
WDR60,0.377588564112751,0.0431024567885717,0.186341187579417,0.410799488893685,0.0323340488506163,0.18098933004433,FALSE,FALSE,FALSE,primary,Mono_DC
TMEM14B,-0.263475039375628,0.0431174821563761,0.186341187579417,-0.282146485425092,0.0363475454306208,0.193530188970218,FALSE,FALSE,FALSE,primary,Mono_DC
POP7,-0.27860259100806,0.0431479235089576,0.186399705593534,-0.291560414877871,0.043384391832133,0.210464324317727,FALSE,FALSE,FALSE,primary,Mono_DC
HTATIP2,-0.448313409607292,0.0432387022918991,0.186718734368581,-0.454746546963021,0.0480520208771747,0.223009178318857,FALSE,FALSE,FALSE,primary,Mono_DC
GPANK1,0.296781868661096,0.0432991278589225,0.186906489689259,0.245993304662265,0.0992312454271601,0.326073703377518,FALSE,FALSE,FALSE,primary,Mono_DC
