gene,logFC,P.Value,adj.P.Val,logFC_depth,P_depth,q_depth,hit_baseline,hit_depth,reportable,tier,hierarchy_bin
AC007952.4,-1.90979528944165,1.21107056661512e-08,0.000112399459287549,-1.76218128000367,5.73269818379162e-07,0.0056312294259385,TRUE,TRUE,TRUE,primary,T_NK
UVSSA,-0.740820093252576,7.46728018607438e-06,0.0231012758023188,-0.595204585691317,0.000339245875387861,0.115561019963729,FALSE,FALSE,FALSE,primary,T_NK
FBXL17,-0.646594010186386,5.50029574071342e-06,0.0231012758023188,-0.57028497234404,0.000156170434888008,0.1012218595841,FALSE,FALSE,FALSE,primary,T_NK
ZNF441,-1.31680421309823,3.28532326580298e-05,0.0609821704598349,-1.35332778036284,0.000103850707229413,0.0891799480934063,FALSE,FALSE,FALSE,primary,T_NK
SLC25A45,-0.872258335422845,2.9552676407959e-05,0.0609821704598349,-0.847428805805351,0.000190411517925595,0.1012218595841,FALSE,FALSE,FALSE,primary,T_NK
MTHFD2,0.77016478073021,6.75240345827098e-05,0.104448427493688,0.676366369786782,0.000799907082377651,0.15110552442684,FALSE,FALSE,FALSE,primary,T_NK
GSAP,-1.04451595102487,8.40280516958518e-05,0.111409192541314,-0.779185457312245,0.0022303131632478,0.216672788365094,FALSE,FALSE,FALSE,primary,T_NK
NPDC1,1.07883082775541,0.000464335668557787,0.128736377604443,1.03489295251639,0.0016813292388492,0.1963634295516,FALSE,FALSE,FALSE,primary,T_NK
TFB1M,-1.05157543109011,0.00011665187978195,0.128736377604443,-1.00876394082404,0.000656376851563696,0.14016499593283,FALSE,FALSE,FALSE,primary,T_NK
CHEK1,0.965636450522295,0.000302710757615552,0.128736377604443,0.834974710300225,0.0026577223769728,0.22124412634749,FALSE,FALSE,FALSE,primary,T_NK
OMA1,-0.944477249923044,0.000558403884232654,0.128736377604443,-0.841317812129454,0.00376300107532095,0.231024747267986,FALSE,FALSE,FALSE,primary,T_NK
FGFR1,0.930858849299016,0.000286789987697715,0.128736377604443,1.12294906427531,2.52910846450492e-05,0.0576596811629747,FALSE,FALSE,FALSE,primary,T_NK
KPNA2,0.918468758794971,0.000284239271002761,0.128736377604443,0.86931079830227,0.00101651343443738,0.166230664427362,FALSE,FALSE,FALSE,primary,T_NK
MMP25-AS1,-0.901907364528604,0.000132264983966967,0.128736377604443,-0.715921305136884,0.00256489436676924,0.22124412634749,FALSE,FALSE,FALSE,primary,T_NK
AMN1,-0.885208754159975,0.000330421679433846,0.128736377604443,-0.854293840035387,0.00114403443245679,0.169261472313695,FALSE,FALSE,FALSE,primary,T_NK
SLC16A11,-0.880628439593867,0.000523562191282143,0.128736377604443,-0.752562036597195,0.0053160979864016,0.238332632178915,FALSE,FALSE,FALSE,primary,T_NK
PLEKHF1,-0.874386372821743,0.000582580310245298,0.128736377604443,-0.881818680368574,0.00125787310179169,0.169261472313695,FALSE,FALSE,FALSE,primary,T_NK
ACTL6A,-0.865771567336929,0.000273770528546586,0.128736377604443,-0.963919247356173,0.000242265072448864,0.104176576349108,FALSE,FALSE,FALSE,primary,T_NK
CLCN3,-0.83983528500015,0.00015476898276878,0.128736377604443,-0.9237047014687,0.000145048046818189,0.1012218595841,FALSE,FALSE,FALSE,primary,T_NK
NR3C2,-0.801753527899835,0.00039206974458847,0.128736377604443,-0.853804249510065,0.000631719415500606,0.14016499593283,FALSE,FALSE,FALSE,primary,T_NK
YOD1,0.800131522361634,0.000268482372069874,0.128736377604443,0.811487103382701,0.000484308700485226,0.124593539903948,FALSE,FALSE,FALSE,primary,T_NK
