kind,dataset,sample,why,mtime,mb,from,to
infercnv_burden,GSE185381,GSM5613745_2019-07-01-count-2,absent from the QC report (dropped by the v2 ingest),2026-07-09T00:16:24Z,0.7,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613745_2019-07-01-count-2_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613745_2019-07-01-count-2_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613746_2019-07-01-count-3,absent from the QC report (dropped by the v2 ingest),2026-07-08T23:59:22Z,0.7,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613746_2019-07-01-count-3_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613746_2019-07-01-count-3_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613748_2019-08-01-count-2,absent from the QC report (dropped by the v2 ingest),2026-07-08T23:31:54Z,0.4,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613748_2019-08-01-count-2_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613748_2019-08-01-count-2_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613749_2019-08-01-count-3,absent from the QC report (dropped by the v2 ingest),2026-07-09T01:11:52Z,0.4,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613749_2019-08-01-count-3_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613749_2019-08-01-count-3_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613750_2019-08-01-count-4,absent from the QC report (dropped by the v2 ingest),2026-07-09T00:50:38Z,0.4,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613750_2019-08-01-count-4_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613750_2019-08-01-count-4_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613751_2019-08-29-count-1,absent from the QC report (dropped by the v2 ingest),2026-07-09T02:02:33Z,0.4,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613751_2019-08-29-count-1_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613751_2019-08-29-count-1_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613752_2019-08-29-count-2,absent from the QC report (dropped by the v2 ingest),2026-07-09T02:08:58Z,0.4,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613752_2019-08-29-count-2_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613752_2019-08-29-count-2_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613756_2019-10-25-count-5,absent from the QC report (dropped by the v2 ingest),2026-07-09T01:35:58Z,0.4,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613756_2019-10-25-count-5_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613756_2019-10-25-count-5_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613757_2019-11-04-count-1,absent from the QC report (dropped by the v2 ingest),2026-07-09T01:30:01Z,0.4,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613757_2019-11-04-count-1_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613757_2019-11-04-count-1_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613758_2019-11-04-count-2,absent from the QC report (dropped by the v2 ingest),2026-07-09T01:57:01Z,0.2,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613758_2019-11-04-count-2_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613758_2019-11-04-count-2_infercnv_burden.csv
