dataset,Sample,n_raw,n_after_mad,n_doublet,n_final,status,reason,ncount_lo,ncount_hi,nfeat_lo,nfeat_hi,mt_hi,hb_hi,med_ncount_final,med_nfeat_final,lowcomplexity_flag,dbl_method,ncount_lo_mad,nfeat_lo_mad,mt_hi_mad,n_fail_mad,n_fail_abs,mad_loss,dbl_rate_exp,dbl_rate_obs,platform,upstream_filtered,n_dbl_sc,n_dbl_df,n_dbl_both,dbl_jaccard
GSE201966,GSM6085176_AML01M4_CR,3500,1268,42,1226,PASS,OK,500,745233.864662562,200,84246.6211261833,7.78923079632471,8.93081967213115,2958.5,1245,FALSE,consensus_union,0.197865404394589,0.546134662553255,7.78923079632471,1090,1142,0.637714285714286,0.028,0.0331230283911672,10x,FALSE,13,29,0,0
GSE201966,GSM6085177_AML01M4_P,6000,2194,140,2054,PASS,OK,500,26105.9100933626,200,4679.81783129468,8.5880289209197,9.43358340218178,2771.5,1056,FALSE,consensus_union,3.2997125820142,7.11694369325181,8.5880289209197,1456,2350,0.634333333333333,0.048,0.0638103919781222,10x,FALSE,66,89,15,0.107142857142857
GSE201966,GSM6085178_AML01M4_RE,9000,7276,775,6501,PASS,OK,500,26528.3527532924,200,4729.14103527925,6.65370718867033,0.649836246276193,1896,721,FALSE,consensus_union,181.039209055449,142.182268404329,6.65370718867033,1724,0,0.191555555555556,0.072,0.1065145684442,10x,FALSE,417,460,102,0.131612903225806
GSE201966,GSM6085179_AML02M5_P,5520,2749,150,2599,PASS,OK,1372.32208226516,9911.18934525168,631.732152307158,2675.1844018512,10.3272509333385,0,3373,1217,FALSE,consensus_union,1372.32208226516,631.732152307158,10.3272509333385,2771,0,0.501992753623188,0.04416,0.0545652964714442,10x,FALSE,88,100,38,0.253333333333333
GSE201966,GSM6085180_AML02M5_RE,13619,10322,1484,8838,PASS,OK,1976.80620562413,44470.4067348093,870.635651483176,6610.34382200602,8.45924989098334,1.83538322168575,8186,2236,FALSE,consensus_union,1976.80620562413,870.635651483176,8.45924989098334,3297,0,0.242088259049857,0.1,0.143770587095524,10x,FALSE,955,938,409,0.275606469002695
GSE201966,GSM6085181_AML03M5_P,9196,7491,685,6806,PASS,OK,574.821772130574,11298.8970058091,387.438876398781,2706.42948830134,15.8114533263912,0,2404,987,FALSE,consensus_union,574.821772130574,387.438876398781,15.8114533263912,1705,0,0.185406698564593,0.073568,0.0914430650113469,10x,FALSE,450,476,241,0.351824817518248
GSE201966,GSM6085182_AML03M5_RE,5000,2635,157,2478,PASS,OK,500,128394.669396708,200,22968.2413287941,9.47006637634163,0.695426998356218,3062.5,1159,FALSE,consensus_union,17.8055912347605,20.4292959692894,9.47006637634163,2153,212,0.473,0.04,0.0595825426944972,10x,FALSE,78,84,5,0.0318471337579618
