dataset,Sample,n_cells,size_bin,rate_exp,rate_sc,rate_df,rate_union,rate_inter,jaccard,ratio_sc,ratio_df,ratio_union,ratio_inter
GSE116256,AML329-D0,425,<1k,0.02,0.0117647058823529,0.0141176470588235,0.0258823529411765,0,0,0.588235294117647,0.705882352941177,1.29411764705882,0
GSE239721,PT14A,636,<1k,0.005472,0.00314465408805031,0.00314465408805031,0.00628930817610063,0,0,0.574680937143698,0.574680937143698,1.1493618742874,0
E-MTAB-11536,A37-BMA,690,<1k,0.006568,0.00289855072463768,0.00579710144927536,0.00869565217391304,0,0,0.441314056735335,0.88262811347067,1.32394217020601,0
GSE147989,009C1D1BL,743,<1k,0.008184,0.00672947510094213,0.0053835800807537,0.00942126514131898,0.00269179004037685,0.285714285714286,0.822272128658618,0.657817702926894,1.15118098012206,0.328908851463447
GSE227903,6323_R,895,<1k,0.009024,0.00335195530726257,0.00782122905027933,0.0111731843575419,0,0,0.371448948056579,0.866714212132018,1.2381631601886,0
GSE185991,GSM5628177_M27,977,<1k,0.011648,0.00511770726714432,0.00921187308085977,0.0133060388945752,0.00102354145342886,0.0769230769230769,0.439363604665549,0.790854488397989,1.14234537213043,0.0878727209331099
GSE116256,AML556-D31,1105,1-3k,0.02,0.0081447963800905,0.016289592760181,0.0235294117647059,0.000904977375565611,0.0384615384615385,0.407239819004525,0.81447963800905,1.17647058823529,0.0452488687782805
E-MTAB-11536,A36-BMA,1106,1-3k,0.010664,0.0054249547920434,0.00904159132007233,0.0126582278481013,0.00180831826401447,0.142857142857143,0.5087166909268,0.847861151544668,1.18700561216253,0.169572230308934
GSE201966,GSM6085176_AML01M4_CR,1268,1-3k,0.028,0.0102523659305994,0.0228706624605678,0.0331230283911672,0,0,0.366155926092835,0.816809373591708,1.18296529968454,0
GSE185991,GSM5628187_M40,1988,1-3k,0.032488,0.0211267605633803,0.028672032193159,0.0412474849094567,0.0085513078470825,0.207317073170732,0.650294279838103,0.882542236923139,1.2696221653982,0.263214351363042
GSE147989,007C1D1BL,2397,1-3k,0.027456,0.0258656654151022,0.0233625365039633,0.0425531914893617,0.0066750104297038,0.156862745098039,0.942076974617651,0.850908235138523,1.54986857114517,0.243116638611007
GSE116256,BM4,3026,3-10k,0.02,0.0128883013879709,0.0178453403833444,0.0270984798413748,0.00363516192994052,0.134146341463415,0.644415069398546,0.892267019167218,1.35492399206874,0.181758096497026
GSE185991,GSM6412451_M88,3593,3-10k,0.061832,0.0428611188421932,0.0537155580295018,0.0854439187308656,0.0111327581408294,0.130293159609121,0.693186680718611,0.868733957004493,1.38187214922476,0.180048488498341
GSE227903,5750_Dg,4287,3-10k,0.043552,0.0436202472591556,0.0375554000466527,0.0608817354793562,0.0202939118264521,0.333333333333333,1.00156702927892,0.862311720395221,1.39790906225561,0.465969687418536
GSE185381,AML3730,4750,3-10k,0.040424,0.0345263157894737,0.0357894736842105,0.0610526315789474,0.00926315789473684,0.151724137931034,0.854104388221692,0.885352109741998,1.51030654014811,0.229149957815576
GSE207356,GSM6284913_TS173_05_Sample_E,6224,3-10k,0.076408,0.0457904884318766,0.0658740359897172,0.0890102827763496,0.0226542416452442,0.254512635379061,0.599289190030842,0.862135326009282,1.16493407465644,0.29649044138368
GSE201966,GSM6085181_AML03M5_P,7491,3-10k,0.073568,0.0600720865038046,0.0635429181684688,0.0914430650113469,0.0321719396609264,0.351824817518248,0.816551850040841,0.863730401376534,1.24297337172884,0.437308879688539
GSE227903,3904_R,10222,>10k,0.091416,0.0806104480532185,0.0803169634122481,0.129231070240657,0.0316963412248092,0.245268735806207,0.881798022810214,0.878587593115517,1.41365920889841,0.346726407027317
GSE201966,GSM6085180_AML02M5_RE,10322,>10k,0.1,0.0925208292966479,0.0908738616547181,0.143770587095524,0.0396241038558419,0.275606469002695,0.925208292966479,0.908738616547181,1.43770587095524,0.396241038558419
GSE207356,GSM6284912_TS173_04_Sample_D,10625,>10k,0.1,0.0763294117647059,0.0886588235294118,0.1008,0.0641882352941176,0.636788048552754,0.763294117647059,0.886588235294118,1.008,0.641882352941176
GSE289435,GSM8791435_MLL_17843,13788,>10k,0.1,0.0409776617348419,0.0859442993907746,0.110240789091964,0.0166811720336525,0.151315789473684,0.409776617348419,0.859442993907746,1.10240789091964,0.166811720336525
Petti2019,721214,13918,>10k,0.1,0.0808305791061934,0.0864348325908895,0.119413708866216,0.0478517028308665,0.40072202166065,0.808305791061934,0.864348325908895,1.19413708866216,0.478517028308665
