dataset,Sample,n_cells,size_bin,rate_exp,rate_sc,rate_df,rate_union,rate_inter,jaccard,n_selected,n_failed,ratio_sc,ratio_df,ratio_union,ratio_inter
GSE227903,5750_Dg,4287,3-10k,0.043552,0.0786097504082109,0.0375554000466527,0.0900396547702356,0.0261254956846279,0.290155440414508,28,0,1.8049630420695,0.862311720395221,2.06740573958109,0.599869022883632
GSE185381,AML3730,4750,3-10k,0.040424,0.072,0.0357894736842105,0.0917894736842105,0.016,0.174311926605505,28,0,1.78112012665743,0.885352109741998,2.27066776380889,0.39580447259054
GSE207356,GSM6284913_TS173_05_Sample_E,6224,3-10k,0.076408,0.0922236503856041,0.0658740359897172,0.122911311053985,0.0351863753213368,0.286274509803922,28,0,1.20698945641299,0.862135326009282,1.60861835218805,0.460506430234226
GSE201966,GSM6085181_AML03M5_P,7491,3-10k,0.073568,0.105726872246696,0.0635429181684688,0.126551862234682,0.0427179281804832,0.337552742616034,28,0,1.43713125607188,0.863730401376534,1.72020256408604,0.580659093362376
Chen2023,AML304,8533,3-10k,0.1,0.0983241532872378,0.0911754365404899,0.168522207898746,0.0209773819289816,0.124478442280946,28,0,0.983241532872378,0.911754365404899,1.68522207898746,0.209773819289816
GSE227903,3904_R,10222,>10k,0.091416,0.130600665231853,0.0803169634122481,0.168460183917042,0.0424574447270593,0.252032520325203,28,0,1.42864121414034,0.878587593115517,1.8427866447563,0.464442162499555
GSE201966,GSM6085180_AML02M5_RE,10322,>10k,0.1,0.14570819608603,0.0908738616547181,0.188916876574307,0.0476651811664406,0.252307692307692,28,0,1.4570819608603,0.908738616547181,1.88916876574307,0.476651811664406
GSE207356,GSM6284912_TS173_04_Sample_D,10625,>10k,0.1,0.136376470588235,0.0886588235294118,0.146729411764706,0.0783058823529412,0.533675432969852,28,0,1.36376470588235,0.886588235294118,1.46729411764706,0.783058823529412
Chen2023,AML24,12875,>10k,0.1,0.140271844660194,0.0887766990291262,0.167300970873786,0.061747572815534,0.36908077994429,28,0,1.40271844660194,0.887766990291262,1.67300970873786,0.61747572815534
Chen2023,NBM1,13708,>10k,0.1,0.107455500437701,0.0938138313393639,0.145462503647505,0.0558068281295594,0.383650952858576,28,0,1.07455500437701,0.938138313393639,1.45462503647505,0.558068281295594
GSE289435,GSM8791435_MLL_17843,13788,>10k,0.1,0.0991441833478387,0.0859442993907746,0.145633884537279,0.0394545982013345,0.270916334661355,28,0,0.991441833478387,0.859442993907746,1.45633884537279,0.394545982013345
Petti2019,721214,13918,>10k,0.1,0.106983762034775,0.0864348325908895,0.138166403218853,0.0552521914068113,0.399895995839834,28,0,1.06983762034775,0.864348325908895,1.38166403218853,0.552521914068113
