dataset,Sample,n_cells,size_bin,rate_exp,rate_sc,rate_df,rate_union,rate_inter,jaccard,n_selected,n_failed,ratio_sc,ratio_df,ratio_union,ratio_inter
GSE116256,AML329-D0,425,<1k,0.02,0.0329411764705882,0.0141176470588235,0.04,0.00705882352941177,0.176470588235294,28,0,1.64705882352941,0.705882352941177,2,0.352941176470588
GSE185381,PAWWEE,506,<1k,0.004376,0.033596837944664,0.00197628458498024,0.033596837944664,0.00197628458498024,0.0588235294117647,28,0,7.67752238223584,0.451618963660932,7.67752238223584,0.451618963660932
GSE239721,PT14A,636,<1k,0.005472,0.029874213836478,0.00314465408805031,0.0330188679245283,0,0,28,0,5.45946890286513,0.574680937143698,6.03414984000883,0
E-MTAB-11536,A37-BMA,690,<1k,0.006568,0.027536231884058,0.00579710144927536,0.0333333333333333,0,0,28,0,4.19248353898568,0.88262811347067,5.07511165245635,0
GSE147989,009C1D1BL,743,<1k,0.008184,0.0296096904441454,0.0053835800807537,0.0309555854643338,0.00403768506056528,0.130434782608696,28,0,3.61799736609792,0.657817702926894,3.78245179182964,0.493363277195171
GSE227903,6323_R,895,<1k,0.009024,0.0324022346368715,0.00782122905027933,0.0346368715083799,0.00558659217877095,0.161290322580645,28,0,3.59067316454693,0.866714212132018,3.83830579658465,0.619081580094299
GSE185991,GSM5628177_M27,977,<1k,0.011648,0.0307062436028659,0.00921187308085977,0.0358239508700102,0.00409416581371546,0.114285714285714,28,0,2.6361816279933,0.790854488397989,3.07554523265885,0.35149088373244
GSE116256,AML556-D31,1105,1-3k,0.02,0.0416289592760181,0.016289592760181,0.0570135746606335,0.000904977375565611,0.0158730158730159,28,0,2.0814479638009,0.81447963800905,2.85067873303167,0.0452488687782805
E-MTAB-11536,A36-BMA,1106,1-3k,0.010664,0.0289330922242315,0.00904159132007233,0.0343580470162749,0.00361663652802893,0.105263157894737,28,0,2.71315568494294,0.847861151544668,3.22187237586974,0.339144460617867
GSE201966,GSM6085176_AML01M4_CR,1268,1-3k,0.028,0.0362776025236593,0.0228706624605678,0.0583596214511041,0.000788643533123028,0.0135135135135135,28,0,1.29562866155926,0.816809373591708,2.08427219468229,0.0281658404686796
GSE185991,GSM5628187_M40,1988,1-3k,0.032488,0.0543259557344064,0.028672032193159,0.0694164989939638,0.0135814889336016,0.195652173913043,28,0,1.67218529101226,0.882542236923139,2.13668120518234,0.418046322753066
Chen2023,AML103,2057,1-3k,0.020984,0.0481283422459893,0.0179873602333495,0.0539620807000486,0.0121536217792902,0.225225225225225,28,0,2.29357330566095,0.857194063731869,2.57158219119561,0.579185178197209
GSE185381,Control2,2059,1-3k,0.019912,0.0466245750364254,0.0174842156386595,0.0616804273919378,0.00242836328314716,0.0393700787401575,28,0,2.34153149037894,0.878074308892103,3.09765103414714,0.121954765123903
GSE147989,007C1D1BL,2397,1-3k,0.027456,0.0529828952857739,0.0233625365039633,0.064246975385899,0.0120984564038381,0.188311688311688,28,0,1.92973831897486,0.850908235138523,2.33999764663094,0.440648907482449
GSE116256,BM4,3026,3-10k,0.02,0.0459352280237938,0.0178453403833444,0.054857898215466,0.00892267019167218,0.162650602409639,28,0,2.29676140118969,0.892267019167218,2.7428949107733,0.446133509583609
GSE185991,GSM6412451_M88,3593,3-10k,0.061832,0.0748677984970777,0.0537155580295018,0.11355413303646,0.0150292234901197,0.132352941176471,28,0,1.21082608515134,0.868733957004493,1.83649458268307,0.24306545947276
