dataset,Sample,n_raw,n_after_mad,n_doublet,n_final,status,reason,ncount_lo,ncount_hi,nfeat_lo,nfeat_hi,mt_hi,hb_hi,med_ncount_final,med_nfeat_final,lowcomplexity_flag,dbl_method,ncount_lo_mad,nfeat_lo_mad,mt_hi_mad,n_fail_mad,n_fail_abs,mad_loss,dbl_rate_exp,dbl_rate_obs,platform,upstream_filtered,n_dbl_sc,n_dbl_df,n_dbl_both,dbl_jaccard
GSE185381,AML0612,10054,9394,925,8469,PASS,OK,1076.80908842809,22823.7338114194,539.113313238276,4234.95570214366,16.5154539573877,0.18529284078925,4837,1484,FALSE,consensus_union,1076.80908842809,539.113313238276,16.5154539573877,660,0,0.0656455142231948,0.080432,0.098467106663828,10x,FALSE,428,668,171,0.184864864864865
GSE185381,AML3762,8350,6352,581,5771,PASS,OK,924.972453018739,31618.7405414629,375.988399381516,5920.56564421076,15.8120533850207,0.270391233240047,5236,1547,FALSE,consensus_union,924.972453018739,375.988399381516,15.8120533850207,1998,0,0.239281437125749,0.0668,0.0914672544080605,10x,FALSE,288,380,87,0.14974182444062
GSE185381,AML0160,2186,1977,51,1926,PASS,OK,1403.8667433969,15273.1946253805,660.828522079578,3303.43792233762,12.8296186918817,0.196181879913382,4765.5,1505.5,FALSE,consensus_union,1403.8667433969,660.828522079578,12.8296186918817,209,0,0.095608417200366,0.017488,0.0257966616084977,10x,FALSE,28,29,6,0.117647058823529
GSE185381,AML0310,4597,4335,196,4139,PASS,OK,1475.10418072516,10545.1101035814,623.495409683065,2426.48137661356,15.1627575654503,0.218676213965546,3925,1228,FALSE,consensus_union,1475.10418072516,623.495409683065,15.1627575654503,262,0,0.0569936915379595,0.036776,0.0452133794694348,10x,FALSE,90,133,27,0.137755102040816
GSE185381,AML3133,2499,2167,71,2096,PASS,OK,745.085980330665,12030.8746059372,422.480202759191,2614.56274823275,11.841316605806,0.2872243420075,2973,1047,FALSE,consensus_union,745.085980330665,422.480202759191,11.841316605806,332,0,0.132853141256503,0.019992,0.0327641901245962,10x,FALSE,33,38,0,0
GSE185381,Control4,5858,5431,378,5053,PASS,OK,612.105704032869,20386.2762882045,395.203184515509,4126.30531304842,14.2463975991346,0.135974044299161,3328,1225,FALSE,consensus_union,612.105704032869,395.203184515509,14.2463975991346,427,0,0.0728917719358143,0.046864,0.0696004419075677,10x,FALSE,174,231,27,0.0714285714285714
GSE185381,Control2,2489,2059,65,1994,PASS,OK,1860.95131105603,19982.0402495637,799.57143815912,3546.71998605789,10.5283621947895,0.118728864068875,6295,1715.5,FALSE,consensus_union,1860.95131105603,799.57143815912,10.5283621947895,430,0,0.1727601446364,0.019912,0.0315687226809131,10x,FALSE,33,36,4,0.0615384615384615
GSE185381,Control1,2995,2755,98,2657,PASS,OK,1227.25350587055,28556.7731787736,508.03831924388,5268.29551751818,10.8162032672595,0.113631579785772,5836,1619,FALSE,consensus_union,1227.25350587055,508.03831924388,10.8162032672595,240,0,0.0801335559265443,0.02396,0.0355716878402904,10x,FALSE,45,58,5,0.0510204081632653
GSE185381,Control3,4008,3748,188,3560,PASS,OK,700.420651244092,13163.9922147109,486.452105255758,2876.93070886023,14.4273178319974,0.161711789047587,2875.5,1148.5,FALSE,consensus_union,700.420651244092,486.452105255758,14.4273178319974,260,0,0.064870259481038,0.032064,0.0501600853788687,10x,FALSE,83,106,1,0.00531914893617021
GSE185381,Control5,4307,2653,138,2515,PASS,OK,500,6179.91393461459,232.771810330304,2333.4827324204,15.8052901154952,0,1203,665,FALSE,consensus_union,312.192211803079,232.771810330304,15.8052901154952,1654,0,0.384026004179243,0.034456,0.0520165849981153,10x,FALSE,61,80,3,0.0217391304347826
