dataset,Sample,n_raw,n_after_mad,n_doublet,n_final,status,reason,ncount_lo,ncount_hi,nfeat_lo,nfeat_hi,mt_hi,hb_hi,med_ncount_final,med_nfeat_final,lowcomplexity_flag,dbl_method,ncount_lo_mad,nfeat_lo_mad,mt_hi_mad,n_fail_mad,n_fail_abs,mad_loss,dbl_rate_exp,dbl_rate_obs,platform,upstream_filtered,n_dbl_sc,n_dbl_df,n_dbl_both,dbl_jaccard
GSE116256,AML314-D0,162,137,1,136,P2-exclude,n_final=136 < 300,500,5384.03165618512,290.191937008731,1652.54763775732,1.94385600172042,0.325554498968012,1595.5,699,FALSE,consensus_union,466.900672307928,290.191937008731,1.94385600172042,25,0,0.154320987654321,0.02,0.0072992700729927,SeqWell,TRUE,0,1,0,0
GSE116256,AML314-D31,346,292,6,286,P2-exclude,n_final=286 < 300,500,13368.7081801882,200,4058.16616197122,3.68155977179512,22.035158909799,1887.5,838.5,FALSE,consensus_union,285.74698082356,173.871392111076,3.68155977179512,54,0,0.15606936416185,0.02,0.0205479452054795,SeqWell,TRUE,1,5,0,0
GSE116256,AML329-D37,224,179,2,177,P2-exclude,n_final=177 < 300,500,20211.4154964592,207.665221411367,4282.12289932977,3.77479194706041,0.291086248397338,2724,942,FALSE,consensus_union,392.895787105617,207.665221411367,3.77479194706041,45,0,0.200892857142857,0.02,0.0111731843575419,SeqWell,TRUE,0,2,0,0
GSE116256,AML371-D34,204,157,6,151,P2-exclude,n_final=151 < 300,500,10207.7088563029,216.965891659905,3152.16827293774,2.30312985226823,0.555393163905368,1690,761,FALSE,consensus_union,311.940715083568,216.965891659905,2.30312985226823,47,0,0.230392156862745,0.02,0.0382165605095541,SeqWell,TRUE,4,2,0,0
GSE116256,AML475-D29,102,55,0,55,P2-exclude,n_final=55 < 300,500,55477.688535048,200,6959.29949181674,4.37229193209942,1.13937255988214,3680,997,FALSE,skipped_lowN,211.502503255652,143.26154538576,4.37229193209942,47,0,0.46078431372549,0.02,,SeqWell,TRUE,,,,
GSE116256,AML707B-D41,387,293,5,288,P2-exclude,n_final=288 < 300,500,8335.19287290511,247.290282338152,3067.81565707711,2.61235692505216,0,1900,824.5,FALSE,consensus_union,474.628609118334,247.290282338152,2.61235692505216,94,0,0.242894056847545,0.02,0.0170648464163823,SeqWell,TRUE,1,4,0,0
GSE116256,AML707B-D97,84,57,0,57,P2-exclude,n_final=57 < 300,500,7823.34337898578,271.13848031549,2110.67790648566,5.49215726945306,0.352040573021584,1709,754,FALSE,skipped_lowN,422.897454416593,271.13848031549,5.49215726945306,27,0,0.321428571428571,0.02,,SeqWell,TRUE,,,,
GSE116256,AML722B-D0,79,59,0,59,P2-exclude,n_final=59 < 300,587.588336357564,6504.59643854161,293.436173503055,1796.22026046667,4.22320042403488,0,1931,726,FALSE,skipped_lowN,587.588336357564,293.436173503055,4.22320042403488,20,0,0.253164556962025,0.02,,SeqWell,TRUE,,,,
GSE116256,AML722B-D49,73,52,0,52,P2-exclude,n_final=52 < 300,531.896700911603,6666.12331665743,253.566694953118,2289.906409465,1.93497242557345,0.939083153483748,1707,693,FALSE,skipped_lowN,531.896700911603,253.566694953118,1.93497242557345,21,0,0.287671232876712,0.02,,SeqWell,TRUE,,,,
GSE116256,AML870-D14,96,73,0,73,P2-exclude,n_final=73 < 300,510.569462127898,5264.03202572804,283.379967059745,1418.37831435438,2.243785797862,0,1555,596,FALSE,skipped_lowN,510.569462127898,283.379967059745,2.243785797862,23,0,0.239583333333333,0.02,,SeqWell,TRUE,,,,
GSE116256,AML997-D0,83,67,0,67,P2-exclude,n_final=67 < 300,587.008687721046,18417.0085147658,214.057667135133,3164.23611013385,1.58306343260901,0.192430854412969,3682,859,FALSE,skipped_lowN,587.008687721046,214.057667135133,1.58306343260901,16,0,0.192771084337349,0.02,,SeqWell,TRUE,,,,
GSE116256,AML997-D35,187,124,1,123,P2-exclude,n_final=123 < 300,543.207566342275,15100.1136733644,244.381101701234,1953.83766042491,2.72752156744785,17.9663282270074,2596,656,FALSE,consensus_union,543.207566342275,244.381101701234,2.72752156744785,63,0,0.336898395721925,0.02,0.00806451612903226,SeqWell,TRUE,0,1,0,0
GSE116256,BM1,108,87,0,87,P2-exclude,n_final=87 < 300,500,15690.4732200159,200,3813.20382541128,4.07036449843107,0.961347905804786,2092,807,FALSE,skipped_lowN,315.091835069268,184.379338789782,4.07036449843107,21,0,0.194444444444444,0.02,,SeqWell,TRUE,,,,
GSE116256,BM2,188,147,5,142,P2-exclude,n_final=142 < 300,500,25549.406739193,200,5320.39259951213,3.70865129897737,0.308168334514469,2908,950,FALSE,consensus_union,337.037493195116,174.485619742634,3.70865129897737,41,0,0.218085106382979,0.02,0.0340136054421769,SeqWell,TRUE,3,2,0,0
