MP,sig_len,tau,SRRS,passes
MP4,100,0.25,1,TRUE
MP5,100,0.25,0.333333333333333,FALSE
MP6,100,0.25,0.222222222222222,FALSE
MP7,100,0.25,0.888888888888889,TRUE
MP8,100,0.25,0.444444444444444,FALSE
MP9,100,0.25,0.555555555555556,FALSE
MP1,100,0.3,0.222222222222222,FALSE
MP10,100,0.3,0.222222222222222,FALSE
MP2,100,0.3,0.333333333333333,FALSE
MP3,100,0.3,0.777777777777778,TRUE
MP4,100,0.3,1,TRUE
MP5,100,0.3,0.222222222222222,FALSE
MP6,100,0.3,0.222222222222222,FALSE
MP7,100,0.3,0.888888888888889,TRUE
MP8,100,0.3,0.333333333333333,FALSE
MP9,100,0.3,0.222222222222222,FALSE
