MP,sampleCoverage,silhouette,meanSimilarity,numberGenes,numberPrograms
MP1,0.97029702970297,-0.0309248520688144,0.019,1,1393
MP2,0.702970297029703,0.035981796437931,0.087,74,529
MP3,0.633663366336634,0.371083884638256,0.385,18,303
MP4,0.603960396039604,0.108313776177434,0.141,57,293
MP5,0.475247524752475,0.0753158696330129,0.122,62,213
MP6,0.455445544554456,0.0613733787869301,0.114,81,190
MP7,0.425742574257426,0.126916662708604,0.159,18,212
MP8,0.425742574257426,0.0440875785111101,0.074,38,275
MP9,0.405940594059406,0.0667389607410041,0.091,45,202
MP10,0.376237623762376,0.0201013555790026,0.069,87,314
