dataset,sample,hierarchy_bin,signal_strength,signal_mass
Chen2023,AML103,HSC_MPP,0.0,1.0953400079948606e-07
Chen2023,AML103,LMPP_GMP,2.719678730210137,0.2978972922091824
Chen2023,AML103,Mono_DC,4.507128696242912,0.4936838382176577
Chen2023,AML103,Erythroid,0.0,1.0953400079948606e-07
Chen2023,AML103,Megakaryocyte,0.0,1.0953400079948606e-07
Chen2023,AML103,T_NK,1.075661341450895,0.11782149023445859
Chen2023,AML103,B_Plasma,0.827113499693549,0.09059705073669891
Chen2023,AML162,HSC_MPP,2.8506850789882723,0.20176952758549643
Chen2023,AML162,LMPP_GMP,3.202674946652813,0.226683128122095
Chen2023,AML162,Mono_DC,3.0124763539535797,0.21322100265646113
Chen2023,AML162,Erythroid,1.2580905720796132,0.08904678466916507
Chen2023,AML162,Megakaryocyte,0.9571820417842888,0.06774868602907202
Chen2023,AML162,T_NK,1.8544559742972182,0.13125711732242543
Chen2023,AML162,B_Plasma,0.9928572628030019,0.07027375361528489
Chen2023,AML24,HSC_MPP,2.196651650294246,0.17294865914798668
Chen2023,AML24,LMPP_GMP,2.621726097798109,0.20641598462219954
Chen2023,AML24,Mono_DC,0.5840520303772279,0.045984084692204205
Chen2023,AML24,Erythroid,0.9715390834962657,0.07649204723836643
Chen2023,AML24,Megakaryocyte,1.2514854459495308,0.09853302401916962
Chen2023,AML24,T_NK,3.1249593476261825,0.24603697586347845
Chen2023,AML24,B_Plasma,1.95076402988149,0.153589224416595
Chen2023,AML304,HSC_MPP,1.3741914521916443,0.22707806454287388
Chen2023,AML304,LMPP_GMP,1.720112020180724,0.2842396579578627
Chen2023,AML304,Mono_DC,1.7815111156909316,0.2943855424711922
Chen2023,AML304,Erythroid,0.0,1.6524485302300194e-07
Chen2023,AML304,Megakaryocyte,0.2050279471731742,0.03387981299623898
Chen2023,AML304,T_NK,0.8205892994500079,0.1355981581798647
Chen2023,AML304,B_Plasma,0.15019286926691658,0.024818598607114578
Chen2023,AML320,HSC_MPP,1.4388363768662522,0.31088369038244246
Chen2023,AML320,LMPP_GMP,0.9815138174811316,0.2120718120878156
Chen2023,AML320,Mono_DC,0.059343184401028905,0.012822047358726585
Chen2023,AML320,Erythroid,0.8298604905120734,0.17930467698827082
Chen2023,AML320,Megakaryocyte,0.18976472418694612,0.04100171409909247
Chen2023,AML320,T_NK,0.39172973434398484,0.08463949577826956
Chen2023,AML320,B_Plasma,0.7371660860822298,0.1592765633053825
Chen2023,NBM1,HSC_MPP,2.0591057537002735,0.18528709762134205
Chen2023,NBM1,LMPP_GMP,3.2408347801964466,0.2916241039168633
Chen2023,NBM1,Mono_DC,2.1892830012869386,0.19700100028919842
Chen2023,NBM1,Erythroid,1.259751432758247,0.11335779441179648
Chen2023,NBM1,Megakaryocyte,1.0317778794239691,0.09284376401009173
Chen2023,NBM1,T_NK,0.5028072565629478,0.045244736490139076
Chen2023,NBM1,B_Plasma,0.8294951499686727,0.07464150326056894
Chen2023,NBM2,HSC_MPP,3.6181287955334005,0.20970462611386617
Chen2023,NBM2,LMPP_GMP,4.005429100262831,0.23215232496232524
Chen2023,NBM2,Mono_DC,4.818839269416138,0.27929710201119307
Chen2023,NBM2,Erythroid,2.046925826266322,0.11863862215460844
Chen2023,NBM2,Megakaryocyte,0.0,5.795941437263031e-08
Chen2023,NBM2,T_NK,1.5097204862098548,0.08750251524708588
Chen2023,NBM2,B_Plasma,1.2544079738983642,0.07270475155150692
Chen2023,NBM3,HSC_MPP,0.9688337752195769,0.1637570492108577
Chen2023,NBM3,LMPP_GMP,1.0729373629555792,0.18135314956981521
Chen2023,NBM3,Mono_DC,0.33617029229252104,0.056821156018944705
Chen2023,NBM3,Erythroid,0.973270514499265,0.1645069687028727
Chen2023,NBM3,Megakaryocyte,0.4705808621011129,0.07953989153125329
Chen2023,NBM3,T_NK,1.7384404495257457,0.2938397540678355
Chen2023,NBM3,B_Plasma,0.3560541941655383,0.06018203089842089
Chen2023,NBM4,HSC_MPP,2.2731271887400863,0.14298226124647262
Chen2023,NBM4,LMPP_GMP,3.0170289323138606,0.18977451905248044
Chen2023,NBM4,Mono_DC,1.892602601047252,0.1190468359531965
Chen2023,NBM4,Erythroid,2.1146193033695226,0.13301193666985198
Chen2023,NBM4,Megakaryocyte,2.5455169181138544,0.1601158821186786
Chen2023,NBM4,T_NK,2.7014176997534305,0.16992221693326254
Chen2023,NBM4,B_Plasma,1.353653782173148,0.08514634802605738
E-MTAB-11536,637C-BMA,HSC_MPP,0.0,5.97273687301471e-08
E-MTAB-11536,637C-BMA,LMPP_GMP,0.0,5.97273687301471e-08
E-MTAB-11536,637C-BMA,Mono_DC,6.368398107502701,0.3803676619871848
E-MTAB-11536,637C-BMA,Erythroid,0.0,5.97273687301471e-08
E-MTAB-11536,637C-BMA,Megakaryocyte,0.0,5.97273687301471e-08
E-MTAB-11536,637C-BMA,T_NK,6.3280563095175975,0.3779581525436914
E-MTAB-11536,637C-BMA,B_Plasma,4.046284838891038,0.2416739465596489
E-MTAB-11536,640C-BMA,HSC_MPP,5.7906312225989,0.20444355989507984
E-MTAB-11536,640C-BMA,LMPP_GMP,4.473107003715901,0.1579271558620955
E-MTAB-11536,640C-BMA,Mono_DC,7.26523446251793,0.25650578320250034
E-MTAB-11536,640C-BMA,Erythroid,0.0,3.530591951654681e-08
E-MTAB-11536,640C-BMA,Megakaryocyte,0.0,3.530591951654681e-08
E-MTAB-11536,640C-BMA,T_NK,5.856325808710745,0.2067629676650175
E-MTAB-11536,640C-BMA,B_Plasma,4.938561724238633,0.17436046276346784
E-MTAB-11536,A29-BMA,HSC_MPP,0.0,5.925722316285091e-08
E-MTAB-11536,A29-BMA,LMPP_GMP,2.3136565893876475,0.13710086483954437
E-MTAB-11536,A29-BMA,Mono_DC,4.684921104345188,0.27761541538053275
E-MTAB-11536,A29-BMA,Erythroid,0.0,5.925722316285091e-08
E-MTAB-11536,A29-BMA,Megakaryocyte,0.0,5.925722316285091e-08
E-MTAB-11536,A29-BMA,T_NK,6.210075464746728,0.367991827672642
E-MTAB-11536,A29-BMA,B_Plasma,3.6669236717091787,0.21729171433561148
