,B_Plasma$B_Plasma,B_Plasma$HSC_MPP,B_Plasma$LMPP_GMP,B_Plasma$Mono_DC,B_Plasma$T_NK,Erythroid$B_Plasma,Erythroid$Erythroid,Erythroid$HSC_MPP,Erythroid$LMPP_GMP,Erythroid$Mono_DC,Erythroid$T_NK,HSC_MPP$B_Plasma,HSC_MPP$Erythroid,HSC_MPP$HSC_MPP,HSC_MPP$LMPP_GMP,HSC_MPP$Mono_DC,HSC_MPP$T_NK,LMPP_GMP$B_Plasma,LMPP_GMP$Erythroid,LMPP_GMP$HSC_MPP,LMPP_GMP$LMPP_GMP,LMPP_GMP$Mono_DC,LMPP_GMP$T_NK,Megakaryocyte$B_Plasma,Megakaryocyte$LMPP_GMP,Megakaryocyte$Megakaryocyte,Megakaryocyte$Mono_DC,Megakaryocyte$T_NK,Mono_DC$B_Plasma,Mono_DC$Erythroid,Mono_DC$HSC_MPP,Mono_DC$LMPP_GMP,Mono_DC$Mono_DC,Mono_DC$T_NK,T_NK$B_Plasma,T_NK$HSC_MPP,T_NK$LMPP_GMP,T_NK$Mono_DC,T_NK$T_NK
B_Plasma$B_Plasma,0.0,0.29313094270903195,0.28953069505038154,0.28990992088252454,0.2865868752036196,0.282441763029997,0.28776794374879017,0.3058035184176806,0.24789234421913453,0.30731909026642096,0.31170651414672496,0.35337375465217413,0.34556991397018505,0.3422420137114366,0.34635402904165696,0.3458556465821551,0.35856030372962994,0.3476696979456007,0.35680001059288036,0.3498141258015583,0.3504710001007478,0.3703742057463655,0.3538181335939258,0.35107142430750266,0.35947301430396006,0.35258400495340986,0.3583111995203915,0.35621420833097384,0.35602425472978744,0.3626683300775874,0.3593383403895409,0.3545745768452526,0.356746735611449,0.3592856559195724,0.35988374132001316,0.379831838575509,0.35270463297739213,0.3801297876414535,0.3778656833805135
B_Plasma$HSC_MPP,0.29313094270903195,0.0,0.3258994411894332,0.3255644290189933,0.3274203638003304,0.29745082092285885,0.298495547564685,0.3116627647283374,0.2936839407826219,0.3066128705177688,0.3116690953429462,0.3030382807039758,0.30851397511638146,0.310697499602027,0.3061801392444445,0.31394818558272053,0.35515993773838106,0.34455421387593455,0.3770386169505424,0.35878733805074725,0.36275445046448873,0.3573751002892625,0.3399538076973615,0.35920687282658265,0.3751038887310871,0.3613493236595062,0.34156054728712437,0.359163320495399,0.3588051893238917,0.3755072944384426,0.367230916236857,0.34144607595799426,0.36591567652004764,0.3633698563638681,0.36068772084536643,0.3835360156690497,0.3858083996634043,0.3799785584144364,0.3856677874785412
B_Plasma$LMPP_GMP,0.28953069505038154,0.3258994411894332,0.0,0.32274780947843457,0.32327092518371964,0.2929360530932411,0.2986355047182627,0.3009474927797408,0.2835877009424761,0.30818036524934433,0.31235230821065413,0.34938153860326754,0.3614745851019712,0.3385690496908406,0.35081825644684994,0.35515310765393415,0.29983324062128724,0.2996021307604361,0.3125224331522062,0.30592029620584893,0.31099987920796285,0.35713668696415235,0.35232673149718413,0.34124760042227265,0.37022165133897206,0.3576729810864021,0.3547773803541412,0.3413314013059981,0.3564288782784503,0.37046973234915126,0.361049565966474,0.3566522333996166,0.3398841041981719,0.3591340834841949,0.3567860996997603,0.3394419974895522,0.36826002679929065,0.37645678074011213,0.3800366631856696
B_Plasma$Mono_DC,0.28990992088252454,0.3255644290189933,0.32274780947843457,0.0,0.31901561876677853,0.28520127909898685,0.29282950368559524,0.31123628274842036,0.2749462867045731,0.30362059549297793,0.3124082754773049,0.34290922572188437,0.3494514569592528,0.34404866805879675,0.3293976216898206,0.3461004429489974,0.3477655969522903,0.3449260396155671,0.36070554498900703,0.3370240525228131,0.3505947665916312,0.30461285317868647,0.29806374866416185,0.305426579366483,0.3134333948903183,0.31164810706400436,0.3500920923148126,0.3511237493303899,0.3387464108094096,0.36291410801430835,0.35051841771838044,0.34669256236265233,0.350967985709708,0.33366137914088206,0.34977846851194383,0.3744115463976326,0.35782550932652946,0.33940546811473365,0.3744133570342643
B_Plasma$T_NK,0.2865868752036196,0.3274203638003304,0.32327092518371964,0.31901561876677853,0.0,0.29130278222330414,0.2913024289685049,0.3068594732123654,0.26961664555909676,0.3089386519200965,0.29983788518504734,0.34602467799124215,0.3453257628318948,0.34047057996565383,0.34217204457578715,0.3307574909259719,0.3504301653448035,0.34327388503637435,0.35615477685911145,0.34600392864792673,0.33757001441671547,0.3599045973706202,0.34701438426646397,0.34692186792720403,0.35804349472285174,0.3375247829712257,0.2991998929812372,0.30218836819634143,0.30669058928595627,0.3097354711213075,0.35615867921908284,0.3509247944792981,0.3538562818597997,0.3552397232035633,0.3342254921024212,0.37319040833365286,0.35116760796898266,0.3727436321773347,0.34138594364413977
Erythroid$B_Plasma,0.282441763029997,0.29745082092285885,0.2929360530932411,0.28520127909898685,0.29130278222330414,0.0,0.32350606579213437,0.33039555184898484,0.33020734638660343,0.32942199432641356,0.3364007460657476,0.2905329981576271,0.34256469503597525,0.33748570422299534,0.337264335227665,0.34487075407354895,0.30287036210354795,0.34014067901691847,0.3523360639637753,0.3405300632219458,0.34789552459769746,0.30542734904860436,0.34216201250035705,0.3412200662271661,0.3512270434731959,0.34784213853261764,0.3497464774049754,0.3484239922239779,0.34702105146216594,0.3627576849031098,0.2828236810143922,0.3325085516661596,0.3343700699068815,0.3341665429001822,0.33532936379365474,0.3732319106197332,0.3701278607105604,0.37102728549541275,0.3811830450176188
Erythroid$Erythroid,0.28776794374879017,0.298495547564685,0.2986355047182627,0.29282950368559524,0.2913024289685049,0.32350606579213437,0.0,0.3311098059791915,0.33177403960613777,0.33025842443718095,0.3334207528929882,0.32674274578993645,0.2815248309269678,0.32193337654421283,0.32210354158630666,0.3225521002332992,0.34727945536188387,0.2991676662487013,0.3520453284797911,0.3415425566936083,0.34304306311150196,0.35497327685528296,0.2989682212712676,0.3420575298077523,0.35131254149480395,0.34263293122403576,0.3043202508641698,0.34587610516766204,0.3443864748153033,0.3538158320183673,0.3486341970061504,0.28455322621060003,0.3478248241150933,0.3481111128949818,0.3477160731615175,0.37269803669009044,0.36565967635451,0.370704644413992,0.37073774808089355
Erythroid$HSC_MPP,0.3058035184176806,0.3116627647283374,0.3009474927797408,0.31123628274842036,0.3068594732123654,0.33039555184898484,0.3311098059791915,0.0,0.3386377830435088,0.3359952790126635,0.33868460666098615,0.3451365352617611,0.34499873613100607,0.2886274975047642,0.3417990974288619,0.34186068383283197,0.32169971571632205,0.3137826181974307,0.2894260702180766,0.31440662536372405,0.3144626344587762,0.35908097750627693,0.3478167084992989,0.3052937092277895,0.3556095327518881,0.34662731430735916,0.3510647027287235,0.30880080627934986,0.3486612868186799,0.3567883887308406,0.35010848925753935,0.3476895516916313,0.28623236115201794,0.35074609492126996,0.34994078770527526,0.27776658517176983,0.35005272987963654,0.3721066138860462,0.3710233857078911
Erythroid$LMPP_GMP,0.24789234421913453,0.2936839407826219,0.2835877009424761,0.2749462867045731,0.26961664555909676,0.33020734638660343,0.33177403960613777,0.3386377830435088,0.0,0.3389522461856132,0.3413080375084236,0.3714432240573573,0.3665775955466614,0.3601260869733377,0.36274752758968687,0.3630310121632128,0.37222670739829655,0.3621429029602305,0.3719352731719263,0.3628490133021294,0.3639033786417546,0.3824423289523924,0.36664934593085935,0.3635965904359978,0.3741089282322541,0.36533309457989305,0.3695337870614529,0.3665437077165471,0.3667653234814499,0.37546899452499344,0.38202962630785314,0.3759379514421271,0.375812658595834,0.3775510304644037,0.3766912972465254,0.38152483554090205,0.2876865162519026,0.38116646146757843,0.37847740729348256
Erythroid$Mono_DC,0.30731909026642096,0.3066128705177688,0.30818036524934433,0.30362059549297793,0.3089386519200965,0.32942199432641356,0.33025842443718095,0.3359952790126635,0.3389522461856132,0.0,0.338951466996875,0.34230493618758934,0.3429871748299324,0.33863094018790507,0.285387959943827,0.3413528844541409,0.34769054360472706,0.34202356536785233,0.35434075403144166,0.3064792484391717,0.34629389723761966,0.32999714114441525,0.31745224663496124,0.31613758101365097,0.2918638460513454,0.3163781172561367,0.3495904225805115,0.34916876703032834,0.3141230466325344,0.35853344666485426,0.3485949643425662,0.3451640915408076,0.3485644743373103,0.2859031120929602,0.3495478308284385,0.37259148156925664,0.35177492530516424,0.2776792535922345,0.3722081631529563
Erythroid$T_NK,0.31170651414672496,0.3116690953429462,0.31235230821065413,0.3124082754773049,0.29983788518504734,0.3364007460657476,0.3334207528929882,0.33868460666098615,0.3413080375084236,0.338951466996875,0.0,0.34691700152942295,0.34725847443375096,0.3417296189992161,0.3433051921559657,0.28967617321812006,0.35108041783194427,0.344813570320958,0.3575503764538258,0.34707505739442457,0.30624902290990325,0.3603780599668603,0.3481409489765316,0.348035397589486,0.35938830536437694,0.3073712897565087,0.31726223735491055,0.3157583405334779,0.3153667643516892,0.28403091450750734,0.3572899555116624,0.3521783812630725,0.35491617625206145,0.3560757653250524,0.2893521859013903,0.3736163025340107,0.35216757202178184,0.37306426736364967,0.2701838870055917
HSC_MPP$B_Plasma,0.35337375465217413,0.3030382807039758,0.34938153860326754,0.34290922572188437,0.34602467799124215,0.2905329981576271,0.32674274578993645,0.3451365352617611,0.3714432240573573,0.34230493618758934,0.34691700152942295,0.0,0.29219279681839955,0.3286306305726802,0.3252816906029317,0.3304955820179278,0.32974543161537684,0.30513420181702067,0.35813782284719686,0.3431129808652821,0.34760671231360646,0.33103183408650333,0.2974587877829121,0.3429829248816759,0.35346855298038377,0.34446095615582245,0.30350516616932144,0.34703743531887526,0.34395073826608796,0.35898183380441234,0.2797084437527641,0.2906272634410427,0.3009864825442484,0.2949975273575259,0.2953062357536751,0.3755099615155722,0.382424249234938,0.37070092828197965,0.37739476590619614
