dataset,sample,timepoint,sender_bin,receiver_bin,weight_probsum,n_lr_sig,rank_pct,C
Chen2023,AML162,Diagnosis,HSC_MPP,Mono_DC,0.408830947870826,10,0.979591836734694,0.0204081632653061
Chen2023,AML162,Diagnosis,HSC_MPP,Erythroid,0.0573705860363032,6,0.36734693877551,0.63265306122449
Chen2023,AML162,Diagnosis,HSC_MPP,Megakaryocyte,0.0492818746173437,5,0.346938775510204,0.653061224489796
Chen2023,AML162,Diagnosis,HSC_MPP,T_NK,0.266924689337416,13,0.795918367346939,0.204081632653061
Chen2023,AML162,Diagnosis,HSC_MPP,B_Plasma,0.124414013652342,7,0.510204081632653,0.489795918367347
Chen2023,AML162,Diagnosis,LMPP_GMP,HSC_MPP,0.309070753271768,9,0.877551020408163,0.122448979591837
Chen2023,AML162,Diagnosis,LMPP_GMP,LMPP_GMP,0.342459085134572,9,0.959183673469388,0.0408163265306123
Chen2023,AML162,Diagnosis,LMPP_GMP,Mono_DC,0.429410816587341,10,1,0
Chen2023,AML162,Diagnosis,LMPP_GMP,Erythroid,0.0893380847751567,7,0.428571428571429,0.571428571428571
Chen2023,AML162,Diagnosis,LMPP_GMP,Megakaryocyte,0.0167728939712649,5,0.285714285714286,0.714285714285714
Chen2023,AML162,Diagnosis,LMPP_GMP,T_NK,0.224941769766583,12,0.755102040816326,0.244897959183674
Chen2023,AML162,Diagnosis,LMPP_GMP,B_Plasma,0.209047393182139,10,0.693877551020408,0.306122448979592
Chen2023,AML162,Diagnosis,Mono_DC,HSC_MPP,0.158944910873478,4,0.571428571428571,0.428571428571429
Chen2023,AML162,Diagnosis,Mono_DC,LMPP_GMP,0.266006796390631,6,0.775510204081633,0.224489795918367
Chen2023,AML162,Diagnosis,Mono_DC,Mono_DC,0.319986077702489,7,0.897959183673469,0.102040816326531
Chen2023,AML162,Diagnosis,Mono_DC,Erythroid,0,0,0.122448979591837,0.877551020408163
Chen2023,AML162,Diagnosis,Mono_DC,Megakaryocyte,0,0,0.122448979591837,0.877551020408163
Chen2023,AML162,Diagnosis,Mono_DC,T_NK,0.196374068250281,7,0.63265306122449,0.36734693877551
Chen2023,AML162,Diagnosis,Mono_DC,B_Plasma,0.0856179810654897,6,0.408163265306122,0.591836734693878
Chen2023,AML162,Diagnosis,Erythroid,HSC_MPP,0.205550776820283,2,0.673469387755102,0.326530612244898
Chen2023,AML162,Diagnosis,Erythroid,LMPP_GMP,0.280210782212057,3,0.816326530612245,0.183673469387755
Chen2023,AML162,Diagnosis,Erythroid,Mono_DC,0.321435447012582,4,0.918367346938776,0.0816326530612245
Chen2023,AML162,Diagnosis,Erythroid,Erythroid,0,0,0.122448979591837,0.877551020408163
Chen2023,AML162,Diagnosis,Erythroid,Megakaryocyte,0,0,0.122448979591837,0.877551020408163
Chen2023,AML162,Diagnosis,Erythroid,T_NK,0.0848639506121933,6,0.387755102040816,0.612244897959184
Chen2023,AML162,Diagnosis,Erythroid,B_Plasma,0.219320944611038,2,0.73469387755102,0.26530612244898
Chen2023,AML162,Diagnosis,Megakaryocyte,HSC_MPP,0.195761573176333,2,0.612244897959184,0.387755102040816
Chen2023,AML162,Diagnosis,Megakaryocyte,LMPP_GMP,0.199670452602382,2,0.653061224489796,0.346938775510204
Chen2023,AML162,Diagnosis,Megakaryocyte,Mono_DC,0.29841387814572,4,0.836734693877551,0.163265306122449
Chen2023,AML162,Diagnosis,Megakaryocyte,Erythroid,0,0,0.122448979591837,0.877551020408163
Chen2023,AML162,Diagnosis,Megakaryocyte,Megakaryocyte,0,0,0.122448979591837,0.877551020408163
Chen2023,AML162,Diagnosis,Megakaryocyte,T_NK,0.0917421803642952,5,0.448979591836735,0.551020408163265
Chen2023,AML162,Diagnosis,Megakaryocyte,B_Plasma,0.10553918890695,1,0.469387755102041,0.530612244897959
Chen2023,AML162,Diagnosis,T_NK,HSC_MPP,0.108920202728519,2,0.489795918367347,0.510204081632653
Chen2023,AML162,Diagnosis,T_NK,LMPP_GMP,0.128550634109903,2,0.530612244897959,0.469387755102041
Chen2023,AML162,Diagnosis,T_NK,Mono_DC,0.177339883012366,4,0.591836734693878,0.408163265306122
Chen2023,AML162,Diagnosis,T_NK,Erythroid,0,0,0.122448979591837,0.877551020408163
Chen2023,AML162,Diagnosis,T_NK,Megakaryocyte,0,0,0.122448979591837,0.877551020408163
Chen2023,AML162,Diagnosis,T_NK,T_NK,0.216341415065375,7,0.714285714285714,0.285714285714286
Chen2023,AML162,Diagnosis,T_NK,B_Plasma,0,0,0.122448979591837,0.877551020408163
Chen2023,AML162,Diagnosis,B_Plasma,HSC_MPP,0.0160728392961945,1,0.26530612244898,0.73469387755102
Chen2023,AML162,Diagnosis,B_Plasma,LMPP_GMP,0.0287551389084777,2,0.306122448979592,0.693877551020408
