dataset,sample,timepoint,n_edges_present,total_weight,sparse_flag
Chen2023,AML103,Diagnosis,15,4.56479113379875,FALSE
Chen2023,AML162,Diagnosis,38,7.06421111527939,FALSE
Chen2023,AML24,Diagnosis,49,6.35058884271153,FALSE
Chen2023,AML304,Diagnosis,33,3.0258123519767,FALSE
Chen2023,AML320,Diagnosis,35,2.31410720693682,FALSE
Chen2023,NBM1,Healthy,48,5.55652762694875,FALSE
Chen2023,NBM2,Healthy,36,8.62672572579345,FALSE
Chen2023,NBM3,Healthy,42,2.95814372537967,FALSE
Chen2023,NBM4,Healthy,49,7.94898321275558,FALSE
E-MTAB-11536,637C-BMA,Healthy,9,8.37136962795566,TRUE
E-MTAB-11536,640C-BMA,Healthy,25,14.1619301108911,FALSE
E-MTAB-11536,A29-BMA,Healthy,15,8.43778841509438,FALSE
E-MTAB-11536,A35-BMA,Healthy,14,9.78928248242854,FALSE
E-MTAB-11536,A36-BMA,Healthy,24,13.1890826781245,FALSE
E-MTAB-11536,A37-BMA,Healthy,14,6.81483904223682,FALSE
GSE116256,AML1012-D0,Diagnosis,15,2.0432544830224,FALSE
GSE116256,AML210A-D0,Diagnosis,11,0.420044669449029,FALSE
GSE116256,AML328-D0,Diagnosis,30,5.02478836972539,FALSE
GSE116256,AML328-D29,On_treatment,37,4.81215880527729,FALSE
GSE116256,AML329-D0,Diagnosis,13,0.930617423634591,FALSE
GSE116256,AML329-D20,Post_induction,11,0.53879477012017,FALSE
GSE116256,AML419A-D0,Diagnosis,31,2.9515663815702,FALSE
GSE116256,AML556-D0,Diagnosis,14,2.08310932966575,FALSE
GSE116256,AML556-D31,Post_induction,28,2.41032939252914,FALSE
GSE116256,AML707B-D0,Diagnosis,19,3.12054618905485,FALSE
GSE116256,AML707B-D113,Post_consolidation,14,1.18728083814449,FALSE
GSE116256,AML916-D0,Diagnosis,20,2.4715863804561,FALSE
GSE116256,AML921A-D0,Diagnosis,13,1.98706371105093,FALSE
GSE116256,BM3,Healthy,29,2.85971557240289,FALSE
GSE116256,BM4,Healthy,34,4.09130348165686,FALSE
GSE116256,BM5-34p,Healthy,19,1.59440028373373,FALSE
GSE185381,AML001,Diagnosis,19,9.5264905292674,FALSE
GSE185381,AML003,Diagnosis,35,12.6844930168581,FALSE
GSE185381,AML0048,Diagnosis,48,6.95740245304892,FALSE
GSE185381,AML005,Diagnosis,35,16.8790700291988,FALSE
GSE185381,AML006,Diagnosis,48,9.41605600767684,FALSE
GSE185381,AML009,Diagnosis,23,3.77062322306892,FALSE
GSE185381,AML0114,Diagnosis,43,6.81387923027614,FALSE
GSE185381,AML012,Diagnosis,23,8.11301668904312,FALSE
GSE185381,AML0160,Diagnosis,25,7.54967920266129,FALSE
GSE185381,AML022,Diagnosis,23,2.43562652613999,FALSE
GSE185381,AML025,Diagnosis,34,10.0567986130971,FALSE
GSE185381,AML026,Diagnosis,11,3.71765322611408,FALSE
GSE185381,AML028,Diagnosis,16,9.81286098754621,FALSE
GSE185381,AML0361,Diagnosis,19,5.52315047425757,FALSE
GSE185381,AML038,Diagnosis,35,10.2929955283935,FALSE
GSE185381,AML043,Diagnosis,36,15.6091300395586,FALSE
GSE185381,AML048,Diagnosis,14,9.6053972509802,FALSE
GSE185381,AML051,Diagnosis,36,10.7929073136524,FALSE
GSE185381,AML052,Diagnosis,21,3.96846436921481,FALSE
GSE185381,AML055,Diagnosis,23,8.3108675973193,FALSE
GSE185381,AML056,Diagnosis,9,3.98478082228592,TRUE
GSE185381,AML0612,Diagnosis,27,7.36504808979082,FALSE
GSE185381,AML0693,Diagnosis,46,8.33684581408559,FALSE
GSE185381,AML073,Diagnosis,35,6.30962271011512,FALSE
GSE185381,AML1371,Diagnosis,9,5.99891593646975,TRUE
GSE185381,AML2123,Diagnosis,36,11.1199554274521,FALSE
GSE185381,AML2451,Diagnosis,35,6.56786183998982,FALSE
GSE185381,AML2910,Diagnosis,24,7.65051735306553,FALSE
GSE185381,AML3133,Diagnosis,34,8.2434209331967,FALSE
GSE185381,AML3266,Diagnosis,14,4.40154335050698,FALSE
GSE185381,AML3730,Diagnosis,23,11.9798390141823,FALSE
GSE185381,AML3762,Diagnosis,40,8.1755674823558,FALSE
GSE185381,AML3948,Diagnosis,32,6.71793314090797,FALSE
GSE185381,AML4340,Diagnosis,25,11.7716882211331,FALSE
GSE185381,AML4897,Diagnosis,24,5.38918769355441,FALSE
GSE185381,Control0004,Healthy,9,0.880686388222672,TRUE
GSE185381,Control0005,Healthy,25,11.9286645642753,FALSE
GSE185381,Control0058,Healthy,9,1.00895982262316,TRUE
GSE185381,Control0082,Healthy,9,1.19754845316235,TRUE
GSE185381,Control1,Healthy,27,5.30618934563717,FALSE
GSE185381,Control2,Healthy,31,4.36747382102226,FALSE
GSE185381,Control3,Healthy,15,4.79960422325368,FALSE
GSE185381,Control4,Healthy,25,6.3056407656877,FALSE
GSE185381,Control4003,Healthy,16,3.73713723293249,FALSE
GSE185381,Control5,Healthy,20,2.80911266792334,FALSE
GSE185381,PAUMTZ,Diagnosis,29,5.59983693175896,FALSE
GSE185381,PAXMIJ,Diagnosis,15,2.92387358788254,FALSE
GSE201966,GSM6085177_AML01M4_P,Diagnosis,34,5.11273858419466,FALSE
GSE201966,GSM6085178_AML01M4_RE,Relapse,34,5.05804048195882,FALSE
GSE201966,GSM6085180_AML02M5_RE,Relapse,25,7.93016340486638,FALSE
GSE201966,GSM6085181_AML03M5_P,Diagnosis,16,6.6076986519855,FALSE
GSE201966,GSM6085182_AML03M5_RE,Relapse,16,4.5598254443993,FALSE
GSE207356,GSM6284912_TS173_04_Sample_D,Refractory,23,6.15628400939793,FALSE
GSE207356,GSM6284913_TS173_05_Sample_E,On_treatment,34,5.83062522351983,FALSE
GSE207356,GSM6284914_TS173_06_Sample_F,On_treatment,34,7.88621729989285,FALSE
GSE227903,1216_Dg,Diagnosis,25,4.13921810508214,FALSE
GSE227903,1216_MRD,Post_treatment_unspecified,25,10.9313046221364,FALSE
GSE227903,1216_R,Relapse,32,7.52290647066376,FALSE
GSE227903,1886_Dg,Diagnosis,36,10.1236189193552,FALSE
GSE227903,1886_MRD,Post_treatment_unspecified,36,6.13535424097349,FALSE
GSE227903,1886_R,Relapse,49,13.9367761303786,FALSE
GSE227903,3853_Dg,Diagnosis,16,5.97290965323468,FALSE
GSE227903,3853_R,Relapse,16,7.40667983534187,FALSE
GSE227903,3904_Dg,Diagnosis,33,7.11548227298908,FALSE
GSE227903,3904_MRD,Post_treatment_unspecified,35,10.3245525901729,FALSE
GSE227903,3904_R,Relapse,34,6.40503515284058,FALSE
GSE227903,40389_Dg,Diagnosis,36,7.16894941208638,FALSE
GSE227903,40389_MRD,Post_treatment_unspecified,25,8.42891764288951,FALSE
GSE227903,40389_R,Relapse,36,8.48147918607009,FALSE
GSE227903,4978_Dg,Diagnosis,35,12.183781310945,FALSE
GSE227903,4978_MRD,Post_treatment_unspecified,25,7.86131159531008,FALSE
GSE227903,4978_R,Relapse,8,1.81156206211703,TRUE
GSE227903,5143_Dg,Diagnosis,16,10.5865687285478,FALSE
GSE227903,5143_R,Relapse,15,9.18163574555918,FALSE
GSE227903,5750_Dg,Diagnosis,25,10.2424807715059,FALSE
GSE227903,5750_MRD,Post_treatment_unspecified,35,10.3832416263898,FALSE
GSE227903,5750_R,Relapse,35,7.48130441859818,FALSE
GSE227903,6323_Dg,Diagnosis,16,6.73319695231351,FALSE
GSE227903,6323_MRD,Post_treatment_unspecified,31,5.53056643626754,FALSE
GSE227903,6323_R,Relapse,23,13.004388755042,FALSE
GSE227903,6323_R2,Relapse2,36,12.8539664628258,FALSE
GSE239721,PT10A,Diagnosis,8,2.37232349167216,TRUE
GSE239721,PT15A,Diagnosis,8,4.04394158001585,TRUE
GSE239721,PT16A,Diagnosis,15,4.46030946667395,FALSE
GSE239721,PT17A,Diagnosis,14,6.28896953384272,FALSE
GSE239721,PT21A,Diagnosis,25,10.4803371661798,FALSE
GSE239721,PT22A,Diagnosis,25,11.2475024986095,FALSE
GSE239721,PT23A,Diagnosis,14,7.37422863036876,FALSE
GSE239721,PT26A,Diagnosis,16,8.00113347630825,FALSE
GSE239721,PT27A,Diagnosis,9,3.34450796277695,TRUE
GSE239721,PT28A,Diagnosis,16,3.41410824204155,FALSE
GSE289435,GSM8791432_MLL_14666,Diagnosis,25,12.0213217969423,FALSE
GSE289435,GSM8791433_MLL_16703,Diagnosis,35,9.45345606996986,FALSE
GSE289435,GSM8791434_MLL_17746,Diagnosis,23,6.46579400919257,FALSE
GSE289435,GSM8791435_MLL_17843,Diagnosis,24,6.00548302002661,FALSE
GSE289435,GSM8791436_MLL_17844,Diagnosis,2,0.165423186389835,TRUE
GSE289435,GSM8791437_MLL_28824,Diagnosis,30,6.3026475911866,FALSE
GSE289435,GSM8791438_MLL_28830,Diagnosis,28,7.39017018574565,FALSE
GSE289435,GSM8791439_MLL_28855,Diagnosis,46,7.22521837464553,FALSE
GSE289435,GSM8791441_MLL_29532,Diagnosis,25,11.7267300266636,FALSE
GSE289435,GSM8791442_MLL_29538,Diagnosis,34,8.71979385671017,FALSE
GSE289435,GSM8791444_MLL_30886,Diagnosis,46,11.9057601085152,FALSE
Petti2019,508084,Diagnosis,36,13.1628530259753,FALSE
Petti2019,548327,Diagnosis,36,11.5637181740004,FALSE
Petti2019,721214,Diagnosis,46,8.21996302299351,FALSE
Petti2019,782328,Diagnosis,25,7.602897041713,FALSE
Petti2019,809653,Diagnosis,36,16.1844084422221,FALSE
