,B_Plasma$B_Plasma,B_Plasma$HSC_MPP,B_Plasma$LMPP_GMP,B_Plasma$Mono_DC,B_Plasma$T_NK,Erythroid$B_Plasma,Erythroid$Erythroid,Erythroid$HSC_MPP,Erythroid$LMPP_GMP,Erythroid$Mono_DC,Erythroid$T_NK,HSC_MPP$B_Plasma,HSC_MPP$Erythroid,HSC_MPP$HSC_MPP,HSC_MPP$LMPP_GMP,HSC_MPP$Mono_DC,HSC_MPP$T_NK,LMPP_GMP$B_Plasma,LMPP_GMP$Erythroid,LMPP_GMP$HSC_MPP,LMPP_GMP$LMPP_GMP,LMPP_GMP$Mono_DC,LMPP_GMP$T_NK,Megakaryocyte$B_Plasma,Megakaryocyte$LMPP_GMP,Megakaryocyte$Megakaryocyte,Megakaryocyte$Mono_DC,Megakaryocyte$T_NK,Mono_DC$B_Plasma,Mono_DC$Erythroid,Mono_DC$HSC_MPP,Mono_DC$LMPP_GMP,Mono_DC$Mono_DC,Mono_DC$T_NK,T_NK$B_Plasma,T_NK$HSC_MPP,T_NK$LMPP_GMP,T_NK$Mono_DC,T_NK$T_NK
B_Plasma$B_Plasma,0.0,0.256786791789561,0.25207787675067206,0.2482022229475688,0.2463907829627954,0.30588993968023365,0.34252269642634964,0.3347127146482736,0.33107796869426653,0.33321645828405744,0.32689400817407754,0.262403294588121,0.30336158073993474,0.29344016329653905,0.2975850263808523,0.297736236091379,0.29574545393520596,0.254138876505783,0.30059854389559787,0.2977917157581722,0.2891197384829551,0.2952677709112262,0.29400829871368656,0.6734061106140065,0.6750559760622454,0.7188308375203502,0.6771299551832307,0.6770421532101983,0.25103280276993717,0.301588386870242,0.29623740053489533,0.2940437225965819,0.28562851110062787,0.2928659793341959,0.24691136701213098,0.29499220297356293,0.2939687870940176,0.29396984753314437,0.2817870216090003
B_Plasma$HSC_MPP,0.256786791789561,0.0,0.3035683328917278,0.3082629748519198,0.30775750202597413,0.2955800466463067,0.33221876447692444,0.3248144339852805,0.3225493301891402,0.3251173096257871,0.3184511506651786,0.21792585157761804,0.2736694867159432,0.26217332412064653,0.26727953456716025,0.2684781452636022,0.26392692359555375,0.26741899221685095,0.3046469759896416,0.3032354364552263,0.29639520409991604,0.30476506732856967,0.304136968660633,0.6566545683619311,0.6581611958464776,0.7015253848474228,0.6602485464497161,0.660157402229647,0.27224238206839835,0.3064983783825257,0.30315917754064664,0.30559070144056993,0.2972580912057011,0.306305864530627,0.2687955973390309,0.30359234534705654,0.3066959994500822,0.3094294936480138,0.29497596616118915
B_Plasma$LMPP_GMP,0.25207787675067206,0.3035683328917278,0.0,0.3038406043066282,0.30350424873630394,0.3059421306287945,0.34399043824823206,0.3352509681116876,0.33116196591059355,0.33443894164979504,0.3280745536782441,0.2704323688176727,0.31046913259990316,0.300621480222675,0.3043030368229444,0.30562981685017904,0.3040733386190983,0.21398658551710048,0.27631335826526787,0.27061724429194867,0.2605678723733944,0.26635825821717163,0.2628896618414006,0.6813033885602053,0.6828134141216874,0.7266704532643695,0.6849121961922278,0.6848181360373637,0.2659671130342328,0.3103650408990356,0.30505653354048823,0.302886087730139,0.2960679506436078,0.3037807104463085,0.26109918428181556,0.3039234641515258,0.3028976985440414,0.30511583939175835,0.29305392496563487
B_Plasma$Mono_DC,0.2482022229475688,0.3082629748519198,0.3038406043066282,0.0,0.3019795587522302,0.32253654025796946,0.36127892299215614,0.35072901043688165,0.3459536223273515,0.34808356601306584,0.3427736188802747,0.2767419445422127,0.3193998651726937,0.3078734524548354,0.3093811063013848,0.3098381487105136,0.3088720836645757,0.26340599947095233,0.3151892838219885,0.30958625262200173,0.30176706962762373,0.304986311080527,0.30530361496660874,0.7116334187908133,0.7130715237813444,0.7574745197349211,0.7151307858275159,0.7151217493886086,0.205914631180493,0.28751058155168935,0.27402355314565596,0.2647199066660861,0.2573117855541056,0.2607602546052062,0.25637945747256924,0.3063912107659973,0.30363485909161975,0.30204617212497925,0.29402129844125735
B_Plasma$T_NK,0.2463907829627954,0.30775750202597413,0.30350424873630394,0.3019795587522302,0.0,0.3292767986610159,0.3684200972027587,0.35818478298181233,0.3539612314409962,0.3567495974032146,0.3506066048365971,0.2756425064002218,0.3198947113754017,0.3082977971122742,0.30988845501815543,0.31124378474125364,0.3085868180443498,0.26425850892173997,0.3158763696377899,0.3099377079485763,0.3023519149752064,0.30657557785245854,0.30501499624824224,0.7141323930252398,0.7159711453734435,0.760295928429074,0.7180217164643752,0.7179810652671793,0.26074231039007956,0.3188347979455749,0.3095489923519241,0.3049794003993486,0.29806056837660383,0.3036782257058697,0.19869372860957807,0.2680062336512392,0.26144670162895933,0.25723038614056665,0.24937913473485512
Erythroid$B_Plasma,0.30588993968023365,0.2955800466463067,0.3059421306287945,0.32253654025796946,0.3292767986610159,0.0,0.2643324280916018,0.30203033903724236,0.3023268039023205,0.30183651296464836,0.3011329493903728,0.32053982186864477,0.26726721857423036,0.3085248827027585,0.3251951102459914,0.3209895115893415,0.3299206447922749,0.3318021268266081,0.26903530870348785,0.32552376699917995,0.31378805822624545,0.3306335077681479,0.33726290557619487,0.5268723264219576,0.5239475081583947,0.5644225262082574,0.5258970646860239,0.5268236973476941,0.3375538409855665,0.2640660145782442,0.3232130546749308,0.33426767630224913,0.3200559538724327,0.34238953265923894,0.35080647551380345,0.33401445613190966,0.34278351164820614,0.3485876594534705,0.3305533254244467
Erythroid$Erythroid,0.34252269642634964,0.33221876447692444,0.34399043824823206,0.36127892299215614,0.3684200972027587,0.2643324280916018,0.0,0.26337946693037884,0.2629818070072038,0.265052889008528,0.26391810419512785,0.3293782023187061,0.27549332196240434,0.31670854826594697,0.33495554256070437,0.33040059496851487,0.3395253411230005,0.34262580844972884,0.2792542728683451,0.3353874282674167,0.3237231667224537,0.3419222345046868,0.3484332122577794,0.508656287910837,0.5057755770917745,0.5453303683746168,0.5076964542779003,0.5086118038390319,0.35006727733588344,0.27497154511756133,0.3336523728600656,0.34680865698370383,0.33203471226076153,0.3552505520019891,0.3649208122016457,0.3462669323479577,0.35668997624179993,0.3637397592206245,0.34341446597328573
Erythroid$HSC_MPP,0.3347127146482736,0.3248144339852805,0.3352509681116876,0.35072901043688165,0.35818478298181233,0.30203033903724236,0.26337946693037884,0.0,0.30152192297926306,0.30242443219297926,0.30156533393320295,0.3023565591458018,0.2314631896550495,0.28550770366015277,0.29985009553309805,0.2996625728605004,0.3088290181450049,0.3356596836311023,0.26891903894544233,0.3265171177522592,0.31656832683771596,0.3333619068875266,0.3402081372247079,0.5452519847633098,0.5422736644217571,0.5832639958854959,0.5443300014288296,0.5452014109983895,0.3425476371130461,0.2702820598609902,0.3255194832464774,0.3371263415664647,0.3243676159931352,0.34633958685318633,0.35493083294633454,0.33577245126233435,0.3453372967560863,0.35223150808908854,0.3348971165199319
Erythroid$LMPP_GMP,0.33107796869426653,0.3225493301891402,0.33116196591059355,0.3459536223273515,0.3539612314409962,0.3023268039023205,0.2629818070072038,0.30152192297926306,0.0,0.3021397858375226,0.30185454458592065,0.3230384896875703,0.26362917209658704,0.30884066675176436,0.32373973505883535,0.3211267950737118,0.3302703808917315,0.31060763856397217,0.2308448278236218,0.2990896227320056,0.29024293072641644,0.3070884892822882,0.31495433316825255,0.5532814269640046,0.5502737503962504,0.5915938942492621,0.5523230107363858,0.5532299432917785,0.3390616704244786,0.26539558076671577,0.3233130241759116,0.3331520645846462,0.32075059477492496,0.34273099549491187,0.3512433616422946,0.33312340774030225,0.3411862677448982,0.3477762665367012,0.3316215840881504
Erythroid$Mono_DC,0.33321645828405744,0.3251173096257871,0.33443894164979504,0.34808356601306584,0.3567495974032146,0.30183651296464836,0.265052889008528,0.30242443219297926,0.3021397858375226,0.0,0.3014851857171796,0.3246226857421297,0.2695546563313027,0.3113583814221837,0.3270989961287035,0.3224916671523967,0.3326116496946151,0.3348630978186089,0.2711678019204688,0.32753735071067847,0.31638074773589414,0.33160431461046214,0.3395235635912674,0.5439016694881386,0.5409854305818768,0.5818644361194331,0.5428747116059228,0.5438512456260957,0.3195564754170917,0.2318246894075801,0.300912322178619,0.3122192129937816,0.2995023325218184,0.3237044433517179,0.353923987927704,0.3365853296192712,0.34502021079478923,0.349975989683966,0.33386704941627826
