alpha,feature_set,features,mean_healthy,mean_aml,beta_global,p_global,beta_strat,p_strat,family,q_strat,split
0.0,all3,frac_malignant+mean_stemness+n_cells,0.11611325361366479,0.3336515715998465,0.15799487495006398,0.0005999400059994001,0.12199601558799161,0.0182981701829817,core,,all
0.0,no_frac_mal,mean_stemness+n_cells,0.11611325361366479,0.28989305238249,0.13490273907465827,0.0024997500249975004,0.09815619221349764,0.041195880411958805,core,,all
0.0,only_frac_mal,frac_malignant,9.654112721699142e-09,0.24266391470151624,0.21057188766860502,0.0005999400059994001,0.25254611053693166,0.00029997000299970003,core,,all
0.0,only_stemness,mean_stemness,0.028733394064865067,0.1353068233248829,0.08585326154913778,0.0081991800819918,0.09233586505002528,0.009099090090990901,core,,all
0.0,only_ncells,n_cells,0.1819646859967612,0.2678652037853968,0.07418952659752827,0.0746925307469253,0.04595981130905526,0.3438656134386561,core,,all
0.0,only_vg_mal,frac_malignant_vg,0.0623901848083389,0.0851849958619797,0.004091257051237509,0.8589141085891411,0.011150742043690827,0.5762423757624238,core,,all
0.0,only_cnv_burden,mean_cnv_burden,0.09192489543306943,0.14993698080506812,0.03623357748713392,0.3016698330166983,0.028858335918942907,0.42005799420057993,core,,all
0.0,only_stem_normal,mean_stemness_normal,0.03326086000715295,0.13426511317001263,0.08267151702164387,0.009599040095990401,0.08995092495095575,0.0066993300669933005,core,,all
0.0,only_stem_malignant,mean_stemness_malignant,0.07667141698360048,0.12357210255301244,0.021300492034348664,0.41485851414858516,0.03264550526320929,0.29747025297470253,core,,all
0.0,only_cyto_normal,mean_cytotrace_normal,0.083074694351095,0.21870634485940443,0.07635781708900703,0.036096390360963904,0.06842889077783498,0.06999300069993,core,,all
0.0,only_cyto_malignant,mean_cytotrace_malignant,0.10203725208173679,0.19942333463938713,0.05465726048922567,0.14038596140385962,0.02117339575756408,0.5334466553344666,core,,all
0.0,noncircular,frac_malignant_vg+mean_stemness_normal,0.041209621491405724,0.1410447448401591,0.07672637830962326,0.0160983901609839,0.08193301581980923,0.0115988401159884,core,,all
0.0,only_st_HSPC_core,st_HSPC_core,0.04906559445778203,0.058704575111975965,0.009841537903362793,0.32596740325967405,0.024208488244367898,0.024197580241975804,st,0.12341622980559086,all
