arm,n_samples,retest_half_median,between_half_median,within_patient_half_median,snr_between,snr_within_patient,between_full_median,within_patient_full_median,ab_vs_aa_between,composition_tv_max,wilcoxon_stat,wilcoxon_p
tv,37,0.13160529908518948,0.5622044069570196,0.44771881325071505,4.27189794685318,3.401981655471958,0.5104801954970084,0.307609510179391,0.9912685571627255,0.011800122057987963,703.0,7.275957614183426e-12
tabular,37,0.07017934251217882,0.2729967051027756,0.20376872675120739,3.889986644651169,2.903542829798465,0.22239126132920875,0.15500616889383315,0.982161467738069,0.011800122057987963,703.0,7.275957614183426e-12
corrot,37,0.0674738709069065,0.3747050776669525,0.2844761886556066,5.553336019270808,4.216094094380587,0.33812350734960056,0.19212703709007134,1.016219414836321,0.011800122057987963,703.0,7.275957614183426e-12
dwot_shipped,37,0.040031342465641766,0.17099633087817706,0.13702754018417787,4.2715612404190635,3.42300636811734,0.15411634721650566,0.09430891786412443,0.9887614873850917,0.011800122057987963,703.0,7.275957614183426e-12
dwot_fixed,37,0.034272000680499584,0.15930485390718355,0.13210870069249692,4.648250780346954,3.8547122452546345,0.14696636517750156,0.0965238442657078,0.9912823152745673,0.011800122057987963,702.0,1.4551915228366852e-11
