cell,n,arm,label,ari_k2,ari_maxk,best_k,null_k2_p95,null_maxk_p95
full_cohort,138,prop7,disease,-0.08139985891628655,0.11177181217150854,4,0.018163845298406,0.0240311349367462
full_cohort,138,tabular,disease,0.16690231603708663,0.16690231603708663,2,0.018163845298406,0.0240311349367462
full_cohort,138,tv,disease,0.1289746844149515,0.1289746844149515,2,0.018163845298406,0.0240311349367462
full_cohort,138,corrot,disease,0.13877326557122133,0.13877326557122133,2,0.018163845298406,0.0240311349367462
full_cohort,138,dwot_shipped,disease,0.13877326557122133,0.13877326557122133,2,0.018163845298406,0.0240311349367462
full_cohort,138,dwot_fixed,disease,0.1738458475162847,0.1738458475162847,2,0.018163845298406,0.0240311349367462
GSE185381,47,prop7,disease,-0.0371108369969742,0.06126105333006362,5,0.018163845298406,0.0240311349367462
GSE185381,47,tabular,disease,0.23980309423347398,0.23980309423347398,2,0.018163845298406,0.0240311349367462
GSE185381,47,tv,disease,0.07942872349862504,0.11533164334617457,4,0.018163845298406,0.0240311349367462
GSE185381,47,corrot,disease,0.07942872349862504,0.12580830067080823,4,0.018163845298406,0.0240311349367462
GSE185381,47,dwot_shipped,disease,0.13236073885220775,0.13236073885220775,2,0.018163845298406,0.0240311349367462
GSE185381,47,dwot_fixed,disease,0.07942872349862504,0.09954749714249926,3,0.018163845298406,0.0240311349367462
