mode,k,delta,planted,frac_cells_moved,mean_abs_dC,edge_min_p,edge_min_q,planted_edges_sig,any_edges_sig,omni_healthy,omni_aml,omni_beta,omni_p
mult,1,0.0,B_Plasma->Erythroid,0.0,0.0,0.9195402298850575,0.9402278027652841,0,0,0.05356766656520344,0.0442256589008406,-0.0013324659878946954,0.9725137431284357
mult,1,0.25,B_Plasma->Erythroid,0.23478260869565218,0.01206743566992014,0.888055972013993,0.9310557487213841,0,0,0.05356766656520344,0.0443335212882689,-0.0012622073296840496,0.9710144927536232
mult,1,0.5,B_Plasma->Erythroid,0.2608695652173913,0.020585625554569654,0.7741129435282359,0.8717641179410295,0,0,0.05356766656520344,0.04438380792818963,-0.001225904090600588,0.9735132433783108
mult,1,1.0,B_Plasma->Erythroid,0.2956521739130435,0.0388642413487134,0.5342328835582209,0.832583708145927,0,0,0.05356766656520344,0.04445373636457913,-0.001077338649087326,0.9740129935032483
mult,1,2.0,B_Plasma->Erythroid,0.3217391304347826,0.06317657497781722,0.3548225887056472,0.796274276654776,0,0,0.05356766656520344,0.04451870337471193,-0.0010224937561736185,0.9860069965017492
mult,1,4.0,B_Plasma->Erythroid,0.3217391304347826,0.09494232475598935,0.22688655672163918,0.8156956004756243,0,0,0.05356766656520344,0.04446299798006169,-0.0010534186489448009,0.9765117441279361
mult,3,0.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.0,0.0,0.2988505747126437,0.8207933070501787,0,0,0.05356766656520344,0.0442256589008406,-0.0013324659878946954,0.9725137431284357
mult,3,0.25,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.32753623188405795,0.020763087843833187,0.37881059470264866,0.8425602013807911,0,0,0.05356766656520344,0.04431518722984046,-0.0011724834183237528,0.9710144927536232
mult,3,0.5,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.3507246376811594,0.03271221532091097,0.2908545727136432,0.8262350306328317,0,0,0.05356766656520344,0.04431206338954438,-0.0010786688680405798,0.9795102448775612
mult,3,1.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.3710144927536232,0.049393670511682926,0.20339830084957522,0.8393389512140481,0,0,0.05356766656520344,0.04443009460503768,-0.0008830614396892412,0.9830084957521239
mult,3,2.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.3826086956521739,0.06696243714877255,0.14992503748125938,0.7859779787525591,0,0,0.05356766656520344,0.04449509367438824,-0.0008181686528982046,0.9850074962518741
mult,3,4.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.3826086956521739,0.08240165631469978,0.11544227886056972,0.8134526486756621,0,0,0.05356766656520344,0.0444083266979017,-0.0008405878828034821,0.9810094952523738
mult,6,0.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.0,0.0,0.2988505747126437,0.8207933070501787,0,0,0.05356766656520344,0.0442256589008406,-0.0013324659878946954,0.9725137431284357
mult,6,0.25,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.29130434782608694,0.017864537119195504,0.375312343828086,0.8142178910544727,0,0,0.05356766656520344,0.044291676766605115,-0.0013165092195854987,0.967016491754123
mult,6,0.5,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.34057971014492755,0.030346051464063887,0.271864067966017,0.7685995711821508,0,0,0.05356766656520344,0.04428268845050008,-0.0014861532265574022,0.9655172413793104
mult,6,1.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.3753623188405797,0.04862466725820763,0.18490754622688654,0.789370020871917,0,0,0.05356766656520344,0.0444584658867073,-0.001196814615752931,0.9795102448775612
mult,6,2.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.391304347826087,0.07054125998225377,0.10044977511244378,0.7620886526433752,0,0,0.05356766656520344,0.04468488939299161,-0.0009960803796447602,0.9785107446276862
mult,6,4.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.39420289855072466,0.09059449866903282,0.03548225887056472,0.3836415125770449,0,0,0.05356766656520344,0.04463705288874157,-0.0008557321318120622,0.9845077461269365
add,1,0.0,B_Plasma->Erythroid,0.0,0.0,0.9195402298850575,0.9402278027652841,0,0,0.05356766656520344,0.0442256589008406,-0.0013324659878946954,0.9725137431284357
add,1,0.25,B_Plasma->Erythroid,1.0,0.2535936113575865,0.0004997501249375312,0.02448775612193903,1,1,0.05356766656520344,0.04489342407635625,-0.0005963434562405901,0.9895052473763118
add,1,0.5,B_Plasma->Erythroid,1.0,0.31215616681455194,0.0004997501249375312,0.02448775612193903,1,1,0.05356766656520344,0.044995833549641484,-0.0006367667597936101,0.9855072463768116
add,1,1.0,B_Plasma->Erythroid,1.0,0.4406388642413487,0.0004997501249375312,0.02448775612193903,1,1,0.05356766656520344,0.04524291747941321,-0.00039198844553527747,0.9890054972513743
add,1,2.0,B_Plasma->Erythroid,1.0,0.6047914818101153,0.0004997501249375312,0.02448775612193903,1,1,0.05356766656520344,0.04438000070195654,-0.0006965265748272984,0.984007996001999
add,1,4.0,B_Plasma->Erythroid,1.0,0.667080745341615,0.0004997501249375312,0.02448775612193903,1,1,0.05356766656520344,0.04369488671211699,-0.001142637024141433,0.9800099950024987
add,3,0.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.0,0.0,0.2988505747126437,0.8207933070501787,0,0,0.05356766656520344,0.0442256589008406,-0.0013324659878946954,0.9725137431284357
add,3,0.25,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.9449275362318841,0.20564921620822246,0.0004997501249375312,0.012243878060969516,2,2,0.05356766656520344,0.046008780833289374,0.0008594420692849081,0.9815092453773113
add,3,0.5,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.9565217391304348,0.25350488021295475,0.0004997501249375312,0.012243878060969516,2,2,0.05356766656520344,0.04632742480376549,0.001057709890621964,0.9740129935032483
add,3,1.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.9623188405797102,0.34983732623484176,0.0004997501249375312,0.008162585373979677,3,4,0.05356766656520344,0.04703480990450866,0.001716520537215714,0.9685157421289355
add,3,2.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.9623188405797102,0.4702454895001479,0.0004997501249375312,0.008162585373979677,3,5,0.05356766656520344,0.045305677338069596,0.0007061482280219796,0.9860069965017492
add,3,4.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.9623188405797102,0.5147293700088731,0.0004997501249375312,0.008162585373979677,3,5,0.05356766656520344,0.04395020398077939,-0.0004286080509411156,0.991504247876062
add,6,0.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.0,0.0,0.2988505747126437,0.8207933070501787,0,0,0.05356766656520344,0.0442256589008406,-0.0013324659878946954,0.9725137431284357
add,6,0.25,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.9405797101449276,0.19265010351966877,0.0004997501249375312,0.006121939030484758,4,4,0.05356766656520344,0.047613202846966914,0.002094145849034803,0.9575212393803099
add,6,0.5,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.9666666666666667,0.24133392487429753,0.0004997501249375312,0.006121939030484758,5,8,0.05356766656520344,0.048441734681241154,0.0024701054603659322,0.9355322338830585
add,6,1.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.9739130434782609,0.33975155279503105,0.0004997501249375312,0.0040812926869898385,6,9,0.05356766656520344,0.05053493890427105,0.004332645186415856,0.8800599700149925
add,6,2.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.9768115942028985,0.46224489795918366,0.0004997501249375312,0.003060969515242379,6,9,0.05356766656520344,0.04860389391645293,0.004161801020775071,0.8850574712643678
add,6,4.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.9768115942028985,0.5082372079266488,0.0004997501249375312,0.0040812926869898385,6,12,0.05356766656520344,0.04684296878718104,0.0029439555583270515,0.92103948025987
