arm,contrast,n,median_pct,p_raw,top1,top1_chance,top5,top5_chance,d_true_median,retest_floor,d_true_over_floor,p_bh,family_p_all_cells,family_p_relapse
prop7,Dx_to_Relapse,11,0.173913043478,0.0048828125,4,1.0563241106719368,9,3.9482872200263506,2.8056273801325413,,,0.05859375,0.0,0.0
prop7,Dx_to_Treatment,11,0.545454545455,0.50927734375,1,0.6699604743083003,3,3.3498023715415015,4.031615731820638,,,0.50927734375,0.0,0.0
tabular,Dx_to_Relapse,11,0.130434782609,0.02197265625,3,1.0563241106719368,8,3.9482872200263506,0.1550061688938331,0.0701793425121788,2.2087150341560067,0.0703125,0.0,0.0
tabular,Dx_to_Treatment,11,0.478260869565,0.17626953125,3,0.6699604743083003,5,3.3498023715415015,0.1754760914669946,0.0701793425121788,2.5003952044227655,0.2115234375,0.0,0.0
tv,Dx_to_Relapse,11,0.125,0.02734375,3,1.0563241106719368,7,3.9482872200263506,0.2870314245532411,0.1316052990851894,2.1810020306814764,0.0703125,0.0,0.0
tv,Dx_to_Treatment,11,0.478260869565,0.12451171875,2,0.6699604743083003,4,3.3498023715415015,0.3982138384046137,0.1316052990851894,3.0258191818465154,0.2115234375,0.0,0.0
corrot,Dx_to_Relapse,11,0.125,0.02978515625,3,1.0563241106719368,7,3.9482872200263506,0.1574824764812861,0.0674738709069065,2.333977202798461,0.0703125,0.0,0.0
corrot,Dx_to_Treatment,11,0.434782608696,0.154296875,1,0.6699604743083003,3,3.3498023715415015,0.2559750489159171,0.0674738709069065,3.7936914760542657,0.2115234375,0.0,0.0
dwot_shipped,Dx_to_Relapse,11,0.125,0.02734375,3,1.0563241106719368,6,3.9482872200263506,0.0874391340852631,0.0400313424656417,2.1842668444184903,0.0703125,0.0,0.0
dwot_shipped,Dx_to_Treatment,11,0.434782608696,0.15966796875,3,0.6699604743083003,4,3.3498023715415015,0.1221896852951233,0.0400313424656417,3.0523504276679416,0.2115234375,0.0,0.0
dwot_fixed,Dx_to_Relapse,11,0.125,0.03515625,3,1.0563241106719368,6,3.9482872200263506,0.0806440989092458,0.0342720006804995,2.3530607291079932,0.0703125,0.0,0.0
dwot_fixed,Dx_to_Treatment,11,0.478260869565,0.3740234375,2,0.6699604743083003,3,3.3498023715415015,0.10913674605477,0.0342720006804995,3.184428801580526,0.4080255681818182,0.0,0.0
