arm,ari_support_split,spearman_vs_support_jaccard,support_min,support_median,support_max
prop7,0.05688635114851974,0.4984418522313146,2,25.0,39
tabular,0.16809891471420463,0.8421928324068816,2,25.0,39
tv,0.2994368567544825,0.8636680159538168,2,25.0,39
corrot,0.27315777368412025,0.8260346300802855,2,25.0,39
dwot_shipped,0.2651061765507873,0.8601603015330266,2,25.0,39
dwot_fixed,0.34157753712240235,0.7905917134952929,2,25.0,39
