dataset,sample,healthy,paired,diag_mass,dist_to_identity,dist_to_product,frobenius_score
Chen2023,AML103,False,False,0.25493343404777674,0.9298174720173714,0.46276230520729184,0.014014953928789603
Chen2023,AML162,False,False,0.3435177539223781,1.0152898273535664,0.6369793014235514,0.10942715724169946
Chen2023,AML24,False,False,0.0,1.17456522201387,0.21510492191290942,0.6620310521587581
Chen2023,AML304,False,False,0.17282989490073922,1.1601801416709472,0.6240318133812182,0.07869416810515686
Chen2023,AML320,False,False,0.29420559693071546,0.9281980234112482,0.457047509168433,0.10508691130868064
Chen2023,NBM1,True,False,0.025856860928752598,1.289726424035551,0.6333012541895663,0.2269501610862188
Chen2023,NBM2,True,False,0.17512812987942686,1.1410309891382568,0.4826969086084393,0.15013701502087726
Chen2023,NBM3,True,False,0.37275434719953865,0.976676903330035,0.670601842708647,0.18285056445519382
Chen2023,NBM4,True,False,0.218295682807605,1.0467754105567328,0.5664784811339716,0.19617472055225488
E-MTAB-11536,637C-BMA,True,False,0.14441964285470135,0.9918691339094732,0.19999825509501615,0.008538199149481503
E-MTAB-11536,640C-BMA,True,False,0.14285714350649356,1.0127125035544635,0.38038836982087093,0.013268593279427513
E-MTAB-11536,A29-BMA,True,False,0.14285714373897707,0.9988413092429904,0.3264086892453759,0.009329523215125358
E-MTAB-11536,A35-BMA,True,False,0.14737793851309147,1.012245859759912,0.3785890586646719,0.009156163059377642
E-MTAB-11536,A36-BMA,True,False,0.1589100229175273,1.0422933125855542,0.4107181866253317,0.009755474434867639
E-MTAB-11536,A37-BMA,True,False,0.1443586443563898,0.9955233019877601,0.3282938296334859,0.008716504799579583
GSE116256,AML1012-D0,False,False,0.004694835680751097,1.2436762383702196,0.4621303573088684,0.05387623100334001
GSE116256,AML210A-D0,False,False,0.23928571428571416,1.0023747819121676,0.4641928199956878,0.10396840303567796
GSE116256,AML328-D0,False,True,0.1891741071428571,1.0878943859929093,0.5835473313505357,0.11403994351145443
GSE116256,AML328-D29,False,True,0.10313948618510356,1.1887082665005366,0.5261011944875259,0.10326770667890128
GSE116256,AML329-D0,False,True,0.2205643652469791,1.1178338473660554,0.5787167354049199,0.1331843524682317
GSE116256,AML329-D20,False,True,0.14285714461461213,1.010824676868531,0.4117738662322284,0.07941113745904033
GSE116256,AML419A-D0,False,False,0.16276084714692976,0.9800503578661002,0.3020160355511813,0.017265273848048605
GSE116256,AML556-D0,False,True,0.17533346218564333,1.0703661733830703,0.18375669600930059,0.020542727577370735
GSE116256,AML556-D31,False,True,0.14285714285714277,1.0170000673657886,0.422961091800079,0.05704697357175343
GSE116256,AML707B-D0,False,True,0.1701839826839829,1.0211936089026228,0.44603566963816405,0.0507497955081914
GSE116256,AML707B-D113,False,True,0.17659807140817768,1.1289543614875488,0.35082585474113953,0.14681325497351577
GSE116256,AML916-D0,False,False,0.22072829131652652,1.0746332744759783,0.42332071757313305,0.04784512335552242
GSE116256,AML921A-D0,False,False,0.19440471422850256,0.982793805966953,0.4917019458234667,0.06656793806273334
GSE116256,BM3,True,False,0.2575270209964241,1.0096821791440633,0.517661883925662,0.123507740347285
GSE116256,BM4,True,False,0.269508670520231,1.0407014395594274,0.6315261047048286,0.10261235569588528
GSE116256,BM5-34p,True,False,0.35055219087034806,0.9652279106933651,0.5554191775042646,0.08256078407605999
GSE185381,AML001,False,False,0.3499999999999994,0.9440918968383786,0.6340772035293621,0.03493390982772384
GSE185381,AML003,False,False,0.01557026102126974,1.1530157463800936,0.19886975253916633,0.15009021572661052
GSE185381,AML0048,False,False,0.14968961074454382,0.9894108466909002,0.33231713038665145,0.05629689513675069
GSE185381,AML005,False,False,0.1712823600240822,0.9903281993445635,0.4256133147187088,0.030992532587346053
GSE185381,AML006,False,False,0.37451279444161967,0.8596350959428438,0.5422056125936837,0.07758994046357473
GSE185381,AML009,False,False,0.301193756380906,0.9946081666313431,0.619848022141543,0.08830071222607912
GSE185381,AML0114,False,False,0.24641131815044917,1.1294187420128443,0.6651475450073191,0.1178798697680771
GSE185381,AML012,False,False,0.14309580634162966,0.9870148686068765,0.24005939256907752,0.006763927251511064
GSE185381,AML0160,False,False,0.2234568847275895,0.9856827120882368,0.2058188566998223,0.08560800430879116
GSE185381,AML022,False,False,0.2479784366576817,1.090920183820638,0.6828623890969355,0.029844171284216528
GSE185381,AML025,False,False,0.14320888397567957,0.9967746677053463,0.34865202011111174,0.020630320906472228
GSE185381,AML026,False,False,0.1614035109223353,0.9849341570065243,0.30736547361375377,0.030869517097173674
GSE185381,AML028,False,False,0.14285714311185504,0.9922891288702537,0.18843278422344673,0.007649302837793889
GSE185381,AML0361,False,False,0.19115059613712376,1.017197250466632,0.14246363142878582,0.03513903105849647
GSE185381,AML038,False,False,0.14460968404186064,0.9883611332236669,0.25472428124924673,0.010760202820537055
GSE185381,AML043,False,False,0.17246797278133,0.9974789637162945,0.3775205611667813,0.04030928423235471
GSE185381,AML048,False,False,0.15167457023846156,1.0381568293217571,0.48768824663264626,0.02210602985084849
GSE185381,AML051,False,False,0.21836180124223611,1.1583123019333936,0.43249619432343855,0.16846422177139742
GSE185381,AML052,False,False,0.10639476892386136,1.1053895378794838,0.179761524275297,0.03066454342867458
GSE185381,AML055,False,False,0.2003484320557494,0.9887088800624987,0.4187438202814859,0.04721841941346985
GSE185381,AML056,False,False,0.17779728929258448,1.0888316470940798,0.4608876780126816,0.009979720121173347
GSE185381,AML0612,False,False,0.24186329922467567,0.9852458197027004,0.46020359270619093,0.05584755608903545
GSE185381,AML0693,False,False,0.23871777845880088,1.0777989439465883,0.7288126195870018,0.19178411537623946
GSE185381,AML073,False,False,0.41889489160910875,0.8689428320386069,0.6194919944295767,0.07556003941103867
GSE185381,AML1371,False,False,0.14285714355693294,0.9940869341813708,0.23856532137212338,0.010987940126565801
GSE185381,AML2123,False,False,0.3720417425424764,0.8992454315757773,0.5166148147879791,0.04148061966602361
GSE185381,AML2451,False,False,0.22847090360772926,0.9766829924765901,0.20273162136209172,0.07113833080674854
GSE185381,AML2910,False,False,0.20287557631630837,0.9739045914452443,0.2213922806708831,0.07279417348113298
GSE185381,AML3133,False,False,0.23051623082985748,1.135001042004208,0.3781197459999998,0.08422601145577784
GSE185381,AML3266,False,False,0.2857142864572278,0.9521922534963864,0.4699966938429865,0.010281277657492895
GSE185381,AML3730,False,False,0.20907915333832416,0.975442094340147,0.198733414260614,0.03998079835078404
GSE185381,AML3762,False,False,0.2355947399880462,1.0239103983559932,0.5143114795401413,0.08357627045233902
GSE185381,AML3948,False,False,0.1625428620766213,0.9897061161118257,0.30617938528192246,0.04400331984164246
GSE185381,AML4340,False,False,0.2857754145118633,0.9559249675434948,0.2241556361262585,0.02954681861106065
GSE185381,AML4897,False,False,0.14469622331691298,1.0008957974804455,0.3274529960398683,0.004800903254524678
GSE185381,Control0004,True,False,0.14285714373510597,1.0247623601318228,0.37471453756910617,0.005137229698100431
GSE185381,Control0005,True,False,0.14317072078125698,1.1006517343841729,0.4871416302163456,0.019564886876503814
GSE185381,Control0058,True,False,0.2857142859183674,0.9593746177053621,0.4560636377108664,0.0033507036056902866
GSE185381,Control0082,True,False,0.14415453366008357,1.0779277190681138,0.4826981864620875,0.010058480154131464
GSE185381,Control1,True,False,0.29792476592016603,0.9792118563043352,0.44863993730244306,0.11160297914502482
GSE185381,Control2,True,False,0.14437844103158498,0.9871942446637728,0.2002654525028565,0.030494985896508495
GSE185381,Control3,True,False,0.14579141515761224,1.0414397078766284,0.44619891362678543,0.006715979857449719
GSE185381,Control4,True,False,0.26465830989392247,0.9966773605655728,0.5218213438367968,0.014474697590449786
GSE185381,Control4003,True,False,0.212941503862965,1.0584763607148453,0.42460522662204775,0.009111693995824897
GSE185381,Control5,True,False,0.14408564408564412,1.055229802511459,0.4583399917842197,0.021815440400378455
GSE185381,PAUMTZ,False,False,0.14312719416689168,1.0159687567584934,0.40472203655637834,0.011926760041843492
GSE185381,PAXMIJ,False,False,0.2060500475134619,1.0156793756046014,0.18949230968931083,0.03773347918987702
