block,n_edges,mean_dC,direction,null_sd,perm_p,q_bh,significant_fdr
immune_to_immune,9,0.12341810282788199,weaker_in_AML,0.05278723272927102,0.016798320167983202,0.08399160083991601,False
primitive_autocrine,4,-0.04217440537547418,stronger_in_AML,0.04949461107541286,0.38776122387761225,0.8823117688231177,False
primitive_to_immune,6,0.01375833756837982,weaker_in_AML,0.043308167550253684,0.7530246975302469,0.8823117688231177,False
other_lineages,24,-0.008519225827644996,stronger_in_AML,0.03396818556674903,0.803919608039196,0.8823117688231177,False
immune_to_primitive,6,-0.007106765373993573,stronger_in_AML,0.047881953078010665,0.8823117688231177,0.8823117688231177,False
