arm,label,ari_k2,ari_maxk,best_k,ari_at_n_classes
prop7,dataset,0.07874894353649589,0.09372918931525313,3,0.07680565557460081
tabular,dataset,-0.0033513092081593207,0.05121056901645522,4,0.041042154987787606
tv,dataset,-0.003222566235484269,0.0508231323628914,5,0.06578696463429985
corrot,dataset,-0.004789583447187579,0.0624811350314145,6,0.08168062512416914
dwot_shipped,dataset,-0.001947180099387897,0.047091651993441154,6,0.061056277070181325
dwot_fixed,dataset,-0.0008812788439630163,0.05029450289316441,6,0.072218828952259
