model,n,beta_is_aml,perm_p,mean_healthy,mean_aml
A_global,138,0.08145894923876619,0.0015998400159984002,0.0891578432229889,0.19443132799881674
B_within_dataset,72,0.06546642797157586,0.030796920307969204,0.09938157144335849,0.16417559478878663
desc_Chen2023,9,,,0.17784671199114038,0.1858129915334984
desc_GSE116256,16,,,0.10294363358080767,0.22221272282515453
desc_GSE185381,47,,,0.06692689658301099,0.14086019889158818
