alpha,status,n_global,n_strat,mean_healthy,mean_aml,beta_global,p_global,beta_strat,p_strat
0.0,ok,138,72,0.11611325361366479,0.3336515715998465,0.15799487495006398,0.0010998900109989002,0.12199601558799161,0.0160983901609839
0.25,ok,138,72,0.10705713465267577,0.26994719783062476,0.11965939808445356,0.0007999200079992001,0.09420076423768384,0.021397860213978603
0.5,ok,138,72,0.09782779364064338,0.2055586371397655,0.08031313172984,0.0017998200179982,0.06524220461787275,0.0268973102689731
0.75,ok,138,72,0.0875532617182624,0.13890490259238783,0.0392332350617405,0.023297670232976703,0.034969822767937975,0.1004899510048995
1.0,ok,138,72,0.07000893792764784,0.06453317052089677,-0.002057335951803396,0.8845115488451155,0.0051651391588052225,0.7986201379862014
