sample_id,tp53_hit_malignant,tp53_hit_control,tp53_proxy_pos,proxy_confidence,n_mal_subclusters,n_mal_hit,frac_mal_hit,n_control_subclusters,n_excluded_small,label_source,dataset_id,healthy_control,evidence_tier
AML103_Niche_Immune,FALSE,FALSE,FALSE,negative,5,0,0,1,7,infercnv_percell_local,Chen2023,FALSE,"C_single(infercnv_only,LOH_blind)"
AML162_niche_immune,FALSE,FALSE,FALSE,negative,5,0,0,1,7,infercnv_percell_local,Chen2023,FALSE,"C_single(infercnv_only,LOH_blind)"
AML24_Niche_Immune,FALSE,FALSE,FALSE,negative,5,0,0,0,4,infercnv_percell_local,Chen2023,FALSE,"C_single(infercnv_only,LOH_blind)"
AML304_Niche_Immune,FALSE,FALSE,FALSE,negative,27,0,0,1,13,infercnv_percell_local,Chen2023,FALSE,"C_single(infercnv_only,LOH_blind)"
AML320_NICHE_IMMUNE,TRUE,FALSE,TRUE,high,23,1,0.0434782608695652,5,21,infercnv_percell_local,Chen2023,FALSE,"C_single(infercnv_only,LOH_blind)"
NBM1_Niche_Immune,TRUE,FALSE,TRUE,low_no_baseline,9,1,0.111111111111111,2,13,infercnv_percell_local,Chen2023,TRUE,"C_single(infercnv_only,LOH_blind)"
NBM2_Niche_Immune,FALSE,FALSE,FALSE,negative,8,0,0,0,6,infercnv_percell_local,Chen2023,TRUE,"C_single(infercnv_only,LOH_blind)"
NBM3_Niche_immune,FALSE,FALSE,FALSE,negative,5,0,0,0,5,infercnv_percell_local,Chen2023,TRUE,"C_single(infercnv_only,LOH_blind)"
NBM4_Niche_Immune,FALSE,FALSE,FALSE,negative,2,0,0,0,4,infercnv_percell_local,Chen2023,TRUE,"C_single(infercnv_only,LOH_blind)"
AML420B-D14,TRUE,FALSE,TRUE,low_no_baseline,2,2,1,0,4,infercnv_percell_local,GSE116256,FALSE,"C_single(infercnv_only,LOH_blind)"
AML556-D0,TRUE,FALSE,TRUE,low_no_baseline,25,2,0.08,0,6,infercnv_percell_local,GSE116256,FALSE,"C_single(infercnv_only,LOH_blind)"
AML556-D15,TRUE,FALSE,TRUE,low_no_baseline,1,1,1,0,2,infercnv_percell_local,GSE116256,FALSE,"C_single(infercnv_only,LOH_blind)"
AML556-D31,FALSE,FALSE,FALSE,negative,1,0,0,4,12,infercnv_percell_local,GSE116256,FALSE,"C_single(infercnv_only,LOH_blind)"
AML707B-D0,FALSE,FALSE,FALSE,negative,4,0,0,3,10,infercnv_percell_local,GSE116256,FALSE,"C_single(infercnv_only,LOH_blind)"
AML707B-D113,FALSE,FALSE,FALSE,negative,1,0,0,2,4,infercnv_percell_local,GSE116256,FALSE,"C_single(infercnv_only,LOH_blind)"
AML707B-D18,FALSE,FALSE,FALSE,negative,0,0,,1,3,infercnv_percell_local,GSE116256,FALSE,"C_single(infercnv_only,LOH_blind)"
AML916-D0,FALSE,FALSE,FALSE,negative,12,0,0,0,9,infercnv_percell_local,GSE116256,FALSE,"C_single(infercnv_only,LOH_blind)"
AML921A-D0,FALSE,FALSE,FALSE,negative,0,0,,30,9,infercnv_percell_local,GSE116256,FALSE,"C_single(infercnv_only,LOH_blind)"
BM4,FALSE,FALSE,FALSE,negative,0,0,,12,9,infercnv_percell_local,GSE116256,TRUE,"C_single(infercnv_only,LOH_blind)"
BM5-34p,TRUE,FALSE,TRUE,low_no_baseline,17,7,0.411764705882353,0,7,infercnv_percell_local,GSE116256,TRUE,"C_single(infercnv_only,LOH_blind)"
BM5-34p38n,FALSE,FALSE,FALSE,negative,22,0,0,0,9,infercnv_percell_local,GSE116256,TRUE,"C_single(infercnv_only,LOH_blind)"
GSM5613744_2019-07-01-count-1,FALSE,FALSE,FALSE,negative,0,0,,23,12,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613745_2019-07-01-count-2,FALSE,FALSE,FALSE,negative,0,0,,24,25,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613746_2019-07-01-count-3,FALSE,FALSE,FALSE,negative,0,0,,28,14,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613748_2019-08-01-count-2,FALSE,FALSE,FALSE,negative,0,0,,11,16,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613749_2019-08-01-count-3,FALSE,FALSE,FALSE,negative,0,0,,9,15,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613750_2019-08-01-count-4,FALSE,FALSE,FALSE,negative,0,0,,16,14,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613751_2019-08-29-count-1,FALSE,FALSE,FALSE,negative,1,0,0,22,14,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613752_2019-08-29-count-2,FALSE,FALSE,FALSE,negative,1,0,0,25,13,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613756_2019-10-25-count-5,FALSE,FALSE,FALSE,negative,3,0,0,10,11,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613757_2019-11-04-count-1,FALSE,FALSE,FALSE,negative,1,0,0,9,16,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613758_2019-11-04-count-2,FALSE,FALSE,FALSE,negative,3,0,0,3,13,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613759_2019-11-04-count-3,FALSE,FALSE,FALSE,negative,5,0,0,17,11,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613760_2019-11-19-count-1,FALSE,FALSE,FALSE,negative,28,0,0,4,21,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613761_2019-11-19-count-2,FALSE,FALSE,FALSE,negative,3,0,0,13,14,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613762_2019-11-26-count-1,FALSE,FALSE,FALSE,negative,0,0,,19,17,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613763_2019-11-26-count-2,FALSE,FALSE,FALSE,negative,1,0,0,26,8,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613764_2020-01-03-count-1,FALSE,FALSE,FALSE,negative,1,0,0,15,22,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613765_2020-01-03-count-2,FALSE,FALSE,FALSE,negative,4,0,0,21,24,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613766_2020-03-18-AML0048-c1,FALSE,FALSE,FALSE,negative,19,0,0,1,11,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613767_2020-03-18-AML0048-c2,FALSE,FALSE,FALSE,negative,20,0,0,2,10,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613768_2020-03-18-AML3266,FALSE,FALSE,FALSE,negative,1,0,0,4,10,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613769_2020-03-18-count-1,FALSE,FALSE,FALSE,negative,14,0,0,3,20,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613770_2020-03-18-count-2,FALSE,FALSE,FALSE,negative,14,0,0,3,10,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613771_2020-03-18-count-3,FALSE,FALSE,FALSE,negative,9,0,0,6,17,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613774_2020-08-26-Control4003-c1,FALSE,FALSE,FALSE,negative,0,0,,2,6,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613775_2020-08-26-Control4003-c2,FALSE,FALSE,FALSE,negative,1,0,0,2,9,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613776_2020-08-26-Control4003-c3,FALSE,FALSE,FALSE,negative,1,0,0,4,10,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613777_2020-09-11-AML4340_AML1371-c1,FALSE,FALSE,FALSE,negative,2,0,0,1,2,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613778_2020-09-11-AML4340_AML1371-c2,FALSE,FALSE,FALSE,negative,2,0,0,0,4,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613779_2020-09-15-AML0024,FALSE,FALSE,FALSE,negative,0,0,,32,8,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613780_2020-10-06-AML4897,FALSE,FALSE,FALSE,negative,0,0,,1,7,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613781_2020-10-06-count2,FALSE,FALSE,FALSE,negative,7,0,0,7,4,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613782_2020-10-06-count4_0.95,FALSE,FALSE,FALSE,negative,1,0,0,7,13,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613784_2021-03-09-AML0693,TRUE,FALSE,TRUE,high,4,3,0.75,8,5,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613785_2021-03-09-AML3948,TRUE,TRUE,FALSE,negative,5,4,0.8,38,11,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
