sender_bin,receiver_bin,ligand,receptor,n_samples,frac_samples,mean_prob
LMPP_GMP,T_NK,MDK,NCL,24,0.1983,0.0189
HSC_MPP,T_NK,HLA-E,KLRK1,24,0.1983,0.0300
LMPP_GMP,Mono_DC,ANXA1,FPR1,23,0.1901,0.0231
HSC_MPP,Mono_DC,HLA-DPB1,CD4,23,0.1901,0.0166
HSC_MPP,Mono_DC,LGALS9,HAVCR2,23,0.1901,0.0057
LMPP_GMP,T_NK,F11R,ITGAL_ITGB2,23,0.1901,0.0065
LMPP_GMP,Mono_DC,HLA-DPA1,CD4,22,0.1818,0.0173
LMPP_GMP,T_NK,APP,SORL1,22,0.1818,0.0103
LMPP_GMP,B_Plasma,MDK,NCL,22,0.1818,0.0183
LMPP_GMP,Mono_DC,ICAM2,ITGAL_ITGB2,22,0.1818,0.0065
HSC_MPP,Mono_DC,LAIR1,LILRB4,22,0.1818,0.0119
LMPP_GMP,T_NK,APP,CD74,22,0.1818,0.0436
LMPP_GMP,Mono_DC,NAMPT,ITGA5_ITGB1,21,0.1736,0.0230
LMPP_GMP,Mono_DC,PECAM1,PECAM1,21,0.1736,0.0056
HSC_MPP,B_Plasma,TNFSF13B,TNFRSF13C,21,0.1736,0.0066
HSC_MPP,Mono_DC,ANXA1,FPR1,21,0.1736,0.0209
HSC_MPP,Mono_DC,MDK,LRP1,21,0.1736,0.0052
HSC_MPP,Mono_DC,APP,SORL1,20,0.1653,0.0079
HSC_MPP,T_NK,CD55,ADGRE5,20,0.1653,0.0292
LMPP_GMP,Mono_DC,MDK,NCL,20,0.1653,0.0164
LMPP_GMP,T_NK,ICAM2,ITGAL_ITGB2,20,0.1653,0.0058
HSC_MPP,T_NK,MIF,CD74_CD44,20,0.1653,0.1346
HSC_MPP,Mono_DC,CD55,ADGRE5,19,0.1570,0.0248
HSC_MPP,B_Plasma,LGALS9,PTPRC,19,0.1570,0.0168
HSC_MPP,T_NK,APP,SORL1,19,0.1570,0.0064
LMPP_GMP,Mono_DC,CTSG,FPR1,19,0.1570,0.0221
LMPP_GMP,T_NK,LGALS9,P4HB,18,0.1488,0.0096
HSC_MPP,B_Plasma,LGALS9,CD44,18,0.1488,0.0138
LMPP_GMP,Mono_DC,APP,SORL1,18,0.1488,0.0084
LMPP_GMP,T_NK,MDK,ITGA4_ITGB1,18,0.1488,0.0048
HSC_MPP,Mono_DC,HLA-DQB1,CD4,18,0.1488,0.0105
LMPP_GMP,B_Plasma,LGALS9,P4HB,17,0.1405,0.0078
LMPP_GMP,Mono_DC,CD55,ADGRE5,17,0.1405,0.0225
LMPP_GMP,Mono_DC,HLA-DRB5,CD4,17,0.1405,0.0093
LMPP_GMP,Mono_DC,MDK,ITGA4_ITGB1,16,0.1322,0.0063
HSC_MPP,Mono_DC,HLA-DQA1,CD4,16,0.1322,0.0074
LMPP_GMP,Mono_DC,HLA-DQB1,CD4,16,0.1322,0.0086
HSC_MPP,Mono_DC,HLA-DRB5,CD4,16,0.1322,0.0099
HSC_MPP,Mono_DC,ICAM2,ITGAM_ITGB2,15,0.1240,0.0086
LMPP_GMP,T_NK,CD55,ADGRE5,15,0.1240,0.0273
LMPP_GMP,Mono_DC,MDK,LRP1,15,0.1240,0.0042
HSC_MPP,T_NK,ICAM2,ITGAL_ITGB2,15,0.1240,0.0075
LMPP_GMP,Mono_DC,ICAM2,ITGAM_ITGB2,15,0.1240,0.0064
LMPP_GMP,B_Plasma,TNFSF13B,TNFRSF13B,14,0.1157,0.0150
LMPP_GMP,Mono_DC,HLA-DQA1,CD4,14,0.1157,0.0042
LMPP_GMP,B_Plasma,CD99,CD99,13,0.1074,0.0730
HSC_MPP,Mono_DC,NAMPT,ITGA5_ITGB1,13,0.1074,0.0185
HSC_MPP,Mono_DC,HLA-DMB,CD4,13,0.1074,0.0037
LMPP_GMP,T_NK,HLA-A,CD8B,13,0.1074,0.0404
LMPP_GMP,T_NK,HLA-B,CD8B,13,0.1074,0.0390
LMPP_GMP,T_NK,HLA-C,CD8B,13,0.1074,0.0322
LMPP_GMP,T_NK,HLA-E,CD8B,13,0.1074,0.0193
HSC_MPP,B_Plasma,PECAM1,CD38,12,0.0992,0.0047
HSC_MPP,B_Plasma,LGALS9,P4HB,12,0.0992,0.0066
LMPP_GMP,Mono_DC,HLA-DMB,CD4,12,0.0992,0.0030
