dataset,sample,ccc_eligible,exclude_reason,Timepoint,study_role,sample_role,l2_capable,sorted_sublib,total_cells,n_nodes_present,lymphoid_cells,immune_recv,Study,Patient_ID,uid_patient,is_longitudinal,subtype_stratum,l2_val,l2_flag
GSE201966,GSM6085181_AML03M5_P,TRUE,"",Diagnosis,Validation-relapse,Validation-relapse,TRUE,FALSE,7031,4,198,6926,GSE201966 (acute monocytic AML relapse),AML03M5,GSE201966:AML03M5,TRUE,monocytic,TRUE,TRUE
GSE201966,GSM6085182_AML03M5_RE,TRUE,"",Relapse,Validation-relapse,Validation-relapse,TRUE,FALSE,2386,6,2185,2245,GSE201966 (acute monocytic AML relapse),AML03M5,GSE201966:AML03M5,TRUE,monocytic,TRUE,TRUE
GSE207356,GSM6284912_TS173_04_Sample_D,TRUE,"",Diagnosis,Exploratory,Exploratory,TRUE,FALSE,7832,6,4319,4368,Nicosia 2023 Cancer Cell,TS173,GSE207356:TS173,TRUE,"",TRUE,TRUE
GSE207356,GSM6284913_TS173_05_Sample_E,TRUE,"",Post_treatment,Exploratory,Exploratory,TRUE,FALSE,4861,7,433,2380,Nicosia 2023 Cancer Cell,TS173,GSE207356:TS173,TRUE,"",TRUE,TRUE
GSE207356,GSM6284914_TS173_06_Sample_F,TRUE,"",Post_treatment,Exploratory,Exploratory,TRUE,FALSE,6239,7,689,3538,Nicosia 2023 Cancer Cell,TS173,GSE207356:TS173,TRUE,"",TRUE,TRUE
GSE227903,1216_Dg,TRUE,"",Diagnosis,Validation-relapse+treatment,Validation-relapse+treatment,TRUE,FALSE,1929,6,385,1150,Ennis 2023 iScience,1216,GSE227903:1216,TRUE,mixed,TRUE,TRUE
GSE227903,1216_MRD,TRUE,"",MRD,Validation-relapse+treatment,Validation-relapse+treatment,TRUE,FALSE,1726,6,632,1557,Ennis 2023 iScience,1216,GSE227903:1216,TRUE,mixed,TRUE,TRUE
GSE227903,1216_R,TRUE,"",Relapse,Validation-relapse+treatment,Validation-relapse+treatment,TRUE,FALSE,4831,6,783,1616,Ennis 2023 iScience,1216,GSE227903:1216,TRUE,mixed,TRUE,TRUE
GSE227903,1886_Dg,TRUE,"",Diagnosis,Validation-relapse+treatment,Validation-relapse+treatment,TRUE,FALSE,2504,6,142,1524,Ennis 2023 iScience,1886,GSE227903:1886,TRUE,mixed,TRUE,TRUE
GSE227903,1886_MRD,TRUE,"",MRD,Validation-relapse+treatment,Validation-relapse+treatment,TRUE,FALSE,2745,6,349,2524,Ennis 2023 iScience,1886,GSE227903:1886,TRUE,mixed,TRUE,TRUE
GSE227903,1886_R,TRUE,"",Relapse,Validation-relapse+treatment,Validation-relapse+treatment,TRUE,FALSE,965,7,178,240,Ennis 2023 iScience,1886,GSE227903:1886,TRUE,mixed,TRUE,TRUE
GSE227903,3853_Dg,TRUE,"",Diagnosis,Validation-relapse+treatment,Validation-relapse+treatment,TRUE,FALSE,1167,4,43,155,Ennis 2023 iScience,3853,GSE227903:3853,TRUE,mixed,TRUE,TRUE
GSE227903,3904_Dg,TRUE,"",Diagnosis,Validation-relapse+treatment,Validation-relapse+treatment,TRUE,FALSE,2571,6,168,223,Ennis 2023 iScience,3904,GSE227903:3904,TRUE,mixed,TRUE,TRUE
GSE227903,3904_MRD,TRUE,"",MRD,Validation-relapse+treatment,Validation-relapse+treatment,TRUE,FALSE,2188,6,176,1888,Ennis 2023 iScience,3904,GSE227903:3904,TRUE,mixed,TRUE,TRUE
GSE227903,3904_R,TRUE,"",Relapse,Validation-relapse+treatment,Validation-relapse+treatment,TRUE,FALSE,8332,6,215,253,Ennis 2023 iScience,3904,GSE227903:3904,TRUE,mixed,TRUE,TRUE
GSE227903,40389_Dg,TRUE,"",Diagnosis,Validation-relapse+treatment,Validation-relapse+treatment,TRUE,FALSE,2898,6,828,2369,Ennis 2023 iScience,40389,GSE227903:40389,TRUE,mixed,TRUE,TRUE
GSE227903,40389_MRD,TRUE,"",MRD,Validation-relapse+treatment,Validation-relapse+treatment,TRUE,FALSE,3448,5,2270,3323,Ennis 2023 iScience,40389,GSE227903:40389,TRUE,mixed,TRUE,TRUE
GSE227903,40389_R,TRUE,"",Relapse,Validation-relapse+treatment,Validation-relapse+treatment,TRUE,FALSE,4892,7,3200,4389,Ennis 2023 iScience,40389,GSE227903:40389,TRUE,mixed,TRUE,TRUE
GSE227903,4978_Dg,TRUE,"",Diagnosis,Validation-relapse+treatment,Validation-relapse+treatment,TRUE,FALSE,2315,6,259,379,Ennis 2023 iScience,4978,GSE227903:4978,TRUE,mixed,TRUE,TRUE
GSE227903,4978_MRD,TRUE,"",MRD,Validation-relapse+treatment,Validation-relapse+treatment,TRUE,FALSE,1622,5,362,764,Ennis 2023 iScience,4978,GSE227903:4978,TRUE,mixed,TRUE,TRUE
GSE227903,4978_R,TRUE,"",Relapse,Validation-relapse+treatment,Validation-relapse+treatment,TRUE,FALSE,1252,3,7,13,Ennis 2023 iScience,4978,GSE227903:4978,TRUE,mixed,TRUE,TRUE
GSE227903,5143_Dg,TRUE,"",Diagnosis,Validation-relapse+treatment,Validation-relapse+treatment,TRUE,FALSE,1025,4,301,737,Ennis 2023 iScience,5143,GSE227903:5143,TRUE,mixed,TRUE,TRUE
GSE227903,5143_R,TRUE,"",Relapse,Validation-relapse+treatment,Validation-relapse+treatment,TRUE,FALSE,1960,4,457,997,Ennis 2023 iScience,5143,GSE227903:5143,TRUE,mixed,TRUE,TRUE
GSE227903,5750_Dg,TRUE,"",Diagnosis,Validation-relapse+treatment,Validation-relapse+treatment,TRUE,FALSE,3910,6,61,458,Ennis 2023 iScience,5750,GSE227903:5750,TRUE,mixed,TRUE,TRUE
GSE227903,5750_MRD,TRUE,"",MRD,Validation-relapse+treatment,Validation-relapse+treatment,TRUE,FALSE,2069,6,168,1790,Ennis 2023 iScience,5750,GSE227903:5750,TRUE,mixed,TRUE,TRUE
GSE227903,5750_R,TRUE,"",Relapse,Validation-relapse+treatment,Validation-relapse+treatment,TRUE,FALSE,4841,6,1462,2012,Ennis 2023 iScience,5750,GSE227903:5750,TRUE,mixed,TRUE,TRUE
GSE227903,6323_Dg,TRUE,"",Diagnosis,Validation-relapse+treatment,Validation-relapse+treatment,TRUE,FALSE,561,4,51,287,Ennis 2023 iScience,6323,GSE227903:6323,TRUE,mixed,TRUE,TRUE
GSE227903,6323_MRD,TRUE,"",MRD,Validation-relapse+treatment,Validation-relapse+treatment,TRUE,FALSE,9888,6,846,9634,Ennis 2023 iScience,6323,GSE227903:6323,TRUE,mixed,TRUE,TRUE
GSE227903,6323_R,TRUE,"",Relapse,Validation-relapse+treatment,Validation-relapse+treatment,TRUE,FALSE,808,5,104,317,Ennis 2023 iScience,6323,GSE227903:6323,TRUE,mixed,TRUE,TRUE
GSE227903,6323_R2,TRUE,"",Relapse2,Validation-relapse+treatment,Validation-relapse+treatment,TRUE,FALSE,3280,6,1324,1489,Ennis 2023 iScience,6323,GSE227903:6323,TRUE,mixed,TRUE,TRUE
GSE239721,PT10A,TRUE,"",Diagnosis,Discovery-AML,Discovery-AML,TRUE,FALSE,1008,3,1,3,GSE239721 (IFN-gamma AML),PT10A,GSE239721:PT10A,FALSE,other,TRUE,TRUE
GSE239721,PT14A,TRUE,"",Diagnosis,Discovery-AML,Discovery-AML,TRUE,FALSE,585,3,0,3,GSE239721 (IFN-gamma AML),PT14A,GSE239721:PT14A,FALSE,other,TRUE,TRUE
GSE239721,PT15A,TRUE,"",Diagnosis,Discovery-AML,Discovery-AML,TRUE,FALSE,3298,3,0,0,GSE239721 (IFN-gamma AML),PT15A,GSE239721:PT15A,FALSE,other,TRUE,TRUE
GSE239721,PT16A,TRUE,"",Diagnosis,Discovery-AML,Discovery-AML,TRUE,FALSE,1156,4,22,24,GSE239721 (IFN-gamma AML),PT16A,GSE239721:PT16A,FALSE,other,TRUE,TRUE
GSE239721,PT17A,TRUE,"",Diagnosis,Discovery-AML,Discovery-AML,TRUE,FALSE,2117,4,3,45,GSE239721 (IFN-gamma AML),PT17A,GSE239721:PT17A,FALSE,other,TRUE,TRUE
GSE239721,PT20A,TRUE,"",Diagnosis,Discovery-AML,Discovery-AML,TRUE,FALSE,863,4,2,13,GSE239721 (IFN-gamma AML),PT20A,GSE239721:PT20A,FALSE,other,TRUE,TRUE
GSE239721,PT21A,TRUE,"",Diagnosis,Discovery-AML,Discovery-AML,TRUE,FALSE,3020,5,103,582,GSE239721 (IFN-gamma AML),PT21A,GSE239721:PT21A,FALSE,other,TRUE,TRUE
GSE239721,PT22A,TRUE,"",Diagnosis,Discovery-AML,Discovery-AML,TRUE,FALSE,1381,5,49,77,GSE239721 (IFN-gamma AML),PT22A,GSE239721:PT22A,FALSE,other,TRUE,TRUE
GSE239721,PT23A,TRUE,"",Diagnosis,Discovery-AML,Discovery-AML,TRUE,FALSE,3705,4,14,263,GSE239721 (IFN-gamma AML),PT23A,GSE239721:PT23A,FALSE,other,TRUE,TRUE
GSE239721,PT26A,TRUE,"",Diagnosis,Discovery-AML,Discovery-AML,TRUE,FALSE,1037,4,10,47,GSE239721 (IFN-gamma AML),PT26A,GSE239721:PT26A,FALSE,other,TRUE,TRUE
GSE239721,PT27A,TRUE,"",Diagnosis,Discovery-AML,Discovery-AML,TRUE,FALSE,4306,3,1,6,GSE239721 (IFN-gamma AML),PT27A,GSE239721:PT27A,FALSE,other,TRUE,TRUE
GSE239721,PT28A,TRUE,"",Diagnosis,Discovery-AML,Discovery-AML,TRUE,FALSE,6546,4,6,73,GSE239721 (IFN-gamma AML),PT28A,GSE239721:PT28A,FALSE,other,TRUE,TRUE
GSE239721,PT29A,TRUE,"",Diagnosis,Discovery-AML,Discovery-AML,TRUE,FALSE,1556,3,28,34,GSE239721 (IFN-gamma AML),PT29A,GSE239721:PT29A,FALSE,other,TRUE,TRUE
GSE239721,PT30A,TRUE,"",Diagnosis,Discovery-AML,Discovery-AML,TRUE,FALSE,525,3,1,242,GSE239721 (IFN-gamma AML),PT30A,GSE239721:PT30A,FALSE,other,TRUE,TRUE
GSE239721,PT32A,TRUE,"",Diagnosis,Discovery-AML,Discovery-AML,TRUE,FALSE,1635,2,0,1475,GSE239721 (IFN-gamma AML),PT32A,GSE239721:PT32A,FALSE,other,TRUE,TRUE
GSE289435,GSM8791432_MLL_14666,TRUE,"",Diagnosis,Discovery-AML,Discovery-AML,TRUE,FALSE,8307,5,1092,6051,Zeng 2025 BCD,MLL_14666,GSE289435:MLL_14666,FALSE,other,TRUE,TRUE
GSE289435,GSM8791433_MLL_16703,TRUE,"",Diagnosis,Discovery-AML,Discovery-AML,TRUE,FALSE,6491,6,884,884,Zeng 2025 BCD,MLL_16703,GSE289435:MLL_16703,FALSE,other,TRUE,TRUE
GSE289435,GSM8791434_MLL_17746,TRUE,"",Diagnosis,Discovery-AML,Discovery-AML,TRUE,FALSE,4504,5,99,491,Zeng 2025 BCD,MLL_17746,GSE289435:MLL_17746,FALSE,other,TRUE,TRUE
GSE289435,GSM8791435_MLL_17843,TRUE,"",Diagnosis,Discovery-AML,Discovery-AML,TRUE,FALSE,10339,5,506,507,Zeng 2025 BCD,MLL_17843,GSE289435:MLL_17843,FALSE,other,TRUE,TRUE
GSE289435,GSM8791436_MLL_17844,TRUE,"",Diagnosis,Discovery-AML,Discovery-AML,TRUE,FALSE,11912,3,10,10556,Zeng 2025 BCD,MLL_17844,GSE289435:MLL_17844,FALSE,other,TRUE,TRUE
GSE289435,GSM8791437_MLL_28824,TRUE,"",Diagnosis,Discovery-AML,Discovery-AML,TRUE,FALSE,3984,7,1017,1032,Zeng 2025 BCD,MLL_28824,GSE289435:MLL_28824,FALSE,other,TRUE,TRUE
GSE289435,GSM8791438_MLL_28830,TRUE,"",Diagnosis,Discovery-AML,Discovery-AML,TRUE,FALSE,4668,6,364,3671,Zeng 2025 BCD,MLL_28830,GSE289435:MLL_28830,FALSE,other,TRUE,TRUE
GSE289435,GSM8791439_MLL_28855,TRUE,"",Diagnosis,Discovery-AML,Discovery-AML,TRUE,FALSE,4454,7,270,1904,Zeng 2025 BCD,MLL_28855,GSE289435:MLL_28855,FALSE,other,TRUE,TRUE
GSE289435,GSM8791441_MLL_29532,TRUE,"",Diagnosis,Discovery-AML,Discovery-AML,TRUE,FALSE,4645,5,4469,4473,Zeng 2025 BCD,MLL_29532,GSE289435:MLL_29532,FALSE,other,TRUE,TRUE
GSE289435,GSM8791442_MLL_29538,TRUE,"",Diagnosis,Discovery-AML,Discovery-AML,TRUE,FALSE,4179,7,416,3817,Zeng 2025 BCD,MLL_29538,GSE289435:MLL_29538,FALSE,other,TRUE,TRUE
GSE289435,GSM8791443_MLL_30862,TRUE,"",Diagnosis,Discovery-AML,Discovery-AML,TRUE,FALSE,2959,4,16,2905,Zeng 2025 BCD,MLL_30862,GSE289435:MLL_30862,FALSE,other,TRUE,TRUE
GSE289435,GSM8791444_MLL_30886,TRUE,"",Diagnosis,Discovery-AML,Discovery-AML,TRUE,FALSE,10575,7,1004,2491,Zeng 2025 BCD,MLL_30886,GSE289435:MLL_30886,FALSE,other,TRUE,TRUE
Petti2019,508084,TRUE,"",Diagnosis,Discovery-AML,Discovery-AML,TRUE,FALSE,8405,6,428,4454,Petti 2019 Nat Commun,508084,Petti2019:508084,FALSE,other,TRUE,TRUE
Petti2019,548327,TRUE,"",Diagnosis,Discovery-AML,Discovery-AML,TRUE,FALSE,7744,6,1399,1743,Petti 2019 Nat Commun,548327,Petti2019:548327,FALSE,other,TRUE,TRUE
Petti2019,721214,TRUE,"",Diagnosis,Discovery-AML,Discovery-AML,TRUE,FALSE,10502,7,122,149,Petti 2019 Nat Commun,721214,Petti2019:721214,FALSE,other,TRUE,TRUE
Petti2019,782328,TRUE,"",Diagnosis,Discovery-AML,Discovery-AML,TRUE,FALSE,14180,6,423,12481,Petti 2019 Nat Commun,782328,Petti2019:782328,FALSE,other,TRUE,TRUE
Petti2019,809653,TRUE,"",Diagnosis,Discovery-AML,Discovery-AML,TRUE,FALSE,13189,7,9503,10930,Petti 2019 Nat Commun,809653,Petti2019:809653,FALSE,other,TRUE,TRUE
Petti2019,ND_083017,TRUE,"",Healthy,Discovery-AML,Healthy-control,TRUE,FALSE,4165,6,3221,3976,Petti 2019 Nat Commun,ND_083017,Petti2019:ND_083017,FALSE,other,TRUE,TRUE
Petti2019,ND_090617,TRUE,"",Healthy,Discovery-AML,Healthy-control,TRUE,FALSE,5038,5,3847,4968,Petti 2019 Nat Commun,ND_090617,Petti2019:ND_090617,FALSE,other,TRUE,TRUE
Petti2019,Normal_sorted_170531,TRUE,"",Healthy,Discovery-AML,Healthy-control,TRUE,FALSE,2350,6,1534,2136,Petti 2019 Nat Commun,Normal_sorted_170531,Petti2019:Normal_sorted_170531,FALSE,other,TRUE,TRUE
Petti2019,Normal_sorted_170607,TRUE,"",Healthy,Discovery-AML,Healthy-control,TRUE,FALSE,1776,5,1048,1665,Petti 2019 Nat Commun,Normal_sorted_170607,Petti2019:Normal_sorted_170607,FALSE,other,TRUE,TRUE
Chen2023,AML103_CD34,FALSE,sorted_sublibrary,Diagnosis,Discovery-AML+AuxStroma,Discovery-AML+AuxStroma,TRUE,TRUE,734,2,3,693,Chen 2023 Blood Cancer Discovery,AML103,Chen2023:AML103,FALSE,NPM1,TRUE,TRUE
Chen2023,AML162_CD34,FALSE,sorted_sublibrary,Diagnosis,Discovery-AML+AuxStroma,Discovery-AML+AuxStroma,TRUE,TRUE,1988,5,1,1304,Chen 2023 Blood Cancer Discovery,AML162,Chen2023:AML162,FALSE,NPM1,TRUE,TRUE
Chen2023,AML24_CD34,FALSE,sorted_sublibrary,Diagnosis,Discovery-AML+AuxStroma,Discovery-AML+AuxStroma,TRUE,TRUE,9173,3,3,9130,Chen 2023 Blood Cancer Discovery,AML24,Chen2023:AML24,FALSE,NPM1,TRUE,TRUE
Chen2023,AML304_CD34,FALSE,sorted_sublibrary,Diagnosis,Discovery-AML+AuxStroma,Discovery-AML+AuxStroma,TRUE,TRUE,2449,4,39,1570,Chen 2023 Blood Cancer Discovery,AML304,Chen2023:AML304,FALSE,NPM1,TRUE,TRUE
Chen2023,AML320_CD34,FALSE,sorted_sublibrary,Diagnosis,Discovery-AML+AuxStroma,Discovery-AML+AuxStroma,TRUE,TRUE,2703,6,139,163,Chen 2023 Blood Cancer Discovery,AML320,Chen2023:AML320,FALSE,NPM1,TRUE,TRUE
Chen2023,AML469_CD34,FALSE,sorted_sublibrary,Diagnosis,Discovery-AML+AuxStroma,Discovery-AML+AuxStroma,TRUE,TRUE,2966,3,5,6,Chen 2023 Blood Cancer Discovery,AML469,Chen2023:AML469,FALSE,NPM1,TRUE,TRUE
Chen2023,NBM1_CD34,FALSE,sorted_sublibrary,Diagnosis,Discovery-AML+AuxStroma,Discovery-AML+AuxStroma,TRUE,TRUE,7606,7,848,4728,Chen 2023 Blood Cancer Discovery,NBM1,Chen2023:NBM1,FALSE,NPM1,TRUE,TRUE
Chen2023,NBM2_CD34,FALSE,sorted_sublibrary,Diagnosis,Discovery-AML+AuxStroma,Discovery-AML+AuxStroma,TRUE,TRUE,2478,6,140,1550,Chen 2023 Blood Cancer Discovery,NBM2,Chen2023:NBM2,FALSE,NPM1,TRUE,TRUE
Chen2023,NBM3_CD34,FALSE,sorted_sublibrary,Diagnosis,Discovery-AML+AuxStroma,Discovery-AML+AuxStroma,TRUE,TRUE,7712,7,1420,4362,Chen 2023 Blood Cancer Discovery,NBM3,Chen2023:NBM3,FALSE,NPM1,TRUE,TRUE
Chen2023,NBM4_CD34,FALSE,sorted_sublibrary,Diagnosis,Discovery-AML+AuxStroma,Discovery-AML+AuxStroma,TRUE,TRUE,4595,7,901,2756,Chen 2023 Blood Cancer Discovery,NBM4,Chen2023:NBM4,FALSE,NPM1,TRUE,TRUE
GSE116256,AML328-D0,FALSE,below_min_cells,Diagnosis,Treatment-axis,Treatment-axis,TRUE,FALSE,483,6,133,342,van Galen 2019 Cell,AML328,GSE116256:AML328,TRUE,mixed,TRUE,TRUE
GSE116256,AML371-D0,FALSE,below_min_cells,Diagnosis,Treatment-axis,Treatment-axis,TRUE,FALSE,420,4,3,306,van Galen 2019 Cell,AML371,GSE116256:AML371,TRUE,mixed,TRUE,TRUE
GSE147989,007C1D1BL,FALSE,not_l2_capable,Post_treatment,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,2058,4,5,59,Riether 2020 Nat Med,007,GSE147989:007,TRUE,mixed,FALSE,FALSE
GSE147989,007SCRBL,FALSE,not_l2_capable,Diagnosis,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,1171,4,4,25,Riether 2020 Nat Med,007,GSE147989:007,TRUE,mixed,FALSE,FALSE
GSE147989,009C1D1BL,FALSE,not_l2_capable,Post_treatment,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,587,3,0,0,Riether 2020 Nat Med,009,GSE147989:009,TRUE,mixed,FALSE,FALSE
GSE147989,009SCRBL,FALSE,not_l2_capable,Diagnosis,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,778,3,1,1,Riether 2020 Nat Med,009,GSE147989:009,TRUE,mixed,FALSE,FALSE
GSE185991,GSM5628163_M03,FALSE,not_l2_capable,Diagnosis,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,1024,5,15,240,Naldini 2023 Nat Commun,PT01,GSE185991:PT01,TRUE,NPM1,FALSE,FALSE
GSE185991,GSM5628164_M04,FALSE,not_l2_capable,Diagnosis,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,981,4,174,198,Naldini 2023 Nat Commun,PT01,GSE185991:PT01,TRUE,NPM1,FALSE,FALSE
GSE185991,GSM5628167_M07,FALSE,not_l2_capable,Diagnosis,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,1086,4,10,30,Naldini 2023 Nat Commun,PT06,GSE185991:PT06,TRUE,NPM1,FALSE,FALSE
GSE185991,GSM5628168_M08,FALSE,not_l2_capable,Diagnosis,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,1136,3,4,4,Naldini 2023 Nat Commun,PT06,GSE185991:PT06,TRUE,NPM1,FALSE,FALSE
GSE185991,GSM5628172_M22,FALSE,not_l2_capable,Diagnosis,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,4017,4,260,3815,Naldini 2023 Nat Commun,PT07,GSE185991:PT07,TRUE,NPM1,FALSE,FALSE
GSE185991,GSM5628174_M24,FALSE,not_l2_capable,Post_treatment,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,4897,2,4897,4897,Naldini 2023 Nat Commun,PT07,GSE185991:PT07,TRUE,NPM1,FALSE,FALSE
GSE185991,GSM5628175_M25,FALSE,not_l2_capable,Diagnosis,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,804,6,96,163,Naldini 2023 Nat Commun,PT02,GSE185991:PT02,TRUE,NPM1,FALSE,FALSE
GSE185991,GSM5628176_M26,FALSE,not_l2_capable,Post_treatment,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,1387,5,84,578,Naldini 2023 Nat Commun,PT02,GSE185991:PT02,TRUE,NPM1,FALSE,FALSE
GSE185991,GSM5628177_M27,FALSE,not_l2_capable,Post_treatment,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,901,2,818,818,Naldini 2023 Nat Commun,PT01,GSE185991:PT01,TRUE,NPM1,FALSE,FALSE
GSE185991,GSM5628178_M28,FALSE,not_l2_capable,Diagnosis,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,2956,6,118,591,Naldini 2023 Nat Commun,PT08,GSE185991:PT08,TRUE,NPM1,FALSE,FALSE
GSE185991,GSM5628180_M30,FALSE,not_l2_capable,Relapse,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,2630,6,903,1386,Naldini 2023 Nat Commun,PT08,GSE185991:PT08,TRUE,NPM1,FALSE,FALSE
GSE185991,GSM5628181_M31,FALSE,not_l2_capable,Relapse,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,2776,5,363,378,Naldini 2023 Nat Commun,PT08,GSE185991:PT08,TRUE,NPM1,FALSE,FALSE
GSE185991,GSM5628182_M32,FALSE,not_l2_capable,Diagnosis,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,3825,6,286,1728,Naldini 2023 Nat Commun,PT09,GSE185991:PT09,TRUE,NPM1,FALSE,FALSE
GSE185991,GSM5628183_M33,FALSE,not_l2_capable,Diagnosis,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,2236,6,96,986,Naldini 2023 Nat Commun,PT10,GSE185991:PT10,TRUE,NPM1,FALSE,FALSE
GSE185991,GSM5628186_M39,FALSE,not_l2_capable,Post_treatment,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,1211,5,1051,1153,Naldini 2023 Nat Commun,PT08,GSE185991:PT08,TRUE,NPM1,FALSE,FALSE
GSE185991,GSM5628187_M40,FALSE,not_l2_capable,Diagnosis,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,1822,4,1,591,Naldini 2023 Nat Commun,PT12,GSE185991:PT12,TRUE,NPM1,FALSE,FALSE
GSE185991,GSM5628188_M41,FALSE,not_l2_capable,Diagnosis,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,1857,5,52,114,Naldini 2023 Nat Commun,PT13,GSE185991:PT13,TRUE,NPM1,FALSE,FALSE
GSE185991,GSM5628189_M42,FALSE,not_l2_capable,Relapse,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,3290,4,381,629,Naldini 2023 Nat Commun,PT10,GSE185991:PT10,TRUE,NPM1,FALSE,FALSE
GSE185991,GSM5628190_M43,FALSE,not_l2_capable,Post_treatment,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,436,6,99,226,Naldini 2023 Nat Commun,PT01_PT10,GSE185991:PT01_PT10,TRUE,NPM1,FALSE,FALSE
GSE185991,GSM5628191_M44,FALSE,not_l2_capable,Post_treatment,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,526,7,177,198,Naldini 2023 Nat Commun,PT12_PT13,GSE185991:PT12_PT13,TRUE,NPM1,FALSE,FALSE
GSE185991,GSM5628192_M45,FALSE,not_l2_capable,Post_treatment,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,976,7,373,491,Naldini 2023 Nat Commun,PT12,GSE185991:PT12,TRUE,NPM1,FALSE,FALSE
GSE185991,GSM5628195_M48,FALSE,not_l2_capable,Diagnosis,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,2578,5,45,1482,Naldini 2023 Nat Commun,PT15,GSE185991:PT15,TRUE,NPM1,FALSE,FALSE
GSE185991,GSM5628196_M49,FALSE,not_l2_capable,Relapse,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,2476,6,51,87,Naldini 2023 Nat Commun,PT15,GSE185991:PT15,TRUE,NPM1,FALSE,FALSE
GSE185991,GSM6412447_M36,FALSE,not_l2_capable,Diagnosis,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,2451,3,32,40,Naldini 2023 Nat Commun,PT11,GSE185991:PT11,TRUE,NPM1,FALSE,FALSE
GSE185991,GSM6412448_M38,FALSE,not_l2_capable,Post_treatment,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,5011,7,804,2028,Naldini 2023 Nat Commun,PT11,GSE185991:PT11,TRUE,NPM1,FALSE,FALSE
GSE185991,GSM6412449_M84,FALSE,not_l2_capable,Diagnosis,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,4730,5,14,291,Naldini 2023 Nat Commun,PT17,GSE185991:PT17,TRUE,NPM1,FALSE,FALSE
GSE185991,GSM6412450_M85,FALSE,not_l2_capable,Post_treatment,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,5602,7,362,887,Naldini 2023 Nat Commun,PT17,GSE185991:PT17,TRUE,NPM1,FALSE,FALSE
GSE185991,GSM6412451_M88,FALSE,not_l2_capable,Diagnosis,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,3026,5,867,873,Naldini 2023 Nat Commun,PT18,GSE185991:PT18,TRUE,NPM1,FALSE,FALSE
GSE185991,GSM6412452_M89,FALSE,not_l2_capable,Post_treatment,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,2835,6,493,521,Naldini 2023 Nat Commun,PT18,GSE185991:PT18,TRUE,NPM1,FALSE,FALSE
GSE185991,GSM6412453_M92,FALSE,not_l2_capable,Post_treatment,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,2275,5,18,2081,Naldini 2023 Nat Commun,PT17,GSE185991:PT17,TRUE,NPM1,FALSE,FALSE
GSE185991,GSM6412454_M93,FALSE,not_l2_capable,Relapse,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,1730,5,71,156,Naldini 2023 Nat Commun,PT19,GSE185991:PT19,TRUE,NPM1,FALSE,FALSE
GSE185991,GSM6412455_M95,FALSE,not_l2_capable,Relapse,Treatment-axis-L1only,Treatment-axis-L1only,FALSE,FALSE,2378,5,49,94,Naldini 2023 Nat Commun,PT20,GSE185991:PT20,TRUE,NPM1,FALSE,FALSE
GSE227903,3853_R,FALSE,below_min_cells,Relapse,Validation-relapse+treatment,Validation-relapse+treatment,TRUE,FALSE,458,4,31,82,Ennis 2023 iScience,3853,GSE227903:3853,TRUE,mixed,TRUE,TRUE
