dataset,sample,ccc_eligible,exclude_reason,Timepoint,study_role,sample_role,l2_capable,sorted_sublib,total_cells,n_nodes_present,lymphoid_cells,immune_recv,Study,Patient_ID,uid_patient,is_longitudinal,subtype_stratum,l2_val,l2_flag
GSE116256,AML419A-D0,TRUE,"",Diagnosis,Treatment-axis,Treatment-axis,TRUE,FALSE,763,6,46,609,van Galen 2019 Cell,AML419A,GSE116256:AML419A,TRUE,mixed,TRUE,TRUE
GSE116256,AML420B-D14,TRUE,"",Post_treatment,Treatment-axis,Treatment-axis,TRUE,FALSE,787,2,787,787,van Galen 2019 Cell,AML420B,GSE116256:AML420B,TRUE,mixed,TRUE,TRUE
GSE116256,AML556-D0,TRUE,"",Diagnosis,Treatment-axis,Treatment-axis,TRUE,FALSE,1483,4,127,1352,van Galen 2019 Cell,AML556,GSE116256:AML556,TRUE,mixed,TRUE,TRUE
GSE116256,AML556-D15,TRUE,"",Post_treatment,Treatment-axis,Treatment-axis,TRUE,FALSE,812,2,807,807,van Galen 2019 Cell,AML556,GSE116256:AML556,TRUE,mixed,TRUE,TRUE
GSE116256,AML556-D31,TRUE,"",Post_treatment,Treatment-axis,Treatment-axis,TRUE,FALSE,983,6,311,865,van Galen 2019 Cell,AML556,GSE116256:AML556,TRUE,mixed,TRUE,TRUE
GSE116256,AML707B-D0,TRUE,"",Diagnosis,Treatment-axis,Treatment-axis,TRUE,FALSE,1091,6,38,56,van Galen 2019 Cell,AML707B,GSE116256:AML707B,TRUE,mixed,TRUE,TRUE
GSE116256,AML707B-D113,TRUE,"",Post_treatment,Treatment-axis,Treatment-axis,TRUE,FALSE,501,4,379,475,van Galen 2019 Cell,AML707B,GSE116256:AML707B,TRUE,mixed,TRUE,TRUE
GSE116256,AML707B-D18,TRUE,"",Post_treatment,Treatment-axis,Treatment-axis,TRUE,FALSE,1234,3,1196,1197,van Galen 2019 Cell,AML707B,GSE116256:AML707B,TRUE,mixed,TRUE,TRUE
GSE116256,AML916-D0,TRUE,"",Diagnosis,Treatment-axis,Treatment-axis,TRUE,FALSE,566,6,81,95,van Galen 2019 Cell,AML916,GSE116256:AML916,TRUE,mixed,TRUE,TRUE
GSE116256,AML921A-D0,TRUE,"",Diagnosis,Treatment-axis,Treatment-axis,TRUE,FALSE,2411,6,372,1537,van Galen 2019 Cell,AML921A,GSE116256:AML921A,TRUE,mixed,TRUE,TRUE
GSE116256,BM4,TRUE,"",Healthy,Treatment-axis,Treatment-axis,TRUE,FALSE,2630,7,1003,1903,van Galen 2019 Cell,BM4,GSE116256:BM4,TRUE,mixed,TRUE,TRUE
GSE116256,BM5-34p,TRUE,"",Healthy,Treatment-axis,Treatment-axis,TRUE,FALSE,784,5,77,86,van Galen 2019 Cell,BM5,GSE116256:BM5,TRUE,mixed,TRUE,TRUE
