level_pct,n_samples,n_within,n_cells_kept,frac_cells_kept,mean_healthy,mean_aml,diff_raw,beta_strat,p_strat
0,133,71,340813,1,0.0149520057679081,0.036028516037316,0.0210765102694079,0.0155095638117562,0.132686731326867
10,133,71,306684,0.899860040550096,0.0143616090983609,0.0365019932372478,0.022140384138887,0.0158343445483266,0.12978702129787
20,133,71,272628,0.799934274807592,0.0140505718787786,0.0369266585332483,0.0228760866544697,0.0160826601623719,0.120687931206879
30,133,71,238554,0.699955694178332,0.0136463755834659,0.0372466334265156,0.0236002578430497,0.0158414137349169,0.131686831316868
40,133,71,204489,0.60000352099245,0.0137282485342787,0.0376924013185757,0.0239641527842969,0.0159719131351434,0.140885911408859
50,133,71,170442,0.500104162693325,0.0138506425101786,0.0382824928026127,0.0244318502924341,0.0162409296562247,0.134486551344866
