dataset,sample,hierarchy_bin,n_cells,present,occupied
GSE116256,AML328-D113,T_NK,1344,TRUE,TRUE
GSE116256,AML328-D171,B_Plasma,4,FALSE,FALSE
GSE116256,AML328-D171,Erythroid,11,TRUE,FALSE
GSE116256,AML328-D171,HSC_MPP,21,TRUE,FALSE
GSE116256,AML328-D171,LMPP_GMP,10,TRUE,FALSE
GSE116256,AML328-D171,Megakaryocyte,2,FALSE,FALSE
GSE116256,AML328-D171,Mono_DC,5,FALSE,FALSE
GSE116256,AML328-D171,T_NK,754,TRUE,TRUE
GSE116256,AML328-D29,B_Plasma,16,TRUE,FALSE
GSE116256,AML328-D29,Erythroid,88,TRUE,TRUE
GSE116256,AML328-D29,HSC_MPP,371,TRUE,TRUE
GSE116256,AML328-D29,LMPP_GMP,170,TRUE,TRUE
GSE116256,AML328-D29,Megakaryocyte,13,TRUE,FALSE
GSE116256,AML328-D29,Mono_DC,16,TRUE,FALSE
GSE116256,AML328-D29,T_NK,263,TRUE,TRUE
GSE116256,AML329-D0,B_Plasma,17,TRUE,FALSE
GSE116256,AML329-D0,Erythroid,31,TRUE,TRUE
GSE116256,AML329-D0,HSC_MPP,13,TRUE,FALSE
GSE116256,AML329-D0,LMPP_GMP,105,TRUE,TRUE
GSE116256,AML329-D0,Megakaryocyte,1,FALSE,FALSE
GSE116256,AML329-D0,Mono_DC,70,TRUE,TRUE
GSE116256,AML329-D0,T_NK,95,TRUE,TRUE
GSE116256,AML329-D20,B_Plasma,19,TRUE,FALSE
GSE116256,AML329-D20,Erythroid,17,TRUE,FALSE
GSE116256,AML329-D20,HSC_MPP,4,FALSE,FALSE
GSE116256,AML329-D20,LMPP_GMP,48,TRUE,TRUE
GSE116256,AML329-D20,Megakaryocyte,0,FALSE,FALSE
GSE116256,AML329-D20,Mono_DC,337,TRUE,TRUE
GSE116256,AML329-D20,T_NK,94,TRUE,TRUE
GSE116256,AML371-D0,B_Plasma,0,FALSE,FALSE
GSE116256,AML371-D0,Erythroid,16,TRUE,FALSE
GSE116256,AML371-D0,HSC_MPP,16,TRUE,FALSE
GSE116256,AML371-D0,LMPP_GMP,82,TRUE,TRUE
GSE116256,AML371-D0,Megakaryocyte,0,FALSE,FALSE
GSE116256,AML371-D0,Mono_DC,297,TRUE,TRUE
GSE116256,AML371-D0,T_NK,3,FALSE,FALSE
GSE116256,AML419A-D0,B_Plasma,22,TRUE,FALSE
GSE116256,AML419A-D0,Erythroid,37,TRUE,TRUE
GSE116256,AML419A-D0,HSC_MPP,45,TRUE,TRUE
GSE116256,AML419A-D0,LMPP_GMP,62,TRUE,TRUE
GSE116256,AML419A-D0,Megakaryocyte,3,FALSE,FALSE
GSE116256,AML419A-D0,Mono_DC,550,TRUE,TRUE
GSE116256,AML419A-D0,T_NK,24,TRUE,FALSE
GSE116256,AML420B-D0,B_Plasma,31,TRUE,TRUE
GSE116256,AML420B-D0,Erythroid,20,TRUE,FALSE
GSE116256,AML420B-D0,HSC_MPP,16,TRUE,FALSE
GSE116256,AML420B-D0,LMPP_GMP,40,TRUE,TRUE
GSE116256,AML420B-D0,Megakaryocyte,0,FALSE,FALSE
GSE116256,AML420B-D0,Mono_DC,15,TRUE,FALSE
GSE116256,AML420B-D0,T_NK,169,TRUE,TRUE
GSE116256,AML420B-D14,B_Plasma,210,TRUE,TRUE
GSE116256,AML420B-D14,Erythroid,0,FALSE,FALSE
GSE116256,AML420B-D14,HSC_MPP,0,FALSE,FALSE
GSE116256,AML420B-D14,LMPP_GMP,0,FALSE,FALSE
GSE116256,AML420B-D14,Megakaryocyte,0,FALSE,FALSE
GSE116256,AML420B-D14,Mono_DC,0,FALSE,FALSE
GSE116256,AML420B-D14,T_NK,565,TRUE,TRUE
GSE116256,AML420B-D35,B_Plasma,24,TRUE,FALSE
GSE116256,AML420B-D35,Erythroid,0,FALSE,FALSE
GSE116256,AML420B-D35,HSC_MPP,0,FALSE,FALSE
GSE116256,AML420B-D35,LMPP_GMP,6,FALSE,FALSE
GSE116256,AML420B-D35,Megakaryocyte,0,FALSE,FALSE
GSE116256,AML420B-D35,Mono_DC,234,TRUE,TRUE
GSE116256,AML420B-D35,T_NK,126,TRUE,TRUE
GSE116256,AML475-D0,B_Plasma,11,TRUE,FALSE
GSE116256,AML475-D0,Erythroid,11,TRUE,FALSE
GSE116256,AML475-D0,HSC_MPP,1,FALSE,FALSE
GSE116256,AML475-D0,LMPP_GMP,5,FALSE,FALSE
GSE116256,AML475-D0,Megakaryocyte,0,FALSE,FALSE
GSE116256,AML475-D0,Mono_DC,191,TRUE,TRUE
GSE116256,AML475-D0,T_NK,19,TRUE,FALSE
GSE116256,AML556-D0,B_Plasma,102,TRUE,TRUE
GSE116256,AML556-D0,Erythroid,0,FALSE,FALSE
GSE116256,AML556-D0,HSC_MPP,2,FALSE,FALSE
GSE116256,AML556-D0,LMPP_GMP,128,TRUE,TRUE
GSE116256,AML556-D0,Megakaryocyte,1,FALSE,FALSE
GSE116256,AML556-D0,Mono_DC,1199,TRUE,TRUE
GSE116256,AML556-D0,T_NK,25,TRUE,FALSE
GSE116256,AML556-D15,B_Plasma,49,TRUE,TRUE
GSE116256,AML556-D15,Erythroid,1,FALSE,FALSE
GSE116256,AML556-D15,HSC_MPP,4,FALSE,FALSE
GSE116256,AML556-D15,LMPP_GMP,0,FALSE,FALSE
GSE116256,AML556-D15,Megakaryocyte,0,FALSE,FALSE
GSE116256,AML556-D15,Mono_DC,0,FALSE,FALSE
GSE116256,AML556-D15,T_NK,734,TRUE,TRUE
GSE116256,AML556-D31,B_Plasma,242,TRUE,TRUE
GSE116256,AML556-D31,Erythroid,13,TRUE,FALSE
GSE116256,AML556-D31,HSC_MPP,7,FALSE,FALSE
GSE116256,AML556-D31,LMPP_GMP,70,TRUE,TRUE
GSE116256,AML556-D31,Megakaryocyte,23,TRUE,FALSE
GSE116256,AML556-D31,Mono_DC,541,TRUE,TRUE
GSE116256,AML556-D31,T_NK,68,TRUE,TRUE
GSE116256,AML707B-D0,B_Plasma,18,TRUE,FALSE
GSE116256,AML707B-D0,Erythroid,507,TRUE,TRUE
GSE116256,AML707B-D0,HSC_MPP,124,TRUE,TRUE
GSE116256,AML707B-D0,LMPP_GMP,373,TRUE,TRUE
GSE116256,AML707B-D0,Megakaryocyte,2,FALSE,FALSE
GSE116256,AML707B-D0,Mono_DC,17,TRUE,FALSE
GSE116256,AML707B-D0,T_NK,20,TRUE,FALSE
GSE116256,AML707B-D113,B_Plasma,44,TRUE,TRUE
GSE116256,AML707B-D113,Erythroid,7,FALSE,FALSE
GSE116256,AML707B-D113,HSC_MPP,4,FALSE,FALSE
GSE116256,AML707B-D113,LMPP_GMP,14,TRUE,FALSE
GSE116256,AML707B-D113,Megakaryocyte,0,FALSE,FALSE
GSE116256,AML707B-D113,Mono_DC,96,TRUE,TRUE
GSE116256,AML707B-D113,T_NK,328,TRUE,TRUE
GSE116256,AML707B-D18,B_Plasma,11,TRUE,FALSE
GSE116256,AML707B-D18,Erythroid,1,FALSE,FALSE
GSE116256,AML707B-D18,HSC_MPP,1,FALSE,FALSE
GSE116256,AML707B-D18,LMPP_GMP,27,TRUE,FALSE
GSE116256,AML707B-D18,Megakaryocyte,1,FALSE,FALSE
GSE116256,AML707B-D18,Mono_DC,1,FALSE,FALSE
GSE116256,AML707B-D18,T_NK,1159,TRUE,TRUE
GSE116256,AML870-D0,B_Plasma,1,FALSE,FALSE
GSE116256,AML870-D0,Erythroid,212,TRUE,TRUE
GSE116256,AML870-D0,HSC_MPP,0,FALSE,FALSE
GSE116256,AML870-D0,LMPP_GMP,50,TRUE,TRUE
GSE116256,AML870-D0,Megakaryocyte,1,FALSE,FALSE
GSE116256,AML870-D0,Mono_DC,14,TRUE,FALSE
GSE116256,AML870-D0,T_NK,14,TRUE,FALSE
GSE116256,AML916-D0,B_Plasma,30,TRUE,TRUE
GSE116256,AML916-D0,Erythroid,296,TRUE,TRUE
GSE116256,AML916-D0,HSC_MPP,67,TRUE,TRUE
GSE116256,AML916-D0,LMPP_GMP,93,TRUE,TRUE
GSE116256,AML916-D0,Megakaryocyte,5,FALSE,FALSE
GSE116256,AML916-D0,Mono_DC,14,TRUE,FALSE
GSE116256,AML916-D0,T_NK,49,TRUE,TRUE
GSE116256,AML921A-D0,B_Plasma,134,TRUE,TRUE
GSE116256,AML921A-D0,Erythroid,128,TRUE,TRUE
GSE116256,AML921A-D0,HSC_MPP,160,TRUE,TRUE
GSE116256,AML921A-D0,LMPP_GMP,575,TRUE,TRUE
GSE116256,AML921A-D0,Megakaryocyte,2,FALSE,FALSE
GSE116256,AML921A-D0,Mono_DC,1147,TRUE,TRUE
GSE116256,AML921A-D0,T_NK,237,TRUE,TRUE
GSE116256,BM3,B_Plasma,20,TRUE,FALSE
GSE116256,BM3,Erythroid,32,TRUE,TRUE
GSE116256,BM3,HSC_MPP,24,TRUE,FALSE
GSE116256,BM3,LMPP_GMP,41,TRUE,TRUE
GSE116256,BM3,Megakaryocyte,0,FALSE,FALSE
GSE116256,BM3,Mono_DC,176,TRUE,TRUE
GSE116256,BM3,T_NK,123,TRUE,TRUE
GSE116256,BM4,B_Plasma,182,TRUE,TRUE
GSE116256,BM4,Erythroid,105,TRUE,TRUE
GSE116256,BM4,HSC_MPP,193,TRUE,TRUE
GSE116256,BM4,LMPP_GMP,410,TRUE,TRUE
GSE116256,BM4,Megakaryocyte,10,TRUE,FALSE
GSE116256,BM4,Mono_DC,886,TRUE,TRUE
GSE116256,BM4,T_NK,811,TRUE,TRUE
GSE116256,BM5-34p,B_Plasma,51,TRUE,TRUE
GSE116256,BM5-34p,Erythroid,253,TRUE,TRUE
GSE116256,BM5-34p,HSC_MPP,250,TRUE,TRUE
GSE116256,BM5-34p,LMPP_GMP,184,TRUE,TRUE
GSE116256,BM5-34p,Megakaryocyte,1,FALSE,FALSE
GSE116256,BM5-34p,Mono_DC,7,FALSE,FALSE
GSE116256,BM5-34p,T_NK,26,TRUE,FALSE
GSE116256,BM5-34p38n,B_Plasma,1,FALSE,FALSE
GSE116256,BM5-34p38n,Erythroid,45,TRUE,TRUE
GSE116256,BM5-34p38n,HSC_MPP,792,TRUE,TRUE
GSE116256,BM5-34p38n,LMPP_GMP,29,TRUE,FALSE
GSE116256,BM5-34p38n,Megakaryocyte,0,FALSE,FALSE
GSE116256,BM5-34p38n,Mono_DC,2,FALSE,FALSE
GSE116256,BM5-34p38n,T_NK,23,TRUE,FALSE
GSE147989,007C1D1BL,B_Plasma,0,FALSE,FALSE
GSE147989,007C1D1BL,Erythroid,37,TRUE,TRUE
GSE147989,007C1D1BL,HSC_MPP,245,TRUE,TRUE
GSE147989,007C1D1BL,LMPP_GMP,1644,TRUE,TRUE
GSE147989,007C1D1BL,Megakaryocyte,0,FALSE,FALSE
GSE147989,007C1D1BL,Mono_DC,51,TRUE,TRUE
GSE147989,007C1D1BL,T_NK,6,FALSE,FALSE
GSE147989,007SCRBL,B_Plasma,0,FALSE,FALSE
GSE147989,007SCRBL,Erythroid,31,TRUE,TRUE
GSE147989,007SCRBL,HSC_MPP,94,TRUE,TRUE
GSE147989,007SCRBL,LMPP_GMP,991,TRUE,TRUE
GSE147989,007SCRBL,Megakaryocyte,0,FALSE,FALSE
GSE147989,007SCRBL,Mono_DC,21,TRUE,FALSE
GSE147989,007SCRBL,T_NK,4,FALSE,FALSE
GSE147989,009C1D1BL,B_Plasma,0,FALSE,FALSE
GSE147989,009C1D1BL,Erythroid,24,TRUE,FALSE
GSE147989,009C1D1BL,HSC_MPP,378,TRUE,TRUE
GSE147989,009C1D1BL,LMPP_GMP,182,TRUE,TRUE
GSE147989,009C1D1BL,Megakaryocyte,0,FALSE,FALSE
GSE147989,009C1D1BL,Mono_DC,0,FALSE,FALSE
GSE147989,009C1D1BL,T_NK,0,FALSE,FALSE
GSE147989,009SCRBL,B_Plasma,0,FALSE,FALSE
GSE147989,009SCRBL,Erythroid,27,TRUE,FALSE
GSE147989,009SCRBL,HSC_MPP,466,TRUE,TRUE
GSE147989,009SCRBL,LMPP_GMP,269,TRUE,TRUE
GSE147989,009SCRBL,Megakaryocyte,0,FALSE,FALSE
GSE147989,009SCRBL,Mono_DC,0,FALSE,FALSE
GSE147989,009SCRBL,T_NK,1,FALSE,FALSE
GSE185381,AML001,B_Plasma,92,TRUE,TRUE
GSE185381,AML001,Erythroid,27,TRUE,FALSE
GSE185381,AML001,HSC_MPP,8,FALSE,FALSE
GSE185381,AML001,LMPP_GMP,47,TRUE,TRUE
GSE185381,AML001,Megakaryocyte,0,FALSE,FALSE
GSE185381,AML001,Mono_DC,42,TRUE,TRUE
GSE185381,AML001,T_NK,95,TRUE,TRUE
GSE185381,AML0024,B_Plasma,6,FALSE,FALSE
GSE185381,AML0024,Erythroid,0,FALSE,FALSE
GSE185381,AML0024,HSC_MPP,0,FALSE,FALSE
GSE185381,AML0024,LMPP_GMP,9,FALSE,FALSE
GSE185381,AML0024,Megakaryocyte,0,FALSE,FALSE
GSE185381,AML0024,Mono_DC,4629,TRUE,TRUE
GSE185381,AML0024,T_NK,6,FALSE,FALSE
GSE185381,AML003,B_Plasma,126,TRUE,TRUE
GSE185381,AML003,Erythroid,23,TRUE,FALSE
GSE185381,AML003,HSC_MPP,83,TRUE,TRUE
GSE185381,AML003,LMPP_GMP,465,TRUE,TRUE
GSE185381,AML003,Megakaryocyte,0,FALSE,FALSE
GSE185381,AML003,Mono_DC,4190,TRUE,TRUE
GSE185381,AML003,T_NK,162,TRUE,TRUE
GSE185381,AML0048,B_Plasma,48,TRUE,TRUE
GSE185381,AML0048,Erythroid,382,TRUE,TRUE
GSE185381,AML0048,HSC_MPP,57,TRUE,TRUE
GSE185381,AML0048,LMPP_GMP,143,TRUE,TRUE
GSE185381,AML0048,Megakaryocyte,21,TRUE,FALSE
GSE185381,AML0048,Mono_DC,2461,TRUE,TRUE
GSE185381,AML0048,T_NK,399,TRUE,TRUE
GSE185381,AML005,B_Plasma,395,TRUE,TRUE
GSE185381,AML005,Erythroid,172,TRUE,TRUE
GSE185381,AML005,HSC_MPP,263,TRUE,TRUE
GSE185381,AML005,LMPP_GMP,1857,TRUE,TRUE
GSE185381,AML005,Megakaryocyte,1,FALSE,FALSE
GSE185381,AML005,Mono_DC,296,TRUE,TRUE
GSE185381,AML005,T_NK,289,TRUE,TRUE
GSE185381,AML006,B_Plasma,1054,TRUE,TRUE
GSE185381,AML006,Erythroid,123,TRUE,TRUE
GSE185381,AML006,HSC_MPP,16,TRUE,FALSE
GSE185381,AML006,LMPP_GMP,44,TRUE,TRUE
GSE185381,AML006,Megakaryocyte,17,TRUE,FALSE
GSE185381,AML006,Mono_DC,492,TRUE,TRUE
GSE185381,AML006,T_NK,623,TRUE,TRUE
GSE185381,AML008,B_Plasma,37,TRUE,TRUE
GSE185381,AML008,Erythroid,2,FALSE,FALSE
GSE185381,AML008,HSC_MPP,1,FALSE,FALSE
GSE185381,AML008,LMPP_GMP,17,TRUE,FALSE
GSE185381,AML008,Megakaryocyte,0,FALSE,FALSE
GSE185381,AML008,Mono_DC,3395,TRUE,TRUE
GSE185381,AML008,T_NK,11,TRUE,FALSE
GSE185381,AML009,B_Plasma,281,TRUE,TRUE
GSE185381,AML009,Erythroid,30,TRUE,TRUE
GSE185381,AML009,HSC_MPP,199,TRUE,TRUE
GSE185381,AML009,LMPP_GMP,381,TRUE,TRUE
GSE185381,AML009,Megakaryocyte,0,FALSE,FALSE
GSE185381,AML009,Mono_DC,68,TRUE,TRUE
GSE185381,AML009,T_NK,1299,TRUE,TRUE
GSE185381,AML0114,B_Plasma,446,TRUE,TRUE
GSE185381,AML0114,Erythroid,665,TRUE,TRUE
GSE185381,AML0114,HSC_MPP,426,TRUE,TRUE
GSE185381,AML0114,LMPP_GMP,737,TRUE,TRUE
GSE185381,AML0114,Megakaryocyte,82,TRUE,TRUE
GSE185381,AML0114,Mono_DC,323,TRUE,TRUE
GSE185381,AML0114,T_NK,1175,TRUE,TRUE
GSE185381,AML012,B_Plasma,320,TRUE,TRUE
GSE185381,AML012,Erythroid,6,FALSE,FALSE
GSE185381,AML012,HSC_MPP,22,TRUE,FALSE
GSE185381,AML012,LMPP_GMP,397,TRUE,TRUE
GSE185381,AML012,Megakaryocyte,1,FALSE,FALSE
GSE185381,AML012,Mono_DC,3233,TRUE,TRUE
GSE185381,AML012,T_NK,73,TRUE,TRUE
GSE185381,AML0160,B_Plasma,38,TRUE,TRUE
GSE185381,AML0160,Erythroid,8,FALSE,FALSE
GSE185381,AML0160,HSC_MPP,80,TRUE,TRUE
GSE185381,AML0160,LMPP_GMP,142,TRUE,TRUE
GSE185381,AML0160,Megakaryocyte,0,FALSE,FALSE
GSE185381,AML0160,Mono_DC,1513,TRUE,TRUE
GSE185381,AML0160,T_NK,29,TRUE,FALSE
GSE185381,AML022,B_Plasma,149,TRUE,TRUE
GSE185381,AML022,Erythroid,8,FALSE,FALSE
GSE185381,AML022,HSC_MPP,12,TRUE,FALSE
GSE185381,AML022,LMPP_GMP,195,TRUE,TRUE
GSE185381,AML022,Megakaryocyte,10,TRUE,FALSE
GSE185381,AML022,Mono_DC,140,TRUE,TRUE
GSE185381,AML022,T_NK,154,TRUE,TRUE
GSE185381,AML025,B_Plasma,68,TRUE,TRUE
GSE185381,AML025,Erythroid,55,TRUE,TRUE
GSE185381,AML025,HSC_MPP,268,TRUE,TRUE
GSE185381,AML025,LMPP_GMP,1901,TRUE,TRUE
GSE185381,AML025,Megakaryocyte,1,FALSE,FALSE
GSE185381,AML025,Mono_DC,339,TRUE,TRUE
GSE185381,AML025,T_NK,246,TRUE,TRUE
GSE185381,AML026,B_Plasma,57,TRUE,TRUE
GSE185381,AML026,Erythroid,37,TRUE,TRUE
GSE185381,AML026,HSC_MPP,10,TRUE,FALSE
GSE185381,AML026,LMPP_GMP,47,TRUE,TRUE
GSE185381,AML026,Megakaryocyte,0,FALSE,FALSE
GSE185381,AML026,Mono_DC,607,TRUE,TRUE
GSE185381,AML026,T_NK,57,TRUE,TRUE
GSE185381,AML028,B_Plasma,444,TRUE,TRUE
GSE185381,AML028,Erythroid,5,FALSE,FALSE
GSE185381,AML028,HSC_MPP,2,FALSE,FALSE
