dataset,sample,hierarchy_bin,n_cells,present,occupied
Chen2023,AML103,B_Plasma,498,TRUE,TRUE
Chen2023,AML103,Erythroid,7,FALSE,FALSE
Chen2023,AML103,HSC_MPP,6,FALSE,FALSE
Chen2023,AML103,LMPP_GMP,35,TRUE,TRUE
Chen2023,AML103,Megakaryocyte,3,FALSE,FALSE
Chen2023,AML103,Mono_DC,690,TRUE,TRUE
Chen2023,AML103,T_NK,240,TRUE,TRUE
Chen2023,AML162,B_Plasma,807,TRUE,TRUE
Chen2023,AML162,Erythroid,42,TRUE,TRUE
Chen2023,AML162,HSC_MPP,90,TRUE,TRUE
Chen2023,AML162,LMPP_GMP,583,TRUE,TRUE
Chen2023,AML162,Megakaryocyte,32,TRUE,TRUE
Chen2023,AML162,Mono_DC,1285,TRUE,TRUE
Chen2023,AML162,T_NK,959,TRUE,TRUE
Chen2023,AML24,B_Plasma,554,TRUE,TRUE
Chen2023,AML24,Erythroid,54,TRUE,TRUE
Chen2023,AML24,HSC_MPP,60,TRUE,TRUE
Chen2023,AML24,LMPP_GMP,74,TRUE,TRUE
Chen2023,AML24,Megakaryocyte,43,TRUE,TRUE
Chen2023,AML24,Mono_DC,8770,TRUE,TRUE
Chen2023,AML24,T_NK,1098,TRUE,TRUE
Chen2023,AML304,B_Plasma,1193,TRUE,TRUE
Chen2023,AML304,Erythroid,5,FALSE,FALSE
Chen2023,AML304,HSC_MPP,578,TRUE,TRUE
Chen2023,AML304,LMPP_GMP,116,TRUE,TRUE
Chen2023,AML304,Megakaryocyte,19,TRUE,FALSE
Chen2023,AML304,Mono_DC,1444,TRUE,TRUE
Chen2023,AML304,T_NK,1688,TRUE,TRUE
Chen2023,AML320,B_Plasma,1103,TRUE,TRUE
Chen2023,AML320,Erythroid,36,TRUE,TRUE
Chen2023,AML320,HSC_MPP,60,TRUE,TRUE
Chen2023,AML320,LMPP_GMP,2480,TRUE,TRUE
Chen2023,AML320,Megakaryocyte,12,TRUE,FALSE
Chen2023,AML320,Mono_DC,35,TRUE,TRUE
Chen2023,AML320,T_NK,952,TRUE,TRUE
Chen2023,AML469,B_Plasma,10,TRUE,FALSE
Chen2023,AML469,Erythroid,29,TRUE,FALSE
Chen2023,AML469,HSC_MPP,88,TRUE,TRUE
Chen2023,AML469,LMPP_GMP,2674,TRUE,TRUE
Chen2023,AML469,Megakaryocyte,0,FALSE,FALSE
Chen2023,AML469,Mono_DC,2,FALSE,FALSE
Chen2023,AML469,T_NK,3,FALSE,FALSE
Chen2023,NBM1,B_Plasma,2729,TRUE,TRUE
Chen2023,NBM1,Erythroid,248,TRUE,TRUE
Chen2023,NBM1,HSC_MPP,699,TRUE,TRUE
Chen2023,NBM1,LMPP_GMP,1234,TRUE,TRUE
Chen2023,NBM1,Megakaryocyte,46,TRUE,TRUE
Chen2023,NBM1,Mono_DC,2676,TRUE,TRUE
Chen2023,NBM1,T_NK,2745,TRUE,TRUE
Chen2023,NBM2,B_Plasma,516,TRUE,TRUE
Chen2023,NBM2,Erythroid,16,TRUE,FALSE
Chen2023,NBM2,HSC_MPP,158,TRUE,TRUE
Chen2023,NBM2,LMPP_GMP,117,TRUE,TRUE
Chen2023,NBM2,Megakaryocyte,9,FALSE,FALSE
Chen2023,NBM2,Mono_DC,529,TRUE,TRUE
Chen2023,NBM2,T_NK,1212,TRUE,TRUE
Chen2023,NBM3,B_Plasma,2201,TRUE,TRUE
Chen2023,NBM3,Erythroid,770,TRUE,TRUE
Chen2023,NBM3,HSC_MPP,1135,TRUE,TRUE
Chen2023,NBM3,LMPP_GMP,1070,TRUE,TRUE
Chen2023,NBM3,Megakaryocyte,68,TRUE,TRUE
Chen2023,NBM3,Mono_DC,2555,TRUE,TRUE
Chen2023,NBM3,T_NK,3512,TRUE,TRUE
Chen2023,NBM4,B_Plasma,1134,TRUE,TRUE
Chen2023,NBM4,Erythroid,108,TRUE,TRUE
Chen2023,NBM4,HSC_MPP,311,TRUE,TRUE
Chen2023,NBM4,LMPP_GMP,310,TRUE,TRUE
Chen2023,NBM4,Megakaryocyte,17,TRUE,FALSE
Chen2023,NBM4,Mono_DC,903,TRUE,TRUE
Chen2023,NBM4,T_NK,2170,TRUE,TRUE
E-MTAB-11536,621B-BMA,B_Plasma,60,TRUE,TRUE
E-MTAB-11536,621B-BMA,Erythroid,0,FALSE,FALSE
E-MTAB-11536,621B-BMA,HSC_MPP,0,FALSE,FALSE
E-MTAB-11536,621B-BMA,LMPP_GMP,1,FALSE,FALSE
E-MTAB-11536,621B-BMA,Megakaryocyte,0,FALSE,FALSE
E-MTAB-11536,621B-BMA,Mono_DC,18,TRUE,FALSE
E-MTAB-11536,621B-BMA,T_NK,453,TRUE,TRUE
E-MTAB-11536,637C-BMA,B_Plasma,95,TRUE,TRUE
E-MTAB-11536,637C-BMA,Erythroid,0,FALSE,FALSE
E-MTAB-11536,637C-BMA,HSC_MPP,0,FALSE,FALSE
E-MTAB-11536,637C-BMA,LMPP_GMP,5,FALSE,FALSE
E-MTAB-11536,637C-BMA,Megakaryocyte,1,FALSE,FALSE
E-MTAB-11536,637C-BMA,Mono_DC,86,TRUE,TRUE
E-MTAB-11536,637C-BMA,T_NK,1058,TRUE,TRUE
E-MTAB-11536,640C-BMA,B_Plasma,232,TRUE,TRUE
E-MTAB-11536,640C-BMA,Erythroid,2,FALSE,FALSE
E-MTAB-11536,640C-BMA,HSC_MPP,19,TRUE,FALSE
E-MTAB-11536,640C-BMA,LMPP_GMP,25,TRUE,FALSE
E-MTAB-11536,640C-BMA,Megakaryocyte,0,FALSE,FALSE
E-MTAB-11536,640C-BMA,Mono_DC,233,TRUE,TRUE
E-MTAB-11536,640C-BMA,T_NK,1026,TRUE,TRUE
E-MTAB-11536,A29-BMA,B_Plasma,176,TRUE,TRUE
E-MTAB-11536,A29-BMA,Erythroid,1,FALSE,FALSE
E-MTAB-11536,A29-BMA,HSC_MPP,0,FALSE,FALSE
E-MTAB-11536,A29-BMA,LMPP_GMP,23,TRUE,FALSE
E-MTAB-11536,A29-BMA,Megakaryocyte,0,FALSE,FALSE
E-MTAB-11536,A29-BMA,Mono_DC,100,TRUE,TRUE
E-MTAB-11536,A29-BMA,T_NK,782,TRUE,TRUE
E-MTAB-11536,A35-BMA,B_Plasma,132,TRUE,TRUE
E-MTAB-11536,A35-BMA,Erythroid,0,FALSE,FALSE
E-MTAB-11536,A35-BMA,HSC_MPP,5,FALSE,FALSE
E-MTAB-11536,A35-BMA,LMPP_GMP,15,TRUE,FALSE
E-MTAB-11536,A35-BMA,Megakaryocyte,5,FALSE,FALSE
E-MTAB-11536,A35-BMA,Mono_DC,208,TRUE,TRUE
E-MTAB-11536,A35-BMA,T_NK,700,TRUE,TRUE
E-MTAB-11536,A36-BMA,B_Plasma,76,TRUE,TRUE
E-MTAB-11536,A36-BMA,Erythroid,4,FALSE,FALSE
E-MTAB-11536,A36-BMA,HSC_MPP,0,FALSE,FALSE
E-MTAB-11536,A36-BMA,LMPP_GMP,11,TRUE,FALSE
E-MTAB-11536,A36-BMA,Megakaryocyte,12,TRUE,FALSE
E-MTAB-11536,A36-BMA,Mono_DC,368,TRUE,TRUE
E-MTAB-11536,A36-BMA,T_NK,534,TRUE,TRUE
E-MTAB-11536,A37-BMA,B_Plasma,121,TRUE,TRUE
E-MTAB-11536,A37-BMA,Erythroid,1,FALSE,FALSE
E-MTAB-11536,A37-BMA,HSC_MPP,0,FALSE,FALSE
E-MTAB-11536,A37-BMA,LMPP_GMP,22,TRUE,FALSE
E-MTAB-11536,A37-BMA,Megakaryocyte,1,FALSE,FALSE
E-MTAB-11536,A37-BMA,Mono_DC,57,TRUE,TRUE
E-MTAB-11536,A37-BMA,T_NK,391,TRUE,TRUE
GSE116256,AML1012-D0,B_Plasma,2,FALSE,FALSE
GSE116256,AML1012-D0,Erythroid,276,TRUE,TRUE
GSE116256,AML1012-D0,HSC_MPP,23,TRUE,FALSE
GSE116256,AML1012-D0,LMPP_GMP,213,TRUE,TRUE
GSE116256,AML1012-D0,Megakaryocyte,4,FALSE,FALSE
GSE116256,AML1012-D0,Mono_DC,314,TRUE,TRUE
GSE116256,AML1012-D0,T_NK,5,FALSE,FALSE
GSE116256,AML210A-D0,B_Plasma,20,TRUE,FALSE
GSE116256,AML210A-D0,Erythroid,27,TRUE,FALSE
GSE116256,AML210A-D0,HSC_MPP,9,FALSE,FALSE
GSE116256,AML210A-D0,LMPP_GMP,32,TRUE,TRUE
GSE116256,AML210A-D0,Megakaryocyte,3,FALSE,FALSE
GSE116256,AML210A-D0,Mono_DC,254,TRUE,TRUE
GSE116256,AML210A-D0,T_NK,155,TRUE,TRUE
GSE116256,AML328-D0,B_Plasma,11,TRUE,FALSE
GSE116256,AML328-D0,Erythroid,27,TRUE,FALSE
GSE116256,AML328-D0,HSC_MPP,91,TRUE,TRUE
GSE116256,AML328-D0,LMPP_GMP,22,TRUE,FALSE
GSE116256,AML328-D0,Megakaryocyte,2,FALSE,FALSE
GSE116256,AML328-D0,Mono_DC,205,TRUE,TRUE
GSE116256,AML328-D0,T_NK,119,TRUE,TRUE
GSE116256,AML328-D113,B_Plasma,16,TRUE,FALSE
GSE116256,AML328-D113,Erythroid,2,FALSE,FALSE
GSE116256,AML328-D113,HSC_MPP,9,FALSE,FALSE
GSE116256,AML328-D113,LMPP_GMP,0,FALSE,FALSE
GSE116256,AML328-D113,Megakaryocyte,1,FALSE,FALSE
GSE116256,AML328-D113,Mono_DC,48,TRUE,TRUE
