ligand,receptor,n_samples,frac_samples,mean_prob
MIF,CD74_CD44,118,0.9752,0.1466
CD99,CD99,116,0.9587,0.1125
MIF,CD74_CXCR4,107,0.8843,0.1291
PECAM1,PECAM1,106,0.8760,0.0112
PPIA,BSG,95,0.7851,0.0676
LGALS9,PTPRC,95,0.7851,0.0279
LGALS9,CD44,95,0.7851,0.0321
LGALS9,P4HB,93,0.7686,0.0179
CD55,ADGRE5,88,0.7273,0.0323
PECAM1,CD38,82,0.6777,0.0068
SELL,CD34,74,0.6116,0.0267
APP,CD74,68,0.5620,0.0528
MDK,ITGA4_ITGB1,65,0.5372,0.0091
MDK,NCL,65,0.5372,0.0277
F11R,F11R,64,0.5289,0.0033
APP,SORL1,63,0.5207,0.0116
NAMPT,ITGA5_ITGB1,55,0.4545,0.0230
CLEC2B,KLRB1,52,0.4298,0.0158
CD69,KLRB1,52,0.4298,0.0214
TNFSF13B,TNFRSF13C,49,0.4050,0.0129
ICAM2,ITGAL_ITGB2,47,0.3884,0.0063
SELPLG,SELL,47,0.3884,0.0110
F11R,ITGAL_ITGB2,43,0.3554,0.0062
HLA-DPA1,CD4,42,0.3471,0.0193
HLA-DRA,CD4,42,0.3471,0.0298
HLA-DRB1,CD4,42,0.3471,0.0216
HLA-A,CD8A,41,0.3388,0.0520
HLA-E,CD8A,41,0.3388,0.0362
ICAM1,SPN,41,0.3388,0.0177
HLA-DPB1,CD4,41,0.3388,0.0184
HLA-DMA,CD4,41,0.3388,0.0092
HLA-B,CD8A,40,0.3306,0.0578
HLA-C,CD8A,40,0.3306,0.0459
MPZL1,MPZL1,39,0.3223,0.0012
PTPRC,CD22,39,0.3223,0.0228
HLA-DQA1,CD4,39,0.3223,0.0106
HLA-DQB1,CD4,39,0.3223,0.0153
CD99,PILRB,38,0.3140,0.0116
CD99,PILRA,38,0.3140,0.0223
HLA-DMB,CD4,37,0.3058,0.0075
HLA-F,CD8A,36,0.2975,0.0087
THBS1,CD47,35,0.2893,0.0141
LAIR1,LILRB4,34,0.2810,0.0117
CLEC2D,KLRB1,34,0.2810,0.0139
RETN,CAP1,34,0.2810,0.0200
HLA-E,KLRK1,34,0.2810,0.0369
ICAM2,ITGAM_ITGB2,33,0.2727,0.0084
SEMA4D,PLXNB2,32,0.2645,0.0026
HLA-DRB5,CD4,32,0.2645,0.0118
MDK,ITGA6_ITGB1,31,0.2562,0.0061
ICAM1,ITGAL_ITGB2,31,0.2562,0.0092
THBS1,CD36,31,0.2562,0.0142
ITGAV_ITGB1,ADGRE5,31,0.2562,0.0183
CCL5,CCR1,30,0.2479,0.0136
ICAM1,ITGAL,29,0.2397,0.0050
ANXA1,FPR1,29,0.2397,0.0220
LGALS9,HAVCR2,29,0.2397,0.0058
CD6,ALCAM,28,0.2314,0.0045
NEGR1,NEGR1,28,0.2314,0.0076
TNF,TNFRSF1B,28,0.2314,0.0105
ICAM1,ITGAX_ITGB2,27,0.2231,0.0160
TNF,TNFRSF1A,26,0.2149,0.0056
ITGAV_ITGB1,ADGRE2,26,0.2149,0.0078
CTSG,F2R,25,0.2066,0.0113
SEMA4A,PLXNB2,24,0.1983,0.0014
FLT3LG,FLT3,24,0.1983,0.0049
GZMA,F2R,21,0.1736,0.0129
MDK,LRP1,21,0.1736,0.0044
TGFB1,TGFbR1_R2,20,0.1653,0.0080
CD48,CD244,20,0.1653,0.0046
HLA-A,CD8B,19,0.1570,0.0425
HLA-B,CD8B,19,0.1570,0.0472
HLA-C,CD8B,19,0.1570,0.0391
HLA-E,CD8B,19,0.1570,0.0283
HLA-F,LILRB1,19,0.1570,0.0051
CTSG,FPR1,19,0.1570,0.0150
ICAM1,ITGAM_ITGB2,19,0.1570,0.0117
HLA-F,CD8B,18,0.1488,0.0069
CCL3,CCR1,18,0.1488,0.0138
ESAM,ESAM,17,0.1405,0.0055
FCER2,ITGAX_ITGB2,17,0.1405,0.0147
TNFSF13B,TNFRSF13B,16,0.1322,0.0128
RETN,TLR4,16,0.1322,0.0081
NRXN2,CLSTN1,16,0.1322,0.0017
CCL3L1,CCR1,16,0.1322,0.0099
LCK,CD8 receptor,15,0.1240,0.0167
IL16,CD4,14,0.1157,0.0026
MDK,SDC4,13,0.1074,0.0016
TNFSF14,LTBR,13,0.1074,0.0033
PLAU,PLAUR,13,0.1074,0.0051
APP,TNFRSF21,12,0.0992,0.0118
CD34,SELP,12,0.0992,0.0132
TNFSF14,TNFRSF14,12,0.0992,0.0035
