dataset,sample,node,status,masked_by,abundance_unreliable,n_cells
Chen2023,NBM4,T_NK,present,,TRUE,
E-MTAB-11536,621B-BMA,B_Plasma,present,,FALSE,
E-MTAB-11536,621B-BMA,Erythroid,present,,FALSE,
E-MTAB-11536,621B-BMA,HSC_MPP,present,,FALSE,
E-MTAB-11536,621B-BMA,LMPP_GMP,present,,FALSE,
E-MTAB-11536,621B-BMA,Megakaryocyte,present,,FALSE,
E-MTAB-11536,621B-BMA,Mono_DC,present,,FALSE,
E-MTAB-11536,621B-BMA,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
E-MTAB-11536,621B-BMA,T_NK,present,,FALSE,
E-MTAB-11536,637C-BMA,B_Plasma,present,,FALSE,
E-MTAB-11536,637C-BMA,Erythroid,present,,FALSE,
E-MTAB-11536,637C-BMA,HSC_MPP,present,,FALSE,
E-MTAB-11536,637C-BMA,LMPP_GMP,present,,FALSE,
E-MTAB-11536,637C-BMA,Megakaryocyte,present,,FALSE,
E-MTAB-11536,637C-BMA,Mono_DC,present,,FALSE,
E-MTAB-11536,637C-BMA,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
E-MTAB-11536,637C-BMA,T_NK,present,,FALSE,
E-MTAB-11536,640C-BMA,B_Plasma,present,,FALSE,
E-MTAB-11536,640C-BMA,Erythroid,present,,FALSE,
E-MTAB-11536,640C-BMA,HSC_MPP,present,,FALSE,
E-MTAB-11536,640C-BMA,LMPP_GMP,present,,FALSE,
E-MTAB-11536,640C-BMA,Megakaryocyte,present,,FALSE,
E-MTAB-11536,640C-BMA,Mono_DC,present,,FALSE,
E-MTAB-11536,640C-BMA,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
E-MTAB-11536,640C-BMA,T_NK,present,,FALSE,
E-MTAB-11536,A29-BMA,B_Plasma,present,,FALSE,
E-MTAB-11536,A29-BMA,Erythroid,present,,FALSE,
E-MTAB-11536,A29-BMA,HSC_MPP,present,,FALSE,
E-MTAB-11536,A29-BMA,LMPP_GMP,present,,FALSE,
E-MTAB-11536,A29-BMA,Megakaryocyte,present,,FALSE,
E-MTAB-11536,A29-BMA,Mono_DC,present,,FALSE,
E-MTAB-11536,A29-BMA,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
E-MTAB-11536,A29-BMA,T_NK,present,,FALSE,
E-MTAB-11536,A31-BMA,B_Plasma,present,,FALSE,
E-MTAB-11536,A31-BMA,Erythroid,present,,FALSE,
E-MTAB-11536,A31-BMA,HSC_MPP,present,,FALSE,
E-MTAB-11536,A31-BMA,LMPP_GMP,present,,FALSE,
E-MTAB-11536,A31-BMA,Megakaryocyte,present,,FALSE,
E-MTAB-11536,A31-BMA,Mono_DC,present,,FALSE,
E-MTAB-11536,A31-BMA,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
E-MTAB-11536,A31-BMA,T_NK,present,,FALSE,
E-MTAB-11536,A35-BMA,B_Plasma,present,,FALSE,
E-MTAB-11536,A35-BMA,Erythroid,present,,FALSE,
E-MTAB-11536,A35-BMA,HSC_MPP,present,,FALSE,
E-MTAB-11536,A35-BMA,LMPP_GMP,present,,FALSE,
E-MTAB-11536,A35-BMA,Megakaryocyte,present,,FALSE,
E-MTAB-11536,A35-BMA,Mono_DC,present,,FALSE,
E-MTAB-11536,A35-BMA,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
E-MTAB-11536,A35-BMA,T_NK,present,,FALSE,
E-MTAB-11536,A36-BMA,B_Plasma,present,,FALSE,
E-MTAB-11536,A36-BMA,Erythroid,present,,FALSE,
E-MTAB-11536,A36-BMA,HSC_MPP,present,,FALSE,
