dataset,node,n_samples,present,absent_biological,NA_technical
Chen2023,B_Plasma,10,10,0,0
Chen2023,Erythroid,10,10,0,0
Chen2023,HSC_MPP,10,10,0,0
Chen2023,LMPP_GMP,10,10,0,0
Chen2023,Megakaryocyte,10,10,0,0
Chen2023,Mono_DC,10,10,0,0
Chen2023,Stromal,10,10,0,0
Chen2023,T_NK,10,10,0,0
E-MTAB-11536,B_Plasma,8,8,0,0
E-MTAB-11536,Erythroid,8,8,0,0
E-MTAB-11536,HSC_MPP,8,8,0,0
E-MTAB-11536,LMPP_GMP,8,8,0,0
E-MTAB-11536,Megakaryocyte,8,8,0,0
E-MTAB-11536,Mono_DC,8,8,0,0
E-MTAB-11536,Stromal,8,0,0,8
E-MTAB-11536,T_NK,8,8,0,0
GSE116256,B_Plasma,41,39,0,2
GSE116256,Erythroid,41,39,0,2
GSE116256,HSC_MPP,41,41,0,0
GSE116256,LMPP_GMP,41,41,0,0
GSE116256,Megakaryocyte,41,39,0,2
GSE116256,Mono_DC,41,39,0,2
GSE116256,Stromal,41,0,0,41
GSE116256,T_NK,41,39,0,2
GSE147989,B_Plasma,4,0,0,4
GSE147989,Erythroid,4,0,0,4
GSE147989,HSC_MPP,4,4,0,0
GSE147989,LMPP_GMP,4,4,0,0
GSE147989,Megakaryocyte,4,0,0,4
GSE147989,Mono_DC,4,0,0,4
GSE147989,Stromal,4,0,0,4
GSE147989,T_NK,4,0,0,4
GSE185381,B_Plasma,52,52,0,0
GSE185381,Erythroid,52,52,0,0
GSE185381,HSC_MPP,52,52,0,0
GSE185381,LMPP_GMP,52,52,0,0
GSE185381,Megakaryocyte,52,52,0,0
GSE185381,Mono_DC,52,52,0,0
GSE185381,Stromal,52,0,0,52
GSE185381,T_NK,52,52,0,0
GSE185991,B_Plasma,42,0,0,42
GSE185991,Erythroid,42,0,0,42
GSE185991,HSC_MPP,42,42,0,0
GSE185991,LMPP_GMP,42,42,0,0
GSE185991,Megakaryocyte,42,0,0,42
GSE185991,Mono_DC,42,0,0,42
GSE185991,Stromal,42,0,0,42
GSE185991,T_NK,42,0,0,42
GSE201966,B_Plasma,7,7,0,0
GSE201966,Erythroid,7,7,0,0
GSE201966,HSC_MPP,7,7,0,0
GSE201966,LMPP_GMP,7,7,0,0
GSE201966,Megakaryocyte,7,7,0,0
GSE201966,Mono_DC,7,7,0,0
GSE201966,Stromal,7,0,0,7
GSE201966,T_NK,7,7,0,0
GSE207356,B_Plasma,3,3,0,0
GSE207356,Erythroid,3,2,0,1
GSE207356,HSC_MPP,3,3,0,0
GSE207356,LMPP_GMP,3,3,0,0
GSE207356,Megakaryocyte,3,2,0,1
GSE207356,Mono_DC,3,3,0,0
GSE207356,Stromal,3,0,0,3
GSE207356,T_NK,3,3,0,0
GSE227903,B_Plasma,28,28,0,0
GSE227903,Erythroid,28,28,0,0
GSE227903,HSC_MPP,28,28,0,0
GSE227903,LMPP_GMP,28,28,0,0
GSE227903,Megakaryocyte,28,28,0,0
GSE227903,Mono_DC,28,28,0,0
GSE227903,Stromal,28,0,0,28
GSE227903,T_NK,28,28,0,0
GSE239721,B_Plasma,20,20,0,0
GSE239721,Erythroid,20,20,0,0
GSE239721,HSC_MPP,20,20,0,0
GSE239721,LMPP_GMP,20,20,0,0
GSE239721,Megakaryocyte,20,20,0,0
GSE239721,Mono_DC,20,20,0,0
GSE239721,Stromal,20,0,0,20
GSE239721,T_NK,20,20,0,0
GSE253355,B_Plasma,12,12,0,0
GSE253355,Erythroid,12,12,0,0
GSE253355,HSC_MPP,12,12,0,0
GSE253355,LMPP_GMP,12,12,0,0
GSE253355,Megakaryocyte,12,12,0,0
GSE253355,Mono_DC,12,12,0,0
GSE253355,Stromal,12,12,0,0
GSE253355,T_NK,12,12,0,0
GSE289435,B_Plasma,12,12,0,0
GSE289435,Erythroid,12,12,0,0
GSE289435,HSC_MPP,12,12,0,0
GSE289435,LMPP_GMP,12,12,0,0
GSE289435,Megakaryocyte,12,12,0,0
GSE289435,Mono_DC,12,12,0,0
GSE289435,Stromal,12,0,0,12
GSE289435,T_NK,12,12,0,0
Petti2019,B_Plasma,5,5,0,0
Petti2019,Erythroid,5,5,0,0
Petti2019,HSC_MPP,5,5,0,0
Petti2019,LMPP_GMP,5,5,0,0
Petti2019,Megakaryocyte,5,5,0,0
Petti2019,Mono_DC,5,5,0,0
Petti2019,Stromal,5,0,0,5
Petti2019,T_NK,5,5,0,0
