dataset,sample,timepoint,hierarchy_bin,in_ccc_graph,n_cells,n_evaluable,n_malignant,malignant_frac,frac_high_error
GSE239721,PT30A,,HSC_MPP,TRUE,28,28,1,0.0357,0.4643
GSE239721,PT30A,,LMPP_GMP,TRUE,290,290,5,0.0172,0.1034
GSE239721,PT30A,,Mono_DC,TRUE,259,259,9,0.0347,0.0695
GSE239721,PT30A,,Erythroid,TRUE,3,3,0,0,0.3333
GSE239721,PT30A,,Megakaryocyte,TRUE,6,6,1,0.1667,0
GSE239721,PT30A,,T_NK,TRUE,1,1,0,0,0
GSE239721,PT30A,,B_Plasma,TRUE,0,0,0,,
GSE239721,PT30A,,Stromal,FALSE,1,1,0,0,0
GSE239721,PT30A,,Unassigned,FALSE,24,24,7,0.2917,0
GSE239721,PT32A,,HSC_MPP,TRUE,2,2,0,0,0.5
GSE239721,PT32A,,LMPP_GMP,TRUE,174,174,3,0.0172,0.1149
GSE239721,PT32A,,Mono_DC,TRUE,1493,1493,233,0.1561,0.0121
GSE239721,PT32A,,Erythroid,TRUE,4,4,0,0,0
GSE239721,PT32A,,Megakaryocyte,TRUE,1,1,1,1,0
GSE239721,PT32A,,T_NK,TRUE,0,0,0,,
GSE239721,PT32A,,B_Plasma,TRUE,0,0,0,,
GSE239721,PT32A,,Stromal,FALSE,1,1,0,0,0
GSE239721,PT32A,,Unassigned,FALSE,50,50,14,0.28,0
GSE289435,GSM8791432_MLL_14666,,HSC_MPP,TRUE,451,451,56,0.1242,0.2461
GSE289435,GSM8791432_MLL_14666,,LMPP_GMP,TRUE,2126,2126,95,0.0447,0.1035
GSE289435,GSM8791432_MLL_14666,,Mono_DC,TRUE,5195,5195,1014,0.1952,0.0454
GSE289435,GSM8791432_MLL_14666,,Erythroid,TRUE,9,9,3,0.3333,0
GSE289435,GSM8791432_MLL_14666,,Megakaryocyte,TRUE,1,1,0,0,0
GSE289435,GSM8791432_MLL_14666,,T_NK,TRUE,745,745,30,0.0403,0.1597
GSE289435,GSM8791432_MLL_14666,,B_Plasma,TRUE,487,487,92,0.1889,0.0431
GSE289435,GSM8791432_MLL_14666,,Stromal,FALSE,40,40,3,0.075,0.175
GSE289435,GSM8791432_MLL_14666,,Unassigned,FALSE,98,98,35,0.3571,0
GSE289435,GSM8791433_MLL_16703,,HSC_MPP,TRUE,664,664,38,0.0572,0.2605
GSE289435,GSM8791433_MLL_16703,,LMPP_GMP,TRUE,4133,4133,286,0.0692,0.0738
GSE289435,GSM8791433_MLL_16703,,Mono_DC,TRUE,0,0,0,,
GSE289435,GSM8791433_MLL_16703,,Erythroid,TRUE,1283,1283,196,0.1528,0.0226
GSE289435,GSM8791433_MLL_16703,,Megakaryocyte,TRUE,34,34,10,0.2941,0
GSE289435,GSM8791433_MLL_16703,,T_NK,TRUE,617,617,16,0.0259,0.0567
GSE289435,GSM8791433_MLL_16703,,B_Plasma,TRUE,302,302,1,0.0033,0
GSE289435,GSM8791433_MLL_16703,,Stromal,FALSE,7,7,3,0.4286,0
GSE289435,GSM8791433_MLL_16703,,Unassigned,FALSE,890,890,324,0.364,0
GSE289435,GSM8791434_MLL_17746,,HSC_MPP,TRUE,182,182,49,0.2692,0.4066
GSE289435,GSM8791434_MLL_17746,,LMPP_GMP,TRUE,4318,4318,181,0.0419,0.1216
GSE289435,GSM8791434_MLL_17746,,Mono_DC,TRUE,430,430,12,0.0279,0.0884
GSE289435,GSM8791434_MLL_17746,,Erythroid,TRUE,138,138,43,0.3116,0.1884
GSE289435,GSM8791434_MLL_17746,,Megakaryocyte,TRUE,0,0,0,,
GSE289435,GSM8791434_MLL_17746,,T_NK,TRUE,104,104,1,0.0096,0.1058
GSE289435,GSM8791434_MLL_17746,,B_Plasma,TRUE,6,6,0,0,0
GSE289435,GSM8791434_MLL_17746,,Stromal,FALSE,26,26,0,0,0
GSE289435,GSM8791434_MLL_17746,,Unassigned,FALSE,69,69,15,0.2174,0
GSE289435,GSM8791435_MLL_17843,,HSC_MPP,TRUE,4808,4808,189,0.0393,0.3319
GSE289435,GSM8791435_MLL_17843,,LMPP_GMP,TRUE,4140,4140,129,0.0312,0.1133
GSE289435,GSM8791435_MLL_17843,,Mono_DC,TRUE,4,4,1,0.25,0.75
GSE289435,GSM8791435_MLL_17843,,Erythroid,TRUE,3148,3148,463,0.1471,0.0632
GSE289435,GSM8791435_MLL_17843,,Megakaryocyte,TRUE,0,0,0,,
GSE289435,GSM8791435_MLL_17843,,T_NK,TRUE,480,480,2,0.0042,0.0854
GSE289435,GSM8791435_MLL_17843,,B_Plasma,TRUE,68,68,1,0.0147,0.0147
GSE289435,GSM8791435_MLL_17843,,Stromal,FALSE,0,0,0,,
GSE289435,GSM8791435_MLL_17843,,Unassigned,FALSE,781,781,160,0.2049,0
GSE289435,GSM8791436_MLL_17844,,HSC_MPP,TRUE,4,4,1,0.25,0.25
GSE289435,GSM8791436_MLL_17844,,LMPP_GMP,TRUE,1442,1442,595,0.4126,0.0978
GSE289435,GSM8791436_MLL_17844,,Mono_DC,TRUE,11255,11255,3466,0.308,0.063
GSE289435,GSM8791436_MLL_17844,,Erythroid,TRUE,57,57,16,0.2807,0.1053
GSE289435,GSM8791436_MLL_17844,,Megakaryocyte,TRUE,1,1,0,0,0
GSE289435,GSM8791436_MLL_17844,,T_NK,TRUE,4,4,0,0,0
GSE289435,GSM8791436_MLL_17844,,B_Plasma,TRUE,7,7,3,0.4286,0.1429
GSE289435,GSM8791436_MLL_17844,,Stromal,FALSE,10,10,8,0.8,0
GSE289435,GSM8791436_MLL_17844,,Unassigned,FALSE,270,270,158,0.5852,0
GSE289435,GSM8791437_MLL_28824,,HSC_MPP,TRUE,95,95,3,0.0316,0.1579
GSE289435,GSM8791437_MLL_28824,,LMPP_GMP,TRUE,2819,2819,45,0.016,0.0748
GSE289435,GSM8791437_MLL_28824,,Mono_DC,TRUE,17,17,1,0.0588,0.1176
GSE289435,GSM8791437_MLL_28824,,Erythroid,TRUE,222,222,6,0.027,0.018
GSE289435,GSM8791437_MLL_28824,,Megakaryocyte,TRUE,46,46,5,0.1087,0
GSE289435,GSM8791437_MLL_28824,,T_NK,TRUE,899,899,2,0.0022,0.1001
GSE289435,GSM8791437_MLL_28824,,B_Plasma,TRUE,208,208,0,0,0
GSE289435,GSM8791437_MLL_28824,,Stromal,FALSE,2,2,0,0,0
GSE289435,GSM8791437_MLL_28824,,Unassigned,FALSE,282,282,72,0.2553,0
GSE289435,GSM8791438_MLL_28830,,HSC_MPP,TRUE,355,355,18,0.0507,0.2845
GSE289435,GSM8791438_MLL_28830,,LMPP_GMP,TRUE,702,702,29,0.0413,0.0954
GSE289435,GSM8791438_MLL_28830,,Mono_DC,TRUE,3409,3409,174,0.051,0.0299
GSE289435,GSM8791438_MLL_28830,,Erythroid,TRUE,135,135,9,0.0667,0.2074
GSE289435,GSM8791438_MLL_28830,,Megakaryocyte,TRUE,1,1,0,0,0
GSE289435,GSM8791438_MLL_28830,,T_NK,TRUE,273,273,1,0.0037,0.1026
GSE289435,GSM8791438_MLL_28830,,B_Plasma,TRUE,120,120,2,0.0167,0.0083
GSE289435,GSM8791438_MLL_28830,,Stromal,FALSE,7,7,1,0.1429,0
GSE289435,GSM8791438_MLL_28830,,Unassigned,FALSE,500,500,158,0.316,0
GSE289435,GSM8791439_MLL_28855,,HSC_MPP,TRUE,156,156,0,0,0.1346
GSE289435,GSM8791439_MLL_28855,,LMPP_GMP,TRUE,90,90,0,0,0.0889
GSE289435,GSM8791439_MLL_28855,,Mono_DC,TRUE,1663,1663,38,0.0229,0.0174
GSE289435,GSM8791439_MLL_28855,,Erythroid,TRUE,2353,2353,521,0.2214,0.0178
GSE289435,GSM8791439_MLL_28855,,Megakaryocyte,TRUE,22,22,0,0,0
GSE289435,GSM8791439_MLL_28855,,T_NK,TRUE,154,154,0,0,0.1104
GSE289435,GSM8791439_MLL_28855,,B_Plasma,TRUE,133,133,2,0.015,0
GSE289435,GSM8791439_MLL_28855,,Stromal,FALSE,0,0,0,,
GSE289435,GSM8791439_MLL_28855,,Unassigned,FALSE,321,321,41,0.1277,0
GSE289435,GSM8791441_MLL_29532,,HSC_MPP,TRUE,121,121,0,0,0.2397
GSE289435,GSM8791441_MLL_29532,,LMPP_GMP,TRUE,71,71,0,0,0.1127
GSE289435,GSM8791441_MLL_29532,,Mono_DC,TRUE,4,4,0,0,0
GSE289435,GSM8791441_MLL_29532,,Erythroid,TRUE,16,16,0,0,0
GSE289435,GSM8791441_MLL_29532,,Megakaryocyte,TRUE,1,1,0,0,0
GSE289435,GSM8791441_MLL_29532,,T_NK,TRUE,501,501,0,0,0.0818
GSE289435,GSM8791441_MLL_29532,,B_Plasma,TRUE,4009,4009,0,0,0
GSE289435,GSM8791441_MLL_29532,,Stromal,FALSE,0,0,0,,
GSE289435,GSM8791441_MLL_29532,,Unassigned,FALSE,537,537,35,0.0652,0
GSE289435,GSM8791442_MLL_29538,,HSC_MPP,TRUE,29,29,4,0.1379,0.1379
GSE289435,GSM8791442_MLL_29538,,LMPP_GMP,TRUE,326,326,80,0.2454,0.1258
GSE289435,GSM8791442_MLL_29538,,Mono_DC,TRUE,3531,3531,691,0.1957,0.0368
GSE289435,GSM8791442_MLL_29538,,Erythroid,TRUE,39,39,6,0.1538,0.0256
GSE289435,GSM8791442_MLL_29538,,Megakaryocyte,TRUE,14,14,0,0,0
GSE289435,GSM8791442_MLL_29538,,T_NK,TRUE,83,83,9,0.1084,0.1325
GSE289435,GSM8791442_MLL_29538,,B_Plasma,TRUE,345,345,9,0.0261,0.0029
GSE289435,GSM8791442_MLL_29538,,Stromal,FALSE,3,3,3,1,0
GSE289435,GSM8791442_MLL_29538,,Unassigned,FALSE,262,262,193,0.7366,0
GSE289435,GSM8791443_MLL_30862,,HSC_MPP,TRUE,13,13,3,0.2308,0.1538
GSE289435,GSM8791443_MLL_30862,,LMPP_GMP,TRUE,45,45,4,0.0889,0.2
GSE289435,GSM8791443_MLL_30862,,Mono_DC,TRUE,2945,2945,1403,0.4764,0.019
GSE289435,GSM8791443_MLL_30862,,Erythroid,TRUE,8,8,4,0.5,0.25
GSE289435,GSM8791443_MLL_30862,,Megakaryocyte,TRUE,1,1,1,1,0
GSE289435,GSM8791443_MLL_30862,,T_NK,TRUE,2,2,0,0,0
GSE289435,GSM8791443_MLL_30862,,B_Plasma,TRUE,14,14,5,0.3571,0
GSE289435,GSM8791443_MLL_30862,,Stromal,FALSE,0,0,0,,
GSE289435,GSM8791443_MLL_30862,,Unassigned,FALSE,83,83,79,0.9518,0
GSE289435,GSM8791444_MLL_30886,,HSC_MPP,TRUE,884,884,34,0.0385,0.2308
GSE289435,GSM8791444_MLL_30886,,LMPP_GMP,TRUE,1090,1090,24,0.022,0.0917
GSE289435,GSM8791444_MLL_30886,,Mono_DC,TRUE,1534,1534,94,0.0613,0.0306
GSE289435,GSM8791444_MLL_30886,,Erythroid,TRUE,6790,6790,231,0.034,0.1113
GSE289435,GSM8791444_MLL_30886,,Megakaryocyte,TRUE,388,388,60,0.1546,0.0206
GSE289435,GSM8791444_MLL_30886,,T_NK,TRUE,914,914,17,0.0186,0.1827
GSE289435,GSM8791444_MLL_30886,,B_Plasma,TRUE,272,272,5,0.0184,0.0551
GSE289435,GSM8791444_MLL_30886,,Stromal,FALSE,9,9,0,0,0.4444
GSE289435,GSM8791444_MLL_30886,,Unassigned,FALSE,0,0,0,,
Petti2019,508084,,HSC_MPP,TRUE,892,892,21,0.0235,0.2489
Petti2019,508084,,LMPP_GMP,TRUE,3598,3598,72,0.02,0.0914
Petti2019,508084,,Mono_DC,TRUE,4246,4246,613,0.1444,0.0518
Petti2019,508084,,Erythroid,TRUE,15,15,0,0,0.2
Petti2019,508084,,Megakaryocyte,TRUE,0,0,0,,
Petti2019,508084,,T_NK,TRUE,451,451,11,0.0244,0.1242
Petti2019,508084,,B_Plasma,TRUE,33,33,0,0,0
Petti2019,508084,,Stromal,FALSE,0,0,0,,
Petti2019,508084,,Unassigned,FALSE,247,247,24,0.0972,0
Petti2019,548327,,HSC_MPP,TRUE,253,253,43,0.17,0.0711
Petti2019,548327,,LMPP_GMP,TRUE,6220,6220,673,0.1082,0.0879
Petti2019,548327,,Mono_DC,TRUE,355,355,66,0.1859,0.031
Petti2019,548327,,Erythroid,TRUE,105,105,9,0.0857,0.1143
Petti2019,548327,,Megakaryocyte,TRUE,0,0,0,,
Petti2019,548327,,T_NK,TRUE,1093,1093,13,0.0119,0.0421
Petti2019,548327,,B_Plasma,TRUE,352,352,92,0.2614,0
Petti2019,548327,,Stromal,FALSE,3,3,2,0.6667,0
Petti2019,548327,,Unassigned,FALSE,324,324,44,0.1358,0
Petti2019,721214,,HSC_MPP,TRUE,6459,6459,77,0.0119,0.2322
Petti2019,721214,,LMPP_GMP,TRUE,3980,3980,39,0.0098,0.1118
Petti2019,721214,,Mono_DC,TRUE,28,28,2,0.0714,0.0357
Petti2019,721214,,Erythroid,TRUE,1873,1873,55,0.0294,0.0336
Petti2019,721214,,Megakaryocyte,TRUE,51,51,3,0.0588,0.0392
Petti2019,721214,,T_NK,TRUE,102,102,5,0.049,0.0882
Petti2019,721214,,B_Plasma,TRUE,29,29,0,0,0
Petti2019,721214,,Stromal,FALSE,12,12,3,0.25,0
Petti2019,721214,,Unassigned,FALSE,615,615,35,0.0569,0
Petti2019,782328,,HSC_MPP,TRUE,585,585,10,0.0171,0.1521
Petti2019,782328,,LMPP_GMP,TRUE,1275,1275,64,0.0502,0.0745
Petti2019,782328,,Mono_DC,TRUE,12246,12246,4721,0.3855,0.0154
Petti2019,782328,,Erythroid,TRUE,23,23,0,0,0.087
Petti2019,782328,,Megakaryocyte,TRUE,2,2,0,0,0
Petti2019,782328,,T_NK,TRUE,421,421,13,0.0309,0.1069
Petti2019,782328,,B_Plasma,TRUE,48,48,0,0,0.0208
Petti2019,782328,,Stromal,FALSE,1,1,1,1,0
Petti2019,782328,,Unassigned,FALSE,547,547,259,0.4735,0
Petti2019,809653,,HSC_MPP,TRUE,1095,1095,367,0.3352,0.1927
Petti2019,809653,,LMPP_GMP,TRUE,1349,1349,312,0.2313,0.0712
Petti2019,809653,,Mono_DC,TRUE,1452,1452,1228,0.8457,0.0172
Petti2019,809653,,Erythroid,TRUE,111,111,45,0.4054,0.036
Petti2019,809653,,Megakaryocyte,TRUE,15,15,11,0.7333,0
Petti2019,809653,,T_NK,TRUE,9267,9267,112,0.0121,0.0603
Petti2019,809653,,B_Plasma,TRUE,795,795,37,0.0465,0
Petti2019,809653,,Stromal,FALSE,1,1,1,1,0
Petti2019,809653,,Unassigned,FALSE,1109,1109,298,0.2687,0
Petti2019,ND_083017,,HSC_MPP,TRUE,51,51,0,0,0.1176
Petti2019,ND_083017,,LMPP_GMP,TRUE,93,93,13,0.1398,0.0323
Petti2019,ND_083017,,Mono_DC,TRUE,762,762,346,0.4541,0.0092
Petti2019,ND_083017,,Erythroid,TRUE,48,48,1,0.0208,0
Petti2019,ND_083017,,Megakaryocyte,TRUE,6,6,4,0.6667,0
Petti2019,ND_083017,,T_NK,TRUE,2970,2970,165,0.0556,0.0646
Petti2019,ND_083017,,B_Plasma,TRUE,445,445,19,0.0427,0.0045
Petti2019,ND_083017,,Stromal,FALSE,1,1,1,1,0
Petti2019,ND_083017,,Unassigned,FALSE,166,166,44,0.2651,0
Petti2019,ND_090617,,HSC_MPP,TRUE,9,9,0,0,0.1111
Petti2019,ND_090617,,LMPP_GMP,TRUE,49,49,3,0.0612,0.0204
Petti2019,ND_090617,,Mono_DC,TRUE,1124,1124,476,0.4235,0.0027
Petti2019,ND_090617,,Erythroid,TRUE,14,14,1,0.0714,0
Petti2019,ND_090617,,Megakaryocyte,TRUE,0,0,0,,
Petti2019,ND_090617,,T_NK,TRUE,3090,3090,226,0.0731,0.0612
Petti2019,ND_090617,,B_Plasma,TRUE,950,950,72,0.0758,0.0042
Petti2019,ND_090617,,Stromal,FALSE,0,0,0,,
Petti2019,ND_090617,,Unassigned,FALSE,249,249,78,0.3133,0
Petti2019,Normal_sorted_170531,,HSC_MPP,TRUE,76,76,2,0.0263,0.1316
Petti2019,Normal_sorted_170531,,LMPP_GMP,TRUE,132,132,37,0.2803,0.0227
Petti2019,Normal_sorted_170531,,Mono_DC,TRUE,604,604,293,0.4851,0.0033
Petti2019,Normal_sorted_170531,,Erythroid,TRUE,18,18,0,0,0
Petti2019,Normal_sorted_170531,,Megakaryocyte,TRUE,1,1,0,0,0
Petti2019,Normal_sorted_170531,,T_NK,TRUE,1315,1315,77,0.0586,0.057
Petti2019,Normal_sorted_170531,,B_Plasma,TRUE,297,297,82,0.2761,0.0101
Petti2019,Normal_sorted_170531,,Stromal,FALSE,0,0,0,,
Petti2019,Normal_sorted_170531,,Unassigned,FALSE,134,134,55,0.4104,0
Petti2019,Normal_sorted_170607,,HSC_MPP,TRUE,41,41,0,0,0.122
Petti2019,Normal_sorted_170607,,LMPP_GMP,TRUE,78,78,36,0.4615,0.0641
Petti2019,Normal_sorted_170607,,Mono_DC,TRUE,619,619,483,0.7803,0.0032
Petti2019,Normal_sorted_170607,,Erythroid,TRUE,2,2,0,0,0
Petti2019,Normal_sorted_170607,,Megakaryocyte,TRUE,0,0,0,,
Petti2019,Normal_sorted_170607,,T_NK,TRUE,966,966,73,0.0756,0.0393
Petti2019,Normal_sorted_170607,,B_Plasma,TRUE,120,120,10,0.0833,0
Petti2019,Normal_sorted_170607,,Stromal,FALSE,0,0,0,,
Petti2019,Normal_sorted_170607,,Unassigned,FALSE,78,78,42,0.5385,0
