dataset,sample,timepoint,hierarchy_bin,in_ccc_graph,n_cells,n_evaluable,n_malignant,malignant_frac,frac_high_error
GSE227903,40389_MRD,MRD,Unassigned,FALSE,102,102,31,0.3039,0
GSE227903,40389_R,Relapse,HSC_MPP,TRUE,101,101,2,0.0198,0.2772
GSE227903,40389_R,Relapse,LMPP_GMP,TRUE,410,410,45,0.1098,0.1171
GSE227903,40389_R,Relapse,Mono_DC,TRUE,1239,1239,363,0.293,0.0404
GSE227903,40389_R,Relapse,Erythroid,TRUE,62,62,14,0.2258,0.0645
GSE227903,40389_R,Relapse,Megakaryocyte,TRUE,10,10,3,0.3,0
GSE227903,40389_R,Relapse,T_NK,TRUE,3431,3431,62,0.0181,0.0778
GSE227903,40389_R,Relapse,B_Plasma,TRUE,36,36,5,0.1389,0
GSE227903,40389_R,Relapse,Stromal,FALSE,18,18,15,0.8333,0
GSE227903,40389_R,Relapse,Unassigned,FALSE,164,164,94,0.5732,0
GSE227903,4978_Dg,Dx,HSC_MPP,TRUE,480,480,43,0.0896,0.2979
GSE227903,4978_Dg,Dx,LMPP_GMP,TRUE,1680,1680,188,0.1119,0.0798
GSE227903,4978_Dg,Dx,Mono_DC,TRUE,138,138,27,0.1957,0.1304
GSE227903,4978_Dg,Dx,Erythroid,TRUE,55,55,11,0.2,0.0364
GSE227903,4978_Dg,Dx,Megakaryocyte,TRUE,0,0,0,,
GSE227903,4978_Dg,Dx,T_NK,TRUE,263,263,2,0.0076,0.0608
GSE227903,4978_Dg,Dx,B_Plasma,TRUE,13,13,1,0.0769,0.0769
GSE227903,4978_Dg,Dx,Stromal,FALSE,19,19,1,0.0526,0.0526
GSE227903,4978_Dg,Dx,Unassigned,FALSE,31,31,5,0.1613,0
GSE227903,4978_MRD,MRD,HSC_MPP,TRUE,3,3,0,0,0
GSE227903,4978_MRD,MRD,LMPP_GMP,TRUE,65,65,5,0.0769,0.0154
GSE227903,4978_MRD,MRD,Mono_DC,TRUE,417,417,97,0.2326,0.036
GSE227903,4978_MRD,MRD,Erythroid,TRUE,800,800,176,0.22,0.0112
GSE227903,4978_MRD,MRD,Megakaryocyte,TRUE,0,0,0,,
GSE227903,4978_MRD,MRD,T_NK,TRUE,359,359,11,0.0306,0.0724
GSE227903,4978_MRD,MRD,B_Plasma,TRUE,29,29,4,0.1379,0
GSE227903,4978_MRD,MRD,Stromal,FALSE,0,0,0,,
GSE227903,4978_MRD,MRD,Unassigned,FALSE,59,59,30,0.5085,0
GSE227903,4978_R,Relapse,HSC_MPP,TRUE,1173,1173,32,0.0273,0.4015
GSE227903,4978_R,Relapse,LMPP_GMP,TRUE,605,605,4,0.0066,0.2033
GSE227903,4978_R,Relapse,Mono_DC,TRUE,9,9,1,0.1111,0.3333
GSE227903,4978_R,Relapse,Erythroid,TRUE,58,58,0,0,0.069
GSE227903,4978_R,Relapse,Megakaryocyte,TRUE,1,1,0,0,0
GSE227903,4978_R,Relapse,T_NK,TRUE,8,8,2,0.25,0.125
GSE227903,4978_R,Relapse,B_Plasma,TRUE,0,0,0,,
GSE227903,4978_R,Relapse,Stromal,FALSE,177,177,4,0.0226,0.0678
GSE227903,4978_R,Relapse,Unassigned,FALSE,4,4,0,0,0
GSE227903,5143_Dg,Dx,HSC_MPP,TRUE,36,36,0,0,0.1111
GSE227903,5143_Dg,Dx,LMPP_GMP,TRUE,280,280,3,0.0107,0.0893
GSE227903,5143_Dg,Dx,Mono_DC,TRUE,449,449,100,0.2227,0.029
GSE227903,5143_Dg,Dx,Erythroid,TRUE,1,1,0,0,0
GSE227903,5143_Dg,Dx,Megakaryocyte,TRUE,0,0,0,,
GSE227903,5143_Dg,Dx,T_NK,TRUE,316,316,42,0.1329,0.0601
GSE227903,5143_Dg,Dx,B_Plasma,TRUE,4,4,0,0,0
GSE227903,5143_Dg,Dx,Stromal,FALSE,0,0,0,,
GSE227903,5143_Dg,Dx,Unassigned,FALSE,17,17,4,0.2353,0
GSE227903,5143_R,Relapse,HSC_MPP,TRUE,147,147,10,0.068,0.0544
GSE227903,5143_R,Relapse,LMPP_GMP,TRUE,853,853,43,0.0504,0.0422
GSE227903,5143_R,Relapse,Mono_DC,TRUE,557,557,136,0.2442,0.0305
GSE227903,5143_R,Relapse,Erythroid,TRUE,6,6,1,0.1667,0
GSE227903,5143_R,Relapse,Megakaryocyte,TRUE,1,1,0,0,0
GSE227903,5143_R,Relapse,T_NK,TRUE,487,487,43,0.0883,0.0698
GSE227903,5143_R,Relapse,B_Plasma,TRUE,5,5,1,0.2,0.2
GSE227903,5143_R,Relapse,Stromal,FALSE,0,0,0,,
GSE227903,5143_R,Relapse,Unassigned,FALSE,47,47,5,0.1064,0
GSE227903,5750_Dg,Dx,HSC_MPP,TRUE,371,371,10,0.027,0.1644
GSE227903,5750_Dg,Dx,LMPP_GMP,TRUE,2871,2871,41,0.0143,0.0453
GSE227903,5750_Dg,Dx,Mono_DC,TRUE,413,413,23,0.0557,0.0387
GSE227903,5750_Dg,Dx,Erythroid,TRUE,416,416,28,0.0673,0.0361
GSE227903,5750_Dg,Dx,Megakaryocyte,TRUE,0,0,0,,
GSE227903,5750_Dg,Dx,T_NK,TRUE,55,55,18,0.3273,0.0727
GSE227903,5750_Dg,Dx,B_Plasma,TRUE,10,10,1,0.1,0
GSE227903,5750_Dg,Dx,Stromal,FALSE,0,0,0,,
GSE227903,5750_Dg,Dx,Unassigned,FALSE,66,66,5,0.0758,0
GSE227903,5750_MRD,MRD,HSC_MPP,TRUE,47,47,0,0,0.1702
GSE227903,5750_MRD,MRD,LMPP_GMP,TRUE,234,234,16,0.0684,0.0385
