dataset,sample,n_proj,n_cons,n_joined,join_rate
GSE239721,PT26A,1178,1178,1178,1
GSE239721,PT27A,5191,5191,5191,1
GSE239721,PT28A,7712,7712,7712,1
GSE239721,PT29A,2193,2193,2193,1
GSE239721,PT30A,612,612,612,1
GSE239721,PT32A,1725,1725,1725,1
GSE289435,GSM8791432_MLL_14666,9152,9152,9152,1
GSE289435,GSM8791433_MLL_16703,7930,7930,7930,1
GSE289435,GSM8791434_MLL_17746,5273,5273,5273,1
GSE289435,GSM8791435_MLL_17843,13429,13429,13429,1
GSE289435,GSM8791436_MLL_17844,13050,13050,13050,1
GSE289435,GSM8791437_MLL_28824,4590,4590,4590,1
GSE289435,GSM8791438_MLL_28830,5502,5502,5502,1
GSE289435,GSM8791439_MLL_28855,4892,4892,4892,1
GSE289435,GSM8791441_MLL_29532,5260,5260,5260,1
GSE289435,GSM8791442_MLL_29538,4632,4632,4632,1
GSE289435,GSM8791443_MLL_30862,3111,3111,3111,1
GSE289435,GSM8791444_MLL_30886,11881,11881,11881,1
Petti2019,508084,9482,9482,9482,1
Petti2019,548327,8705,8705,8705,1
Petti2019,721214,13149,13149,13149,1
Petti2019,782328,15148,15148,15148,1
Petti2019,809653,15194,15194,15194,1
Petti2019,ND_083017,4542,4542,4542,1
Petti2019,ND_090617,5485,5485,5485,1
Petti2019,Normal_sorted_170531,2577,2577,2577,1
Petti2019,Normal_sorted_170607,1904,1904,1904,1
