sample,n,n_on,rho_all,rho
AML103,2004,884,0.449458076857585,-0.611717678682426
AML162,4468,2655,0.392023057107384,-0.713640322268755
AML24,11276,9932,0.184001471367615,-0.147949473653531
AML304,7283,2701,0.609023465527233,-0.717454136589754
AML320,5626,3909,0.0965583320388505,-0.714456111075946
AML469,3177,3170,-0.270741489382939,-0.279514961567456
NBM1,12222,6522,0.49672735027415,-0.804729808207894
NBM2,3171,1225,0.338165489358379,-0.775825636239711
NBM3,12615,7916,0.483367033687561,-0.719027260151447
NBM4,5377,2961,0.569152379474258,-0.788382597185639
621B-BMA,592,95,-0.0235280754138567,-0.138438578969331
637C-BMA,1331,228,0.424800700491529,-0.727395561399148
640C-BMA,1609,519,0.340386639990257,-0.404794801691309
A29-BMA,1177,354,0.134177108964314,-0.432497276407706
A35-BMA,1138,403,0.222991612460454,-0.112215728001742
A36-BMA,1092,516,0.616609069590519,-0.444940080491215
A37-BMA,684,274,0.3939658149162,-0.517839943832839
AML1012-D0,913,908,-0.458692291086585,-0.470810317462821
AML210A-D0,582,420,0.327003282986818,-0.719142688643782
AML328-D0,586,452,0.171783567608277,-0.782638190115005
AML328-D113,1612,166,0.350831574582884,-0.456737103380048
AML328-D171,938,136,0.428456439694452,-0.348347290908106
AML328-D29,1229,967,0.443570702828951,-0.188263712374967
AML329-D0,414,305,0.380235793352325,-0.584475203358317
AML329-D20,594,492,0.0710522883730341,-0.704430203379891
AML371-D0,505,499,-0.67616088646794,-0.703310911892549
AML419A-D0,891,885,-0.529950509700995,-0.564327008732399
AML420B-D0,362,158,0.725937475903786,-0.46358740348615
AML420B-D35,430,267,0.605620485719413,-0.411431449247205
AML475-D0,308,283,0.0832977444704709,-0.159611251908091
AML556-D0,1526,1394,-0.107391970972065,-0.435418821892199
AML556-D31,1079,763,0.372564212541674,-0.560554768686174
AML707B-D0,1184,1163,-0.200331787880038,-0.259319747437236
AML707B-D113,565,209,0.762340673331668,-0.0939184097123534
AML870-D0,307,293,-0.0397739451379059,-0.190203479483007
AML916-D0,644,639,-0.182888946103637,-0.192317824449676
AML921A-D0,2879,2700,-0.197121596025881,-0.431347518638119
BM3,488,350,0.460993131732565,-0.480537839620926
BM4,2944,2034,0.441849014562266,-0.628409299645903
BM5-34p,948,946,-0.481229371288837,-0.484890195772459
BM5-34p38n,1197,1197,-0.0563427967502333,-0.0563427967502333
009SCRBL,1000,1000,-0.138345765486533,-0.138345765486533
009C1D1BL,736,736,-0.237175209631044,-0.237175209631044
007SCRBL,1326,1326,-0.360396397464212,-0.360396397464212
007C1D1BL,2295,2295,-0.560099463710047,-0.560099463710047
AML0612,8469,7028,0.452962744811135,0.0144628174858205
AML3762,5771,5119,0.183391876632815,-0.196573138916406
AML0160,1926,1905,-0.482429393087232,-0.522944730230663
AML0310,4139,4106,-0.094883841208381,-0.0824876662700178
AML3133,2096,842,0.387594124858555,-0.597146656318435
Control4,5053,3684,0.141078933862354,-0.492535864022655
Control2,1994,1826,-0.445784989496748,-0.667140525336547
Control1,2657,1950,0.165870509654127,-0.66565826535084
Control3,3560,1652,0.422555796038764,-0.38793742371993
Control5,2515,1606,-0.0865178578032834,-0.541523049586726
AML2910,4124,4109,-0.642639737634264,-0.642582932935197
AML3050,1763,1756,-0.305851902573066,-0.321365549646401
AML0361,1215,1188,-0.569927398231697,-0.547271806245362
PAWWEE,505,499,-0.152428820244498,-0.181504724183146
AML2451,2639,2570,-0.560897901286359,-0.587532549316675
Control0004,1209,434,0.330535675376789,-0.473405933595167
Control0058,5179,2386,0.292535304205731,-0.175668183895622
PAXMIJ,932,894,-0.445876533323793,-0.636939911076568
PAUMTZ,4127,4080,-0.608316454726522,-0.653259579209532
AML038,3002,2946,-0.643947624459304,-0.737944120556156
AML008,3579,3568,-0.0612739220579912,-0.0639696354438228
AML043,1223,1064,-0.361156455960757,-0.464166728067416
AML028,4038,3935,-0.298570210034089,-0.385630291726196
AML056,1841,1462,0.0983045370098509,-0.555818356042447
AML073,4481,3732,-0.139782832830896,-0.426447178486758
AML006,2568,1911,-0.00974790127248461,-0.124528557515802
AML025,3237,3115,-0.341646946273794,-0.512169589035966
AML003,5385,5264,-0.548961514008616,-0.609571121238794
AML012,4264,4180,-0.531632578628858,-0.520193946322108
AML005,3646,3343,0.0205767088509517,-0.261028800037319
AML055,4760,3776,0.40440022075253,-0.218742634669757
AML048,2068,1796,-0.0362628518455115,-0.361671837551966
AML0048,3785,3332,-0.627461618562623,-0.558213308875596
AML3266,1418,1034,0.603933098845435,-0.128303184490679
AML022,771,609,0.220203274367396,-0.632073785728917
Control0082,7108,5958,-0.302558309559303,-0.391350772428836
AML052,6601,6466,-0.145383148001365,-0.2138002888404
AML2123,788,498,0.533314846091789,-0.647846788882688
Control4003,4772,2600,0.0565165846437377,-0.507957672952513
AML1371,1510,298,0.361972631616134,0.054771766564956
AML4340,2487,625,0.572930552999783,-0.677794515213521
AML0024,4718,4711,-0.361359857393453,-0.360014992571085
AML4897,2355,709,0.0874112354889851,-0.132391580116705
AML009,2754,2652,-0.219949721306741,-0.330696970073882
Control0005,3332,2048,0.24361892562535,-0.540250054551486
AML026,946,888,-0.292198460121384,-0.515032413582148
AML051,1508,700,0.395254044432229,-0.427011261517738
AML001,358,287,-0.167949636374764,-0.761402146142452
AML0693,2786,2156,-0.258994779465709,-0.790787590500256
AML3948,6232,5957,-0.144944379416705,-0.295024984144854
AML3730,4460,4314,-0.694405204077518,-0.768301543535845
AML0114,4482,3148,0.372778964559242,-0.703878135433633
GSM5628163_M03,1248,1247,-0.377449751186525,-0.37962964717073
GSM5628164_M04,1266,1266,0.016453312708474,0.016453312708474
GSM5628167_M07,1343,1332,-0.114695696902589,-0.146142181057836
GSM5628168_M08,1330,1326,0.0547563925594662,0.0464107523043617
GSM5628172_M22,3058,2985,-0.583425447380605,-0.67308201229044
GSM5628175_M25,895,853,0.171595400839837,0.0415943390483868
GSM5628176_M26,1508,1492,-0.792490061122441,-0.853160472779408
GSM5628177_M27,964,123,0.531380769907295,-0.293479108790815
GSM5628178_M28,1992,1921,-0.46709472547734,-0.619390973010556
GSM5628180_M30,2587,1785,0.552668233706045,-0.379072754215135
GSM5628181_M31,2155,1913,0.0991051884606881,-0.287962604246316
GSM5628182_M32,3663,3631,-0.49056850145924,-0.524539672034402
GSM5628183_M33,1907,1864,-0.562650133493008,-0.614412446470182
GSM5628186_M39,1297,249,0.618460402032513,-0.887562569407439
GSM5628187_M40,1906,1904,-0.729726844726317,-0.732233283052972
GSM5628188_M41,1848,1848,-0.582043010340672,-0.582043010340672
GSM5628190_M43,475,420,-0.217085043071017,-0.686616752400469
GSM5628191_M44,590,442,0.234290349273714,-0.844182608270112
GSM5628192_M45,1018,908,-0.117815244813046,-0.608597033993248
GSM5628195_M48,2728,2708,-0.777308521754335,-0.797525117741028
GSM5628196_M49,2944,2920,0.0679758263287231,0.0437440084588824
GSM6412447_M36,3193,3192,-0.0658137258671907,-0.06684340718255
GSM6412448_M38,5181,4638,-0.232673153201905,-0.726214984109583
GSM6412449_M84,5979,5979,-0.390912941123372,-0.390912941123372
GSM6412450_M85,4565,4560,-0.724280565971597,-0.729726708378452
GSM6412451_M88,3286,2493,0.363085930742021,-0.458929605417955
GSM6412452_M89,3235,2923,-0.00859184261695908,-0.389747992422306
GSM6412453_M92,2404,2391,-0.35094772791946,-0.371551201292436
GSM6412454_M93,2003,1955,-0.0122475240763784,-0.0540282673116037
GSM6412455_M95,2673,2566,0.0394901050649996,0.00512777989624345
GSM6085176_AML01M4_CR,1226,368,0.720016366471428,-0.618739155716104
GSM6085177_AML01M4_P,2054,1989,-0.472580855775899,-0.636270945801253
GSM6085178_AML01M4_RE,6501,4353,0.580425941186604,-0.492096345181829
GSM6085179_AML02M5_P,2599,2577,-0.51066619293012,-0.536788461469209
GSM6085180_AML02M5_RE,8838,8806,-0.410134180149291,-0.418426953508493
GSM6085181_AML03M5_P,6806,6626,-0.371797376720776,-0.378518771106221
GSM6085182_AML03M5_RE,2478,305,0.470711191526556,-0.809288278108383
GSM6284912_TS173_04_Sample_D,9554,5618,0.652786739214057,-0.386410194110974
GSM6284913_TS173_05_Sample_E,5670,5274,-0.572826349792985,-0.825548890529557
GSM6284914_TS173_06_Sample_F,6776,6125,-0.361838469303728,-0.835349784095613
1216_Dg,2239,1818,0.0160088706306851,-0.680386866248354
1216_MRD,1789,1106,0.423297505804556,-0.830587152504186
1216_R,5447,4759,-0.0968172023417523,-0.618479933010074
1886_Dg,3089,2926,-0.533811124721644,-0.596326928600499
1886_MRD,2777,2453,-0.335383314701578,-0.664549568411959
1886_R,1705,1061,0.0973079656771683,-0.265180646418941
3822_R,452,170,0.771986501294439,-0.590945237226953
3853_Dg,1310,1309,-0.578117439929839,-0.581651473232858
3853_R,525,524,-0.715451106843128,-0.725145250444713
3904_Dg,3190,3058,-0.271756151428466,-0.407625802588163
3904_MRD,2246,2115,-0.631145446274644,-0.745333471133744
3904_R,8901,8719,-0.318015185389801,-0.380341104087279
40389_Dg,2947,2463,0.0371714066295204,-0.592268304010869
40389_MRD,3652,1359,0.768372290617935,-0.542050552724304
40389_R,5035,1738,0.756216915464862,-0.663239380899038
4978_Dg,2575,2299,-0.0213252049144925,-0.402137807561214
4978_MRD,1688,1335,0.283065335031485,-0.46016203423783
4978_R,2002,1819,0.293838294190118,0.202387273600844
5143_Dg,1091,986,-0.244376548580768,-0.692354000232708
5143_R,2059,1751,-0.0402321140187678,-0.705582177911923
5750_Dg,4026,3973,-0.344587071474133,-0.39604479521063
5750_MRD,2150,2016,-0.498358873840645,-0.65897262851519
5750_R,4876,3683,0.390115709547293,-0.389770246329055
6323_Dg,600,585,-0.713262511660125,-0.828573895957795
6323_MRD,10035,9229,-0.261906261280617,-0.480996855622314
6323_R,885,797,-0.259815817409618,-0.747944901046109
6323_R2,3621,2317,0.590149774330118,-0.488555255654716
PT10A,1223,1223,-0.179780549299102,-0.179780549299102
PT12A,393,393,-0.77805541915244,-0.77805541915244
PT13A,476,476,-0.651072639401755,-0.651072639401755
PT14A,632,632,-0.166952296624071,-0.166952296624071
PT15A,3910,3910,-0.275775300530437,-0.275775300530437
PT16A,1468,1465,-0.278285822372036,-0.286370055384439
PT17A,2339,2337,-0.493751140095873,-0.496378317447034
PT20A,991,989,-0.465952673360727,-0.469725653941017
PT21A,3357,3356,-0.636006055729244,-0.636992636073474
PT22A,1640,1639,-0.489324689615575,-0.489940685740482
PT23A,4097,4083,-0.319188607114806,-0.323027743370357
PT26A,1165,1164,-0.524697316393345,-0.527608226001713
PT27A,4988,4982,-0.385832959524722,-0.388387850068988
PT28A,7258,7256,-0.245478660264909,-0.245792799405903
PT29A,2150,2148,0.25868611919051,0.257421039785073
PT30A,604,602,-0.852228607751422,-0.859871317512676
PT32A,1700,1699,-0.6377331425407,-0.637145302983264
GSM8019212_H14_MACS,4583,508,-0.0864841814056785,-0.497472342315976
GSM8019213_H21,6192,1351,0.0293684390105592,-0.785939366660684
GSM8019214_H23,4493,619,-0.166702813129295,-0.803218281012726
GSM8019215_H24,3562,1264,-0.416630241364881,-0.664795400304396
GSM8019216_H32,3553,1944,0.101830442500133,-0.811332734246802
GSM8019217_H33,5206,3739,0.0634023818636096,-0.84508862437337
GSM8019218_H34,2968,1512,-0.238841390898918,-0.857788620000823
GSM8019219_H35,5264,2833,-0.336053595783652,-0.894404539655527
GSM8019220_H36,7731,2593,0.0902293501747781,-0.740670184030133
GSM8019221_H38,5954,2895,0.190204467347045,-0.850371233818359
GSM8019222_H39,6433,2283,0.483072057665591,-0.855564179559126
GSM8019223_H41,6057,2024,-0.100308304527369,-0.768793903554115
GSM8791432_MLL_14666,8111,7760,-0.597923099272855,-0.738401596621757
GSM8791433_MLL_16703,6978,6354,-0.245897064537871,-0.689553837406365
GSM8791434_MLL_17746,4881,4770,-0.225471080172995,-0.300989596502842
GSM8791435_MLL_17843,12268,11800,-0.337843065390839,-0.498623926140758
GSM8791436_MLL_17844,9108,9101,-0.337972450208225,-0.339468991015857
GSM8791437_MLL_28824,4189,3284,0.224902194365336,-0.468377943710136
GSM8791438_MLL_28830,4170,3936,-0.566877726575138,-0.664384164722803
GSM8791439_MLL_28855,4562,4315,0.197366695449644,0.097831822239395
GSM8791441_MLL_29532,4853,4366,-0.0185629644410209,-0.0819316540952907
GSM8791442_MLL_29538,4010,3929,-0.612887819855356,-0.661621360990491
GSM8791443_MLL_30862,2659,2659,-0.194184697621056,-0.194184697621056
GSM8791444_MLL_30886,10447,9721,-0.0837651154620154,-0.325850912549704
508084,8484,8426,-0.535803808951694,-0.565944676083704
548327,7986,7071,0.0549285364367486,-0.363638179905444
721214,12256,12140,-0.0352040468829773,-0.0634351260152691
782328,13447,13235,-0.719956303362238,-0.747762060819001
809653,13041,4280,0.653032717116906,-0.74814929199486
