sample,dataset,status,n_cells,frac_high_error,top_bin,top_bin_frac,n_stromal
AML0310,GSE185381,ok,4139,0.0031,Mono_DC,0.965,0
AML3133,GSE185381,ok,2096,0.0458,T_NK,0.598,0
Control4,GSE185381,ok,5053,0.021,Mono_DC,0.372,1
Control2,GSE185381,ok,1994,0.0105,Mono_DC,0.805,0
Control1,GSE185381,ok,2657,0.0132,Mono_DC,0.536,0
Control3,GSE185381,ok,3560,0.0424,T_NK,0.535,0
Control5,GSE185381,ok,2515,0.0274,Mono_DC,0.476,1
AML2910,GSE185381,ok,4124,0.0293,Mono_DC,0.734,0
AML3050,GSE185381,ok,1763,0.0278,Mono_DC,0.611,0
AML0361,GSE185381,ok,1215,0.0362,Mono_DC,0.797,0
PAWWEE,GSE185381,ok,505,0.1208,LMPP_GMP,0.495,1
AML2451,GSE185381,ok,2639,0.0288,Mono_DC,0.805,2
Control0004,GSE185381,ok,1209,0.0562,T_NK,0.642,0
Control0058,GSE185381,ok,5179,0.0517,T_NK,0.54,0
PAXMIJ,GSE185381,ok,932,0.0322,Mono_DC,0.756,0
PAUMTZ,GSE185381,ok,4127,0.1006,LMPP_GMP,0.59,3
AML038,GSE185381,ok,3002,0.0436,Mono_DC,0.736,0
AML008,GSE185381,ok,3579,0.0031,Mono_DC,0.951,0
AML043,GSE185381,ok,1223,0.0196,Mono_DC,0.572,0
AML028,GSE185381,ok,4038,0.0277,Mono_DC,0.85,0
AML056,GSE185381,ok,1841,0.0217,B_Plasma,0.487,0
AML073,GSE185381,ok,4481,0.0355,B_Plasma,0.343,0
AML006,GSE185381,ok,2568,0.0152,B_Plasma,0.41,0
AML025,GSE185381,ok,3237,0.0602,LMPP_GMP,0.618,0
AML003,GSE185381,ok,5385,0.0362,Mono_DC,0.799,0
AML012,GSE185381,ok,4264,0.0171,Mono_DC,0.765,1
AML005,GSE185381,ok,3646,0.0872,LMPP_GMP,0.551,0
AML055,GSE185381,ok,4760,0.0311,LMPP_GMP,0.529,1
AML048,GSE185381,ok,2068,0.0401,Mono_DC,0.56,0
AML0048,GSE185381,ok,3785,0.0328,Mono_DC,0.654,0
AML3266,GSE185381,ok,1418,0.0458,Mono_DC,0.36,0
AML022,GSE185381,ok,771,0.0376,LMPP_GMP,0.274,0
Control0082,GSE185381,ok,7108,0.0203,Mono_DC,0.437,1
AML052,GSE185381,ok,6601,0.0073,Megakaryocyte,0.782,0
AML2123,GSE185381,ok,788,0.0736,T_NK,0.352,6
Control4003,GSE185381,ok,4772,0.0289,T_NK,0.453,0
AML1371,GSE185381,ok,1510,0.0536,T_NK,0.802,0
AML4340,GSE185381,ok,2487,0.0595,T_NK,0.749,0
AML0024,GSE185381,ok,4718,0.0013,Mono_DC,0.982,0
AML4897,GSE185381,ok,2355,0.0764,T_NK,0.699,0
AML009,GSE185381,ok,2754,0.167,T_NK,0.533,0
Control0005,GSE185381,ok,3332,0.0387,Mono_DC,0.4,4
AML026,GSE185381,ok,946,0.093,Mono_DC,0.696,0
AML051,GSE185381,ok,1508,0.0239,T_NK,0.536,0
AML001,GSE185381,ok,358,0.1173,T_NK,0.302,0
AML0693,GSE185381,ok,2786,0.0517,B_Plasma,0.303,36
AML3948,GSE185381,ok,6232,0.0616,LMPP_GMP,0.687,0
AML3730,GSE185381,ok,4460,0.0291,Mono_DC,0.748,8
AML0114,GSE185381,ok,4482,0.0605,T_NK,0.294,0
GSM5628163_M03,GSE185991,ok,1248,0.1114,LMPP_GMP,0.465,0
GSM5628164_M04,GSE185991,ok,1266,0.2141,HSC_MPP,0.459,0
GSM5628167_M07,GSE185991,ok,1343,0.0774,LMPP_GMP,0.69,0
GSM5628168_M08,GSE185991,ok,1330,0.1226,HSC_MPP,0.923,0
GSM5628172_M22,GSE185991,ok,3058,0.0134,Mono_DC,0.86,0
GSM5628174_M24,GSE185991,ok,4782,0.0138,T_NK,0.976,0
GSM5628175_M25,GSE185991,ok,895,0.0939,LMPP_GMP,0.563,0
GSM5628176_M26,GSE185991,ok,1508,0.0511,LMPP_GMP,0.413,0
GSM5628177_M27,GSE185991,ok,964,0.0467,T_NK,0.876,0
GSM5628178_M28,GSE185991,ok,1992,0.0813,LMPP_GMP,0.692,0
GSM5628180_M30,GSE185991,ok,2587,0.0557,LMPP_GMP,0.397,0
GSM5628181_M31,GSE185991,ok,2155,0.1165,LMPP_GMP,0.659,8
GSM5628182_M32,GSE185991,ok,3663,0.0874,LMPP_GMP,0.345,0
GSM5628183_M33,GSE185991,ok,1907,0.0692,LMPP_GMP,0.529,0
GSM5628186_M39,GSE185991,ok,1297,0.0601,T_NK,0.837,0
GSM5628187_M40,GSE185991,ok,1906,0.0472,LMPP_GMP,0.557,0
GSM5628188_M41,GSE185991,ok,1848,0.0687,LMPP_GMP,0.72,0
GSM5628190_M43,GSE185991,ok,475,0.0968,Mono_DC,0.257,0
GSM5628191_M44,GSE185991,ok,590,0.0542,Erythroid,0.464,0
GSM5628192_M45,GSE185991,ok,1018,0.0452,HSC_MPP,0.204,0
GSM5628195_M48,GSE185991,ok,2728,0.0425,Mono_DC,0.514,1
GSM5628196_M49,GSE185991,ok,2944,0.0696,LMPP_GMP,0.562,0
GSM6412447_M36,GSE185991,ok,3193,0.2537,HSC_MPP,0.803,0
GSM6412448_M38,GSE185991,ok,5181,0.0919,HSC_MPP,0.392,3
GSM6412449_M84,GSE185991,ok,5979,0.2221,HSC_MPP,0.6,0
GSM6412450_M85,GSE185991,ok,4565,0.0889,LMPP_GMP,0.458,0
GSM6412451_M88,GSE185991,ok,3286,0.1242,LMPP_GMP,0.29,0
GSM6412452_M89,GSE185991,ok,3235,0.0918,LMPP_GMP,0.327,0
GSM6412453_M92,GSE185991,ok,2404,0.0233,Mono_DC,0.81,0
GSM6412454_M93,GSE185991,ok,2003,0.1403,LMPP_GMP,0.486,47
GSM6412455_M95,GSE185991,ok,2673,0.2716,HSC_MPP,0.556,103
GSM6085176_AML01M4_CR,GSE201966,ok,1226,0.0449,T_NK,0.701,0
GSM6085177_AML01M4_P,GSE201966,ok,2054,0.0312,Mono_DC,0.551,0
GSM6085178_AML01M4_RE,GSE201966,ok,6501,0.0563,T_NK,0.324,1
GSM6085179_AML02M5_P,GSE201966,ok,2599,0.0058,Mono_DC,0.863,0
GSM6085180_AML02M5_RE,GSE201966,ok,8838,0.0419,Erythroid,0.875,1
GSM6085181_AML03M5_P,GSE201966,ok,6806,0.0041,Mono_DC,0.933,2
GSM6085182_AML03M5_RE,GSE201966,ok,2478,0.0714,T_NK,0.884,0
GSM6284912_TS173_04_Sample_D,GSE207356,ok,9554,0.1502,T_NK,0.411,0
GSM6284913_TS173_05_Sample_E,GSE207356,ok,5670,0.1203,HSC_MPP,0.384,1
GSM6284914_TS173_06_Sample_F,GSE207356,ok,6776,0.085,Mono_DC,0.361,4
1216_Dg,GSE227903,ok,2239,0.1349,Mono_DC,0.357,32
1216_MRD,GSE227903,ok,1789,0.052,Mono_DC,0.499,0
1216_R,GSE227903,ok,5447,0.139,LMPP_GMP,0.516,27
1886_Dg,GSE227903,ok,3089,0.2273,Mono_DC,0.457,44
1886_MRD,GSE227903,ok,2777,0.0234,Mono_DC,0.775,0
1886_R,GSE227903,ok,1705,0.1331,LMPP_GMP,0.325,509
3822_R,GSE227903,ok,452,0.0553,T_NK,0.624,0
3853_Dg,GSE227903,ok,1310,0.1099,LMPP_GMP,0.628,0
3853_R,GSE227903,ok,525,0.1048,LMPP_GMP,0.602,0
3904_Dg,GSE227903,ok,3190,0.1897,LMPP_GMP,0.55,29
3904_MRD,GSE227903,ok,2246,0.0316,Mono_DC,0.764,1
3904_R,GSE227903,ok,8901,0.1086,LMPP_GMP,0.657,40
40389_Dg,GSE227903,ok,2947,0.0536,Mono_DC,0.518,9
40389_MRD,GSE227903,ok,3652,0.0665,T_NK,0.639,3
40389_R,GSE227903,ok,5035,0.0721,T_NK,0.648,18
4978_Dg,GSE227903,ok,2575,0.1138,LMPP_GMP,0.631,19
4978_MRD,GSE227903,ok,1688,0.0284,Erythroid,0.457,0
4978_R,GSE227903,ok,2002,0.3007,HSC_MPP,0.573,176
5143_Dg,GSE227903,ok,1091,0.0532,Mono_DC,0.407,0
5143_R,GSE227903,ok,2059,0.0486,LMPP_GMP,0.4,0
5750_Dg,GSE227903,ok,4026,0.0539,LMPP_GMP,0.686,0
5750_MRD,GSE227903,ok,2150,0.0372,Mono_DC,0.748,0
5750_R,GSE227903,ok,4876,0.0422,LMPP_GMP,0.486,0
6323_Dg,GSE227903,ok,600,0.0433,Mono_DC,0.403,0
6323_MRD,GSE227903,ok,10035,0.0315,Mono_DC,0.845,25
6323_R,GSE227903,ok,885,0.0508,LMPP_GMP,0.428,0
6323_R2,GSE227903,ok,3621,0.0991,T_NK,0.377,2
PT10A,GSE239721,ok,1223,0.1374,HSC_MPP,0.538,0
PT12A,GSE239721,ok,393,0.0687,Mono_DC,0.57,0
PT13A,GSE239721,ok,476,0.1303,LMPP_GMP,0.666,0
PT14A,GSE239721,ok,632,0.0506,LMPP_GMP,0.878,0
PT15A,GSE239721,ok,3910,0.1591,HSC_MPP,0.727,0
PT16A,GSE239721,ok,1468,0.1996,HSC_MPP,0.729,0
PT17A,GSE239721,ok,2339,0.1244,LMPP_GMP,0.712,1
PT20A,GSE239721,ok,991,0.1292,LMPP_GMP,0.906,1
PT21A,GSE239721,ok,3357,0.0932,LMPP_GMP,0.576,0
PT22A,GSE239721,ok,1640,0.1457,LMPP_GMP,0.426,1
PT23A,GSE239721,ok,4097,0.1486,LMPP_GMP,0.805,7
PT26A,GSE239721,ok,1165,0.1039,HSC_MPP,0.695,1
PT27A,GSE239721,ok,4988,0.1389,HSC_MPP,0.609,5
PT28A,GSE239721,ok,7258,0.1357,LMPP_GMP,0.668,1
PT29A,GSE239721,ok,2150,0.2577,HSC_MPP,0.778,0
PT30A,GSE239721,ok,604,0.0911,LMPP_GMP,0.475,1
PT32A,GSE239721,ok,1700,0.0235,Mono_DC,0.864,1
GSM8019212_H14_MACS,GSE253355,ok,4583,0.0467,Stromal,0.549,2517
GSM8019213_H21,GSE253355,ok,6192,0.015,Stromal,0.673,4169
GSM8019214_H23,GSE253355,ok,4493,0.0134,Stromal,0.702,3153
GSM8019215_H24,GSE253355,ok,3562,0.0253,B_Plasma,0.31,948
GSM8019216_H32,GSE253355,ok,3553,0.0405,Stromal,0.275,978
GSM8019217_H33,GSE253355,ok,5206,0.0574,Mono_DC,0.3,318
