field	allowed
timepoint	Healthy
timepoint	Diagnosis
timepoint	MRD
timepoint	Post_treatment
timepoint	Relapse
timepoint	Relapse2
timepoint	Unknown
disease_state	Healthy
disease_state	AML
disease_state	MDS
disease_state	Other
disease_state	Unknown
subtype	NPM1
subtype	FLT3-ITD
subtype	TP53
subtype	KMT2A-r
subtype	monocytic
subtype	complex_karyotype
subtype	other
subtype	NA
compartment	whole_marrow
compartment	niche_immune
compartment	CD34_sorted
compartment	CD117_sorted
compartment	lineage_sorted
compartment	unknown
platform	10x
platform	SeqWell
chemistry	3prime
chemistry	5prime
chemistry	NA
chemistry	unknown
