dataset,sample,hierarchy_bin,n_cells,total_counts,median_umi,mean_umi,median_genes,n_genes_detected,passes_30,chk_counts_exact,chk_cells_exact,n_cells_annotated,n_cells_after_3cond,n_cells_after_4cond,n_excluded_fine,barcode_join_frac
GSE185381,PAXMIJ,HSC_MPP,2,6964,3482,3482,1377.5,2295,FALSE,TRUE,TRUE,932,902,902,0,1
GSE185381,PAXMIJ,LMPP_GMP,88,125980,1277.5,1431.59090909091,679,9513,TRUE,TRUE,TRUE,932,902,902,0,1
GSE185381,PAXMIJ,Mono_DC,728,1075251,1212.5,1476.99313186813,717.5,14332,TRUE,TRUE,TRUE,932,902,902,0,1
GSE185381,PAXMIJ,Erythroid,6,17094,2875,2849,1250.5,4462,FALSE,TRUE,TRUE,932,902,902,0,1
GSE185381,PAXMIJ,Megakaryocyte,1,4734,4734,4734,1833,1833,FALSE,TRUE,TRUE,932,902,902,0,1
GSE185381,PAXMIJ,T_NK,32,50142,1597.5,1566.9375,779.5,7125,TRUE,TRUE,TRUE,932,902,902,0,1
GSE185381,PAXMIJ,B_Plasma,45,77879,1518,1730.64444444444,732,8130,TRUE,TRUE,TRUE,932,902,902,0,1
