dataset,sample,hierarchy_bin,n_cells,total_counts,median_umi,mean_umi,median_genes,n_genes_detected,passes_30,chk_counts_exact,chk_cells_exact,n_cells_annotated,n_cells_after_3cond,n_cells_after_4cond,n_excluded_fine,barcode_join_frac
GSE116256,AML329-D0,HSC_MPP,53,189582,2238,3577.01886792453,858,10316,TRUE,TRUE,TRUE,414,376,376,0,1
GSE116256,AML329-D0,LMPP_GMP,105,537631,4961,5120.29523809524,1598,12454,TRUE,TRUE,TRUE,414,376,376,0,1
GSE116256,AML329-D0,Mono_DC,73,225095,2465,3083.49315068493,982,10950,TRUE,TRUE,TRUE,414,376,376,0,1
GSE116256,AML329-D0,Erythroid,31,104036,2723,3356,1042,8683,TRUE,TRUE,TRUE,414,376,376,0,1
GSE116256,AML329-D0,Megakaryocyte,1,1182,1182,1182,510,510,FALSE,TRUE,TRUE,414,376,376,0,1
GSE116256,AML329-D0,T_NK,96,154954,1441.5,1614.10416666667,612.5,9868,TRUE,TRUE,TRUE,414,376,376,0,1
GSE116256,AML329-D0,B_Plasma,17,33154,1512,1950.23529411765,669,5746,FALSE,TRUE,TRUE,414,376,376,0,1
