dataset,sample,hierarchy_bin,n_cells,total_counts,median_umi,mean_umi,median_genes,n_genes_detected,passes_30,chk_counts_exact,chk_cells_exact,n_cells_annotated,n_cells_after_3cond,n_cells_after_4cond,n_excluded_fine,barcode_join_frac
GSE185381,AML2910,HSC_MPP,321,1506051,4268,4691.7476635514,1681,15008,TRUE,TRUE,TRUE,4124,4003,3875,128,1
GSE185381,AML2910,LMPP_GMP,393,1910392,4795,4861.04834605598,1784,15477,TRUE,TRUE,TRUE,4124,4003,3875,128,1
GSE185381,AML2910,Mono_DC,3051,9464541,3042,3102.11111111111,1197,19179,TRUE,TRUE,TRUE,4124,4003,3875,128,1
GSE185381,AML2910,Erythroid,6,18275,3064,3045.83333333333,1273,4222,FALSE,TRUE,TRUE,4124,4003,3875,128,1
GSE185381,AML2910,T_NK,11,15074,1287,1370.36363636364,690,3916,FALSE,TRUE,TRUE,4124,4003,3875,128,1
GSE185381,AML2910,B_Plasma,93,209435,1948,2251.98924731183,935,10997,TRUE,TRUE,TRUE,4124,4003,3875,128,1
