dataset,sample,hierarchy_bin,n_cells,total_counts,median_umi,mean_umi,median_genes,n_genes_detected,passes_30,chk_counts_exact,chk_cells_exact,n_cells_annotated,n_cells_after_3cond,n_cells_after_4cond,n_excluded_fine,barcode_join_frac
GSE185381,Control0082,HSC_MPP,2,6117,3058.5,3058.5,1005.5,1720,FALSE,TRUE,TRUE,7108,6940,6937,3,1
GSE185381,Control0082,LMPP_GMP,10,18308,1178,1830.8,654.5,4080,FALSE,TRUE,TRUE,7108,6940,6937,3,1
GSE185381,Control0082,Mono_DC,3193,5983932,1772,1874.0782962731,815,18228,TRUE,TRUE,TRUE,7108,6940,6937,3,1
GSE185381,Control0082,Erythroid,3,12768,4508,4256,1390,2744,FALSE,TRUE,TRUE,7108,6940,6937,3,1
GSE185381,Control0082,Megakaryocyte,9,13692,1399,1521.33333333333,667,3303,FALSE,TRUE,TRUE,7108,6940,6937,3,1
GSE185381,Control0082,T_NK,1104,1455374,1256,1318.27355072464,629,15969,TRUE,TRUE,TRUE,7108,6940,6937,3,1
GSE185381,Control0082,B_Plasma,2616,3692727,1342,1411.59288990826,580,18092,TRUE,TRUE,TRUE,7108,6940,6937,3,1
