dataset,sample,hierarchy_bin,n_cells,total_counts,median_umi,mean_umi,median_genes,n_genes_detected,passes_30,chk_counts_exact,chk_cells_exact,n_cells_annotated,n_cells_after_3cond,n_cells_after_4cond,n_excluded_fine,barcode_join_frac
GSE185381,AML3266,HSC_MPP,1,7117,7117,7117,2436,2436,FALSE,TRUE,TRUE,1418,1353,1346,7,1
GSE185381,AML3266,LMPP_GMP,257,2675339,10148,10409.8793774319,2779,16684,TRUE,TRUE,TRUE,1418,1353,1346,7,1
GSE185381,AML3266,Mono_DC,667,5389071,7448,8079.56671664168,2348,19302,TRUE,TRUE,TRUE,1418,1353,1346,7,1
GSE185381,AML3266,Erythroid,10,38352,3685,3835.2,724.5,3513,FALSE,TRUE,TRUE,1418,1353,1346,7,1
GSE185381,AML3266,T_NK,355,1710081,4562,4817.12957746479,1563,15090,TRUE,TRUE,TRUE,1418,1353,1346,7,1
GSE185381,AML3266,B_Plasma,56,389025,5867.5,6946.875,1404.5,11419,TRUE,TRUE,TRUE,1418,1353,1346,7,1
