gene,pair_id,v_wt,v_mut,dir,pairs_higher,n_pairs,p_sample_higher,frac_p05
VSIG4,6,0.118253647742052,0.0175071838819867,lower in TP53-mut,6,9,0.1796875,0.448
VSIG4,7,0.000580037565098975,0.0016964439944939,higher in TP53-mut,6,9,0.1796875,0.448
VSIG4,8,0.00514643791032813,0.00438264847155163,lower in TP53-mut,6,9,0.1796875,0.448
VSIG4,9,0.000247289317714213,0.00160821483825417,higher in TP53-mut,6,9,0.1796875,0.448
CD163,1,0,0.172646514463373,higher in TP53-mut,6,9,0.41015625,0
CD163,2,0.0320755452514565,0,lower in TP53-mut,6,9,0.41015625,0
CD163,3,0.00422338918585787,0.0219776613949466,higher in TP53-mut,6,9,0.41015625,0
CD163,4,0,0.00601799180159375,higher in TP53-mut,6,9,0.41015625,0
CD163,5,0.0851292714927075,0.00861032322011359,lower in TP53-mut,6,9,0.41015625,0
CD163,6,0.254717660819806,0.0377163849191138,lower in TP53-mut,6,9,0.41015625,0
CD163,7,0.000232268503763331,0.00404504238012145,higher in TP53-mut,6,9,0.41015625,0
CD163,8,0.00145820213557508,0.0368101979352909,higher in TP53-mut,6,9,0.41015625,0
CD163,9,0.0244145025494048,0.0807464206748817,higher in TP53-mut,6,9,0.41015625,0
SELENOP,1,0.00299559512170425,0.146259556272424,higher in TP53-mut,4,9,0.80859375,0.022
SELENOP,2,0.0203805346939337,0.0804878215309473,higher in TP53-mut,4,9,0.80859375,0.022
SELENOP,3,0.00993527875089197,0.0233605053520349,higher in TP53-mut,4,9,0.80859375,0.022
SELENOP,4,0.116375079136462,0.0300751157658075,lower in TP53-mut,4,9,0.80859375,0.022
SELENOP,5,0.0555807582830455,0.130544853959548,higher in TP53-mut,4,9,0.80859375,0.022
SELENOP,6,0,0,no change,4,9,0.80859375,0.022
SELENOP,7,0.613461662124737,0.538116846529672,lower in TP53-mut,4,9,0.80859375,0.022
SELENOP,8,0.504235745200352,0.073615667384333,lower in TP53-mut,4,9,0.80859375,0.022
SELENOP,9,0.732682230949206,0.0114735229900422,lower in TP53-mut,4,9,0.80859375,0.022
STAB1,1,0.0171501641503394,0.158644443037693,higher in TP53-mut,2,9,0.962890625,0.004
STAB1,2,0.139978365386203,0.101812337330344,lower in TP53-mut,2,9,0.962890625,0.004
STAB1,3,0.041158871872124,0.0242734081107242,lower in TP53-mut,2,9,0.962890625,0.004
STAB1,4,0,0.00449627320726742,higher in TP53-mut,2,9,0.962890625,0.004
STAB1,5,0.0902215180471095,0.0646176696461059,lower in TP53-mut,2,9,0.962890625,0.004
STAB1,6,0.476959807256947,0.144831477523798,lower in TP53-mut,2,9,0.962890625,0.004
STAB1,7,0.248028209795847,0.130320441106403,lower in TP53-mut,2,9,0.962890625,0.004
STAB1,8,0.374904558888446,0.115021919045875,lower in TP53-mut,2,9,0.962890625,0.004
STAB1,9,0.0647283599278772,0.0369273260210449,lower in TP53-mut,2,9,0.962890625,0.004
