dataset,sample,rds,timepoint,uid_patient,study,is_healthy_donor,timepoint_raw,timepoint_was_fixed,in_selection,dataset_role,in_primary_contrast,n_ccc_cells,is_patient_representative
GSE185381,GSM5613766_2020-03-18-AML0048-c1,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613766_2020-03-18-AML0048-c1.rds,Diagnosis,GSE185381:AML0048-c1,Lasry 2023 Nat Cancer,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,1752,TRUE
GSE185381,GSM5613767_2020-03-18-AML0048-c2,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613767_2020-03-18-AML0048-c2.rds,Diagnosis,GSE185381:AML0048-c2,Lasry 2023 Nat Cancer,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,1851,TRUE
GSE185381,GSM5613800_2021-04-29-0102_cDNA,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613800_2021-04-29-0102_cDNA.rds,Diagnosis,GSE185381:AML0102,Lasry 2023 Nat Cancer,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,1394,TRUE
GSE185381,GSM5613788_2021-03-09-Z-1-1,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613788_2021-03-09-Z-1-1.rds,Diagnosis,GSE185381:AML0114a,Lasry 2023 Nat Cancer,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,716,TRUE
GSE185381,GSM5613789_2021-03-09-Z-1-2,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613789_2021-03-09-Z-1-2.rds,Diagnosis,GSE185381:AML0114b,Lasry 2023 Nat Cancer,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,820,TRUE
GSE185381,GSM5613790_2021-03-09-Z-1-3,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613790_2021-03-09-Z-1-3.rds,Diagnosis,GSE185381:AML0114c,Lasry 2023 Nat Cancer,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,1456,TRUE
GSE185381,GSM5613764_2020-01-03-count-1,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613764_2020-01-03-count-1.rds,Diagnosis,GSE185381:AML012_AML005_AML055_AML048a,Lasry 2023 Nat Cancer,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,6592,TRUE
GSE185381,GSM5613801_2021-04-29-0134_cDNA,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613801_2021-04-29-0134_cDNA.rds,Diagnosis,GSE185381:AML0134,Lasry 2023 Nat Cancer,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,1197,TRUE
GSE185381,GSM5613782_2020-10-06-count4_0.95,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613782_2020-10-06-count4_0.95.rds,Diagnosis,GSE185381:AML026_AML051,Lasry 2023 Nat Cancer,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,2287,TRUE
GSE185381,GSM5613761_2019-11-19-count-2,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613761_2019-11-19-count-2.rds,Diagnosis,GSE185381:AML028,Lasry 2023 Nat Cancer,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,6778,TRUE
