dataset,sample,n_cells,COL1A1,CXCL12,DCN,LUM,screen_max,timepoint,uid_patient,library_type,screened_in
GSE253355,GSM8019220_H36,8097,2827,4195,2832,2723,4195,Healthy,GSE253355:H36,stroma_enriched,TRUE
GSE253355,GSM8019223_H41,6710,2932,3807,2868,2732,3807,Healthy,GSE253355:H41,stroma_enriched,TRUE
GSE253355,GSM8019213_H21,6785,3239,3111,3647,3388,3647,Healthy,GSE253355:H21,stroma_enriched,TRUE
GSE253355,GSM8019214_H23,5113,2271,1702,3044,2708,3044,Healthy,GSE253355:H23,stroma_enriched,TRUE
GSE253355,GSM8019212_H14_MACS,4958,2037,2921,2436,2181,2921,Healthy,GSE253355:H14_MACS,stroma_enriched,TRUE
Chen2023,AML304_Niche_Immune,5574,901,2688,1808,1673,2688,Diagnosis,Chen2023:AML304,stroma_enriched,TRUE
GSE253355,GSM8019222_H39,7253,1387,2336,1522,1331,2336,Healthy,GSE253355:H39,stroma_enriched,TRUE
Chen2023,AML320_NICHE_IMMUNE,7100,1466,2114,1698,1603,2114,Diagnosis,Chen2023:AML320,stroma_enriched,TRUE
GSE253355,GSM8019221_H38,6294,1190,1782,1250,1046,1782,Healthy,GSE253355:H38,stroma_enriched,TRUE
Chen2023,NBM1_Niche_Immune,5179,285,1138,839,730,1138,Healthy,Chen2023:NBM1,stroma_enriched,TRUE
GSE253355,GSM8019216_H32,3689,707,899,689,669,899,Healthy,GSE253355:H32,stroma_enriched,TRUE
GSE253355,GSM8019219_H35,5724,620,889,612,512,889,Healthy,GSE253355:H35,stroma_enriched,TRUE
GSE253355,GSM8019215_H24,3977,752,750,808,650,808,Healthy,GSE253355:H24,stroma_enriched,TRUE
Chen2023,NBM2_Niche_Immune,2271,260,791,471,420,791,Healthy,Chen2023:NBM2,stroma_enriched,TRUE
Chen2023,AML103_Niche_Immune,1234,423,646,487,447,646,Diagnosis,Chen2023:AML103,stroma_enriched,TRUE
Chen2023,NBM3_Niche_immune,3639,139,616,428,400,616,Healthy,Chen2023:NBM3,stroma_enriched,TRUE
