min_fibro,max_haem,fpr_sorted,rate_enrich,rate_wholeMNC,n_hit_sorted,fp_per_10k_sorted,acceptable
3,2,8.50316034126017e-05,0.278202399864121,0.000279865664481049,12,0.850316034126017,TRUE
4,2,8.50316034126017e-05,0.256251935777158,0.000249880057572365,12,0.850316034126017,TRUE
2,1,9.21175703636518e-05,0.243083655546564,0.000349832080601311,13,0.921175703636518,TRUE
5,2,8.50316034126017e-05,0.239047247949325,0.000229889652966576,12,0.850316034126017,TRUE
3,1,7.79456364615515e-05,0.224090559402132,0.000194906444906445,11,0.779456364615515,TRUE
4,1,7.79456364615515e-05,0.208734226538381,0.000194906444906445,11,0.779456364615515,TRUE
5,1,7.79456364615515e-05,0.195815724005635,0.000174916040300656,11,0.779456364615515,TRUE
2,0,4.25158017063008e-05,0.102209033959776,0.000134935231089077,6,0.425158017063008,TRUE
3,0,4.25158017063008e-05,0.0956149027365645,0.000124940028786183,6,0.425158017063008,TRUE
4,0,4.25158017063008e-05,0.0890907092687508,0.000124940028786183,6,0.425158017063008,TRUE
5,0,4.25158017063008e-05,0.082846266822528,0.000109947225331841,6,0.425158017063008,TRUE
2,2,0.000148805305972053,0.308195705821819,0.000829601791140253,21,1.48805305972053,FALSE
