dataset,sample,pathway,score,pair_id,arm,family,short,arm_s
GSE227903,6323_R,HALLMARK_INFLAMMATORY_RESPONSE_UCell,0.0510669429504772,8,TP53-mut,Inflammatory response,INFLAMMATORY RESPONSE,mut
GSE227903,6323_R,HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell,0.107020704864165,8,TP53-mut,Inflammatory response,"TNFA SIGNALING VIA
NFKB",mut
GSE227903,6323_R,HALLMARK_IL6_JAK_STAT3_SIGNALING_UCell,0.060901338848513,8,TP53-mut,Inflammatory response,"IL6 JAK STAT3
SIGNALING",mut
GSE289435,GSM8791434_MLL_17746,HALLMARK_TGF_BETA_SIGNALING_UCell,0.0752570757200165,9,TP53-WT,TGF-beta signalling,TGF BETA SIGNALING,WT
GSE289435,GSM8791434_MLL_17746,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS_UCell,0.074604774523298,9,TP53-WT,TGF-beta signalling,"SIGNALING BY TGFB
FAMILY MEMBERS",WT
GSE289435,GSM8791434_MLL_17746,KEGG_TGF_BETA_SIGNALING_PATHWAY_UCell,0.0358288682175206,9,TP53-WT,TGF-beta signalling,"TGF BETA SIGNALING
PATHWAY",WT
GSE289435,GSM8791434_MLL_17746,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION_UCell,0.0330944942491322,9,TP53-WT,ECM organisation / receptor,"EXTRACELLULAR MATRIX
ORGANIZATION",WT
GSE289435,GSM8791434_MLL_17746,KEGG_ECM_RECEPTOR_INTERACTION_UCell,0.0141861291711543,9,TP53-WT,ECM organisation / receptor,"ECM RECEPTOR
INTERACTION",WT
GSE289435,GSM8791434_MLL_17746,REACTOME_COLLAGEN_FORMATION_UCell,0.0193818444882959,9,TP53-WT,ECM organisation / receptor,COLLAGEN FORMATION,WT
GSE289435,GSM8791434_MLL_17746,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION_UCell,0.0484889167225135,9,TP53-WT,EMT,"EPITHELIAL
MESENCHYMAL
TRANSITION",WT
GSE289435,GSM8791434_MLL_17746,HALLMARK_HYPOXIA_UCell,0.0905563103427459,9,TP53-WT,Hypoxia,HYPOXIA,WT
GSE289435,GSM8791434_MLL_17746,HALLMARK_INFLAMMATORY_RESPONSE_UCell,0.0522447987607939,9,TP53-WT,Inflammatory response,INFLAMMATORY RESPONSE,WT
GSE289435,GSM8791434_MLL_17746,HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell,0.112657958021501,9,TP53-WT,Inflammatory response,"TNFA SIGNALING VIA
NFKB",WT
GSE289435,GSM8791434_MLL_17746,HALLMARK_IL6_JAK_STAT3_SIGNALING_UCell,0.0398216703890288,9,TP53-WT,Inflammatory response,"IL6 JAK STAT3
SIGNALING",WT
GSE289435,GSM8791438_MLL_28830,HALLMARK_TGF_BETA_SIGNALING_UCell,0.0726760801517689,9,TP53-mut,TGF-beta signalling,TGF BETA SIGNALING,mut
GSE289435,GSM8791438_MLL_28830,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS_UCell,0.0669727279134687,9,TP53-mut,TGF-beta signalling,"SIGNALING BY TGFB
FAMILY MEMBERS",mut
GSE289435,GSM8791438_MLL_28830,KEGG_TGF_BETA_SIGNALING_PATHWAY_UCell,0.0291176536814049,9,TP53-mut,TGF-beta signalling,"TGF BETA SIGNALING
PATHWAY",mut
GSE289435,GSM8791438_MLL_28830,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION_UCell,0.03124663476968,9,TP53-mut,ECM organisation / receptor,"EXTRACELLULAR MATRIX
ORGANIZATION",mut
GSE289435,GSM8791438_MLL_28830,KEGG_ECM_RECEPTOR_INTERACTION_UCell,0.0117030843343059,9,TP53-mut,ECM organisation / receptor,"ECM RECEPTOR
INTERACTION",mut
GSE289435,GSM8791438_MLL_28830,REACTOME_COLLAGEN_FORMATION_UCell,0.0195217114711498,9,TP53-mut,ECM organisation / receptor,COLLAGEN FORMATION,mut
GSE289435,GSM8791438_MLL_28830,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION_UCell,0.0467386769227053,9,TP53-mut,EMT,"EPITHELIAL
MESENCHYMAL
TRANSITION",mut
GSE289435,GSM8791438_MLL_28830,HALLMARK_HYPOXIA_UCell,0.0815910596802696,9,TP53-mut,Hypoxia,HYPOXIA,mut
GSE289435,GSM8791438_MLL_28830,HALLMARK_INFLAMMATORY_RESPONSE_UCell,0.0603038292353724,9,TP53-mut,Inflammatory response,INFLAMMATORY RESPONSE,mut
GSE289435,GSM8791438_MLL_28830,HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell,0.112631227736343,9,TP53-mut,Inflammatory response,"TNFA SIGNALING VIA
NFKB",mut
GSE289435,GSM8791438_MLL_28830,HALLMARK_IL6_JAK_STAT3_SIGNALING_UCell,0.056875836588778,9,TP53-mut,Inflammatory response,"IL6 JAK STAT3
SIGNALING",mut
Petti2019,782328,HALLMARK_TGF_BETA_SIGNALING_UCell,0.0948233502717433,6,TP53-WT,TGF-beta signalling,TGF BETA SIGNALING,WT
Petti2019,782328,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS_UCell,0.0819537409871059,6,TP53-WT,TGF-beta signalling,"SIGNALING BY TGFB
FAMILY MEMBERS",WT
Petti2019,782328,KEGG_TGF_BETA_SIGNALING_PATHWAY_UCell,0.0367331761576546,6,TP53-WT,TGF-beta signalling,"TGF BETA SIGNALING
PATHWAY",WT
Petti2019,782328,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION_UCell,0.0371868935923092,6,TP53-WT,ECM organisation / receptor,"EXTRACELLULAR MATRIX
ORGANIZATION",WT
Petti2019,782328,KEGG_ECM_RECEPTOR_INTERACTION_UCell,0.0166548620412011,6,TP53-WT,ECM organisation / receptor,"ECM RECEPTOR
INTERACTION",WT
Petti2019,782328,REACTOME_COLLAGEN_FORMATION_UCell,0.0274724991153832,6,TP53-WT,ECM organisation / receptor,COLLAGEN FORMATION,WT
Petti2019,782328,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION_UCell,0.0505121234214226,6,TP53-WT,EMT,"EPITHELIAL
MESENCHYMAL
TRANSITION",WT
Petti2019,782328,HALLMARK_HYPOXIA_UCell,0.0870555539517537,6,TP53-WT,Hypoxia,HYPOXIA,WT
Petti2019,782328,HALLMARK_INFLAMMATORY_RESPONSE_UCell,0.0619625479477798,6,TP53-WT,Inflammatory response,INFLAMMATORY RESPONSE,WT
Petti2019,782328,HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell,0.103290934354219,6,TP53-WT,Inflammatory response,"TNFA SIGNALING VIA
NFKB",WT
Petti2019,782328,HALLMARK_IL6_JAK_STAT3_SIGNALING_UCell,0.071846100892982,6,TP53-WT,Inflammatory response,"IL6 JAK STAT3
SIGNALING",WT
Petti2019,809653,HALLMARK_TGF_BETA_SIGNALING_UCell,0.0779064897612832,6,TP53-mut,TGF-beta signalling,TGF BETA SIGNALING,mut
Petti2019,809653,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS_UCell,0.0752208951412964,6,TP53-mut,TGF-beta signalling,"SIGNALING BY TGFB
FAMILY MEMBERS",mut
Petti2019,809653,KEGG_TGF_BETA_SIGNALING_PATHWAY_UCell,0.0364201094694699,6,TP53-mut,TGF-beta signalling,"TGF BETA SIGNALING
PATHWAY",mut
Petti2019,809653,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION_UCell,0.0283491603054211,6,TP53-mut,ECM organisation / receptor,"EXTRACELLULAR MATRIX
ORGANIZATION",mut
Petti2019,809653,KEGG_ECM_RECEPTOR_INTERACTION_UCell,0.015960817296871,6,TP53-mut,ECM organisation / receptor,"ECM RECEPTOR
INTERACTION",mut
Petti2019,809653,REACTOME_COLLAGEN_FORMATION_UCell,0.0171969269007334,6,TP53-mut,ECM organisation / receptor,COLLAGEN FORMATION,mut
Petti2019,809653,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION_UCell,0.0354413575139168,6,TP53-mut,EMT,"EPITHELIAL
MESENCHYMAL
TRANSITION",mut
Petti2019,809653,HALLMARK_HYPOXIA_UCell,0.0816193121069443,6,TP53-mut,Hypoxia,HYPOXIA,mut
Petti2019,809653,HALLMARK_INFLAMMATORY_RESPONSE_UCell,0.0574588219584055,6,TP53-mut,Inflammatory response,INFLAMMATORY RESPONSE,mut
Petti2019,809653,HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell,0.0863947156375025,6,TP53-mut,Inflammatory response,"TNFA SIGNALING VIA
NFKB",mut
Petti2019,809653,HALLMARK_IL6_JAK_STAT3_SIGNALING_UCell,0.061483877556139,6,TP53-mut,Inflammatory response,"IL6 JAK STAT3
SIGNALING",mut
