dataset,sample,pathway,score,pair_id,arm,family,short,arm_s
GSE116256,AML328-D29,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS_UCell,0.0722138957099523,5,TP53-mut,TGF-beta signalling,"SIGNALING BY TGFB
FAMILY MEMBERS",mut
GSE116256,AML328-D29,KEGG_TGF_BETA_SIGNALING_PATHWAY_UCell,0.0377469658866828,5,TP53-mut,TGF-beta signalling,"TGF BETA SIGNALING
PATHWAY",mut
GSE116256,AML328-D29,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION_UCell,0.0210402778844118,5,TP53-mut,ECM organisation / receptor,"EXTRACELLULAR MATRIX
ORGANIZATION",mut
GSE116256,AML328-D29,KEGG_ECM_RECEPTOR_INTERACTION_UCell,0.0201888001306869,5,TP53-mut,ECM organisation / receptor,"ECM RECEPTOR
INTERACTION",mut
GSE116256,AML328-D29,REACTOME_COLLAGEN_FORMATION_UCell,0.0109403002177151,5,TP53-mut,ECM organisation / receptor,COLLAGEN FORMATION,mut
GSE116256,AML328-D29,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION_UCell,0.0218622579492676,5,TP53-mut,EMT,"EPITHELIAL
MESENCHYMAL
TRANSITION",mut
GSE116256,AML328-D29,HALLMARK_HYPOXIA_UCell,0.0515228553054662,5,TP53-mut,Hypoxia,HYPOXIA,mut
GSE116256,AML328-D29,HALLMARK_INFLAMMATORY_RESPONSE_UCell,0.0319779992854591,5,TP53-mut,Inflammatory response,INFLAMMATORY RESPONSE,mut
GSE116256,AML328-D29,HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell,0.0431854962486602,5,TP53-mut,Inflammatory response,"TNFA SIGNALING VIA
NFKB",mut
GSE116256,AML328-D29,HALLMARK_IL6_JAK_STAT3_SIGNALING_UCell,0.0436104111405836,5,TP53-mut,Inflammatory response,"IL6 JAK STAT3
SIGNALING",mut
GSE116256,AML420B-D14,HALLMARK_TGF_BETA_SIGNALING_UCell,0.0510001666553373,4,TP53-WT,TGF-beta signalling,TGF BETA SIGNALING,WT
GSE116256,AML420B-D14,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS_UCell,0.0553697256554486,4,TP53-WT,TGF-beta signalling,"SIGNALING BY TGFB
FAMILY MEMBERS",WT
GSE116256,AML420B-D14,KEGG_TGF_BETA_SIGNALING_PATHWAY_UCell,0.0333334490849672,4,TP53-WT,TGF-beta signalling,"TGF BETA SIGNALING
PATHWAY",WT
GSE116256,AML420B-D14,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION_UCell,0.0192023469927796,4,TP53-WT,ECM organisation / receptor,"EXTRACELLULAR MATRIX
ORGANIZATION",WT
GSE116256,AML420B-D14,KEGG_ECM_RECEPTOR_INTERACTION_UCell,0.0186088277762655,4,TP53-WT,ECM organisation / receptor,"ECM RECEPTOR
INTERACTION",WT
GSE116256,AML420B-D14,REACTOME_COLLAGEN_FORMATION_UCell,0.0127024195755821,4,TP53-WT,ECM organisation / receptor,COLLAGEN FORMATION,WT
GSE116256,AML420B-D14,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION_UCell,0.0247797682845914,4,TP53-WT,EMT,"EPITHELIAL
MESENCHYMAL
TRANSITION",WT
GSE116256,AML420B-D14,HALLMARK_HYPOXIA_UCell,0.0474233201623181,4,TP53-WT,Hypoxia,HYPOXIA,WT
GSE116256,AML420B-D14,HALLMARK_INFLAMMATORY_RESPONSE_UCell,0.0342694200106496,4,TP53-WT,Inflammatory response,INFLAMMATORY RESPONSE,WT
GSE116256,AML420B-D14,HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell,0.045998287158603,4,TP53-WT,Inflammatory response,"TNFA SIGNALING VIA
NFKB",WT
GSE116256,AML420B-D14,HALLMARK_IL6_JAK_STAT3_SIGNALING_UCell,0.0420565181118174,4,TP53-WT,Inflammatory response,"IL6 JAK STAT3
SIGNALING",WT
GSE116256,AML556-D0,HALLMARK_TGF_BETA_SIGNALING_UCell,0.0716875012290972,2,TP53-WT,TGF-beta signalling,TGF BETA SIGNALING,WT
GSE116256,AML556-D0,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS_UCell,0.0658597821677412,2,TP53-WT,TGF-beta signalling,"SIGNALING BY TGFB
FAMILY MEMBERS",WT
GSE116256,AML556-D0,KEGG_TGF_BETA_SIGNALING_PATHWAY_UCell,0.0323523250558434,2,TP53-WT,TGF-beta signalling,"TGF BETA SIGNALING
PATHWAY",WT
GSE116256,AML556-D0,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION_UCell,0.0331319754920154,2,TP53-WT,ECM organisation / receptor,"EXTRACELLULAR MATRIX
ORGANIZATION",WT
GSE116256,AML556-D0,KEGG_ECM_RECEPTOR_INTERACTION_UCell,0.0173301167236477,2,TP53-WT,ECM organisation / receptor,"ECM RECEPTOR
INTERACTION",WT
GSE116256,AML556-D0,REACTOME_COLLAGEN_FORMATION_UCell,0.0227210783931307,2,TP53-WT,ECM organisation / receptor,COLLAGEN FORMATION,WT
GSE116256,AML556-D0,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION_UCell,0.0427962045646933,2,TP53-WT,EMT,"EPITHELIAL
MESENCHYMAL
TRANSITION",WT
GSE116256,AML556-D0,HALLMARK_HYPOXIA_UCell,0.0826516399265596,2,TP53-WT,Hypoxia,HYPOXIA,WT
GSE116256,AML556-D0,HALLMARK_INFLAMMATORY_RESPONSE_UCell,0.0464026785168264,2,TP53-WT,Inflammatory response,INFLAMMATORY RESPONSE,WT
GSE116256,AML556-D0,HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell,0.0936424895267339,2,TP53-WT,Inflammatory response,"TNFA SIGNALING VIA
NFKB",WT
GSE116256,AML556-D0,HALLMARK_IL6_JAK_STAT3_SIGNALING_UCell,0.0497331884339274,2,TP53-WT,Inflammatory response,"IL6 JAK STAT3
SIGNALING",WT
GSE116256,AML556-D31,HALLMARK_TGF_BETA_SIGNALING_UCell,0.0701089177869092,5,TP53-WT,TGF-beta signalling,TGF BETA SIGNALING,WT
GSE116256,AML556-D31,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS_UCell,0.063926323459174,5,TP53-WT,TGF-beta signalling,"SIGNALING BY TGFB
FAMILY MEMBERS",WT
GSE116256,AML556-D31,KEGG_TGF_BETA_SIGNALING_PATHWAY_UCell,0.0358357374823713,5,TP53-WT,TGF-beta signalling,"TGF BETA SIGNALING
PATHWAY",WT
