dataset,sample,pair_id,arm,n_cells,median_nFeature,min_nFeature,max_nFeature,median_nCount,median_pct_mt,median_pct_ribo,median_pct_hb,n_cells_ingest,pct_kept
GSE116256,AML328-D0,1,TP53-mut,569,876,501,2789,1857,1.31578947368421,21.7410915651782,0,1094,52.0109689213894
GSE116256,AML328-D113,3,TP53-mut,1564,724,500,1739,1722.5,0.648250463922892,35.3468239025838,0,2029,77.0823065549532
GSE116256,AML328-D171,4,TP53-mut,904,670.5,500,1658,1437.5,0.77114283222374,33.9261989118056,0,1402,64.4793152639087
GSE116256,AML328-D29,5,TP53-mut,1195,1171,504,4411,2333,0.663050030138638,26.8086995117621,0,1880,63.5638297872341
GSE116256,AML420B-D14,4,TP53-WT,894,693,501,2118,1427.5,0.676593939581943,23.9377729924555,0,1282,69.7347893915757
GSE116256,AML556-D0,2,TP53-WT,1480,921,503,3198,2082,1.2842828358502,13.9753103490659,0,2328,63.573883161512
GSE116256,AML556-D31,5,TP53-WT,1042,893,501,3065,2245.5,1.08454466692337,20.822249917333,0.0683526999316473,1451,71.8125430737423
GSE116256,AML707B-D0,1,TP53-WT,1152,1008,500,3165,2318,1.27772852293676,31.5789473684211,0,1586,72.6355611601513
GSE116256,AML707B-D18,3,TP53-WT,1329,674,500,1623,1561,0.818677986658581,36.0426929392447,0,1673,79.4381350866707
GSE116256,AML916-D0,2,TP53-mut,622,829,518,2085,1614,0.778032199578403,29.5920908073476,0,933,66.6666666666667
GSE227903,1886_R,7,TP53-mut,1655,4258,1073,8352,23987,3.53253652058433,38.4506041222459,0.0554197229013855,2099,78.8470700333492
GSE227903,3853_R,8,TP53-WT,511,4390,2287,6549,17977,9.6888052238367,29.4900778698819,0,627,81.4992025518341
GSE227903,4978_R,7,TP53-WT,1947,4423,1985,7567,19913,5.72509457755359,29.0870275859769,0,2457,79.2429792429793
GSE227903,6323_R,8,TP53-mut,864,3163,794,6594,12033,9.14736428299915,31.0368924604903,0.0241524016764536,1128,76.5957446808511
GSE289435,GSM8791434_MLL_17746,9,TP53-WT,4670,1301,354,3808,2773,4.85601943300561,22.5244173128475,0,9848,47.4207961007311
GSE289435,GSM8791438_MLL_28830,9,TP53-mut,3968,1012.5,268,4065,2663,6.64727947242607,22.7258732482417,0,10017,39.612658480583
Petti2019,782328,6,TP53-WT,12813,1667,586,5168,4514,6.86841210472628,22.6147614761476,0,21038,60.9040783344424
Petti2019,809653,6,TP53-mut,12340,1376,227,6322,3708,3.14060446167361,32.9372533199862,0.0451263629800913,21731,56.7852376788919
