feature,median_p,min_p,frac_p05,frac_p01,n_draws_evaluable,kind,design,mut_def,n_mut_units,n_wt_candidates
DCN,0.5,0.1875,0,0,483,gene,A_sample_strict,strict,9,96
ELN,0.5,0.0625,0,0,500,gene,A_sample_strict,strict,9,96
EMCN,0.232421875,0.015625,0.038,0,500,gene,A_sample_strict,strict,9,96
EPAS1,0.212890625,0.02734375,0.068,0,500,gene,A_sample_strict,strict,9,96
FAP,0.84375,0.3125,0,0,500,gene,A_sample_strict,strict,9,96
FBN1,0.212890625,0.001953125,0.144,0.024,500,gene,A_sample_strict,strict,9,96
FCN1,0.544921875,0.08203125,0,0,500,gene,A_sample_strict,strict,9,96
FGF2,0.8203125,0.58984375,0,0,500,gene,A_sample_strict,strict,9,96
FN1,0.1015625,0.02734375,0.178,0,500,gene,A_sample_strict,strict,9,96
GATA1,0.326171875,0.048828125,0.006,0,500,gene,A_sample_strict,strict,9,96
GP9,0.048828125,0.001953125,0.506,0.108,500,gene,A_sample_strict,strict,9,96
GREM1,0.5,0.125,0,0,500,gene,A_sample_strict,strict,9,96
HGF,0.875,0.544921875,0,0,500,gene,A_sample_strict,strict,9,96
HIF1A,0.751953125,0.1796875,0,0,500,gene,A_sample_strict,strict,9,96
IFNG,0.212890625,0.00390625,0.162,0.022,500,gene,A_sample_strict,strict,9,96
IGF1,0.9453125,0.6328125,0,0,500,gene,A_sample_strict,strict,9,96
IGF2,0.8984375,0.7109375,0,0,500,gene,A_sample_strict,strict,9,96
IL10,0.544921875,0.1015625,0,0,500,gene,A_sample_strict,strict,9,96
IL11,0.150390625,0.001953125,0.152,0.04,500,gene,A_sample_strict,strict,9,96
IL18,0.455078125,0.048828125,0.006,0,500,gene,A_sample_strict,strict,9,96
IL1B,0.125,0.001953125,0.256,0.082,500,gene,A_sample_strict,strict,9,96
IL6,0.578125,0.21875,0,0,500,gene,A_sample_strict,strict,9,96
ITGA2B,0.41015625,0.064453125,0,0,500,gene,A_sample_strict,strict,9,96
JAK2,0.8203125,0.248046875,0,0,500,gene,A_sample_strict,strict,9,96
KITLG,0.890625,0.65625,0,0,500,gene,A_sample_strict,strict,9,96
LDHA,0.6328125,0.1015625,0,0,500,gene,A_sample_strict,strict,9,96
LEPR,0.962890625,0.544921875,0,0,500,gene,A_sample_strict,strict,9,96
LOX,0.048828125,0.005859375,0.616,0.166,500,gene,A_sample_strict,strict,9,96
LOXL1,0.15625,0.015625,0.174,0,500,gene,A_sample_strict,strict,9,96
LOXL2,0.150390625,0.037109375,0.068,0,500,gene,A_sample_strict,strict,9,96
