feature,median_p,min_p,frac_p05,frac_p01,n_draws_evaluable,kind,design,mut_def,n_mut_units,n_wt_candidates
COL5A1,0.088134765625,0.000244140625,0.36,0.11,500,gene,C_sample_broad,broad,14,96
COL5A2,0.2708740234375,0.001220703125,0.102,0.012,500,gene,C_sample_broad,broad,14,96
COL6A1,0.6044921875,0.07568359375,0,0,500,gene,C_sample_broad,broad,14,96
COL6A2,0.454833984375,0.013427734375,0.004,0,500,gene,C_sample_broad,broad,14,96
COL6A3,0.79345703125,0.2119140625,0,0,500,gene,C_sample_broad,broad,14,96
CSF3R,0.3934326171875,0.047119140625,0.004,0,500,gene,C_sample_broad,broad,14,96
CTGF,0.890625,0.65625,0,0,500,gene,C_sample_broad,broad,14,96
CTSK,0.6575927734375,0.0340576171875,0.004,0,500,gene,C_sample_broad,broad,14,96
CXCL1,0.36669921875,0.008056640625,0.056,0.002,500,gene,C_sample_broad,broad,14,96
CXCL12,0.88330078125,0.454833984375,0,0,500,gene,C_sample_broad,broad,14,96
CXCL2,0.3177490234375,0.0040283203125,0.076,0.006,500,gene,C_sample_broad,broad,14,96
CXCL8,0.419677734375,0.0067138671875,0.038,0.002,500,gene,C_sample_broad,broad,14,96
CYR61,0.3125,0.1875,0,0,251,gene,C_sample_broad,broad,14,96
DCN,0.37109375,0.046875,0.002,0,500,gene,C_sample_broad,broad,14,96
ELN,0.284912109375,0.0068359375,0.048,0.002,500,gene,C_sample_broad,broad,14,96
EMCN,0.1875,0.0068359375,0.092,0.006,500,gene,C_sample_broad,broad,14,96
EPAS1,0.3934326171875,0.008544921875,0.018,0.002,500,gene,C_sample_broad,broad,14,96
FAP,0.8203125,0.234375,0,0,500,gene,C_sample_broad,broad,14,96
FBN1,0.2708740234375,0.001220703125,0.12,0.022,500,gene,C_sample_broad,broad,14,96
FCN1,0.63232421875,0.0198974609375,0.008,0,500,gene,C_sample_broad,broad,14,96
FGF2,0.697509765625,0.3955078125,0,0,500,gene,C_sample_broad,broad,14,96
FN1,0.35504150390625,0.0107421875,0.036,0,500,gene,C_sample_broad,broad,14,96
GATA1,0.419677734375,0.016357421875,0.022,0,500,gene,C_sample_broad,broad,14,96
GP9,0.169677734375,0.001708984375,0.116,0.012,500,gene,C_sample_broad,broad,14,96
GREM1,0.544921875,0.078125,0,0,500,gene,C_sample_broad,broad,14,96
HGF,0.580322265625,0.2274169921875,0,0,500,gene,C_sample_broad,broad,14,96
HIF1A,0.7513427734375,0.054931640625,0,0,500,gene,C_sample_broad,broad,14,96
IFNG,0.1878662109375,0.001220703125,0.166,0.052,500,gene,C_sample_broad,broad,14,96
IGF1,0.86328125,0.3424072265625,0,0,500,gene,C_sample_broad,broad,14,96
IGF2,0.91259765625,0.58984375,0,0,500,gene,C_sample_broad,broad,14,96
IL10,0.7928466796875,0.1527099609375,0,0,500,gene,C_sample_broad,broad,14,96
IL11,0.1219482421875,0.0008544921875,0.222,0.03,500,gene,C_sample_broad,broad,14,96
IL18,0.5,0.0133056640625,0.01,0,500,gene,C_sample_broad,broad,14,96
IL1B,0.2939453125,0.0003662109375,0.106,0.024,500,gene,C_sample_broad,broad,14,96
IL6,0.4609375,0.037109375,0.016,0,500,gene,C_sample_broad,broad,14,96
ITGA2B,0.3424072265625,0.0107421875,0.036,0,500,gene,C_sample_broad,broad,14,96
JAK2,0.7060546875,0.0635986328125,0,0,500,gene,C_sample_broad,broad,14,96
KITLG,0.83984375,0.41552734375,0,0,500,gene,C_sample_broad,broad,14,96
LDHA,0.7291259765625,0.0838623046875,0,0,500,gene,C_sample_broad,broad,14,96
LEPR,0.95635986328125,0.5269775390625,0,0,500,gene,C_sample_broad,broad,14,96
LOX,0.0838623046875,0.0040283203125,0.294,0.03,500,gene,C_sample_broad,broad,14,96
LOXL1,0.1878662109375,0.00244140625,0.12,0.016,500,gene,C_sample_broad,broad,14,96
LOXL2,0.20953369140625,0.0198974609375,0.018,0,500,gene,C_sample_broad,broad,14,96
LTBP1,0.86328125,0.2939453125,0,0,500,gene,C_sample_broad,broad,14,96
LTBP2,0.63232421875,0.108154296875,0,0,500,gene,C_sample_broad,broad,14,96
LUM,0.7216796875,0.212890625,0,0,500,gene,C_sample_broad,broad,14,96
LYVE1,0.048828125,0.00390625,0.508,0.09,500,gene,C_sample_broad,broad,14,96
MAF,0.2274169921875,0.001220703125,0.068,0.012,500,gene,C_sample_broad,broad,14,96
MGP,0.12933349609375,0.001708984375,0.162,0.01,500,gene,C_sample_broad,broad,14,96
MMP14,0.1527099609375,0.0040283203125,0.15,0.02,500,gene,C_sample_broad,broad,14,96
MMP2,0.8472900390625,0.05078125,0,0,500,gene,C_sample_broad,broad,14,96
MMP9,0.298828125,0.009765625,0.042,0.002,500,gene,C_sample_broad,broad,14,96
MPL,0.2071533203125,0.001708984375,0.096,0.008,500,gene,C_sample_broad,broad,14,96
MRC1,0.1878662109375,0.001220703125,0.182,0.036,500,gene,C_sample_broad,broad,14,96
MYH11,0.4462890625,0.0052490234375,0.03,0.006,500,gene,C_sample_broad,broad,14,96
NDRG1,0.6822509765625,0.0732421875,0,0,500,gene,C_sample_broad,broad,14,96
NECTIN1,0.5269775390625,0.0052490234375,0.01,0.002,500,gene,C_sample_broad,broad,14,96
NECTIN2,0.4730224609375,0.0030517578125,0.018,0.002,500,gene,C_sample_broad,broad,14,96
NECTIN3,0.8472900390625,0.2708740234375,0,0,500,gene,C_sample_broad,broad,14,96
NECTIN4,0.1697998046875,0.001708984375,0.154,0.008,500,gene,C_sample_broad,broad,14,96
NES,0.5,0.248046875,0,0,500,gene,C_sample_broad,broad,14,96
NFE2,0.7291259765625,0.13671875,0,0,500,gene,C_sample_broad,broad,14,96
NGFR,0.13916015625,0.00341796875,0.226,0.054,500,gene,C_sample_broad,broad,14,96
NLRP3,0.8302001953125,0.047119140625,0.002,0,500,gene,C_sample_broad,broad,14,96
OGN,0.6575927734375,0.108154296875,0,0,500,gene,C_sample_broad,broad,14,96
OSM,0.13671875,0.0006103515625,0.224,0.032,500,gene,C_sample_broad,broad,14,96
OSMR,0.2274169921875,0.02099609375,0.018,0,500,gene,C_sample_broad,broad,14,96
PDGFA,0.63232421875,0.13671875,0,0,500,gene,C_sample_broad,broad,14,96
PDGFB,0.169677734375,0.0008544921875,0.116,0.014,500,gene,C_sample_broad,broad,14,96
PDGFRA,0.24609375,0.02734375,0.014,0,500,gene,C_sample_broad,broad,14,96
PDGFRB,0.101806640625,0.00341796875,0.256,0.028,500,gene,C_sample_broad,broad,14,96
PECAM1,0.63232421875,0.0401611328125,0.002,0,500,gene,C_sample_broad,broad,14,96
PF4,0.5787353515625,0.054931640625,0,0,500,gene,C_sample_broad,broad,14,96
PGK1,0.2071533203125,0.0030517578125,0.076,0.006,500,gene,C_sample_broad,broad,14,96
PLAC8,0.3934326171875,0.0286865234375,0.026,0,500,gene,C_sample_broad,broad,14,96
PLOD1,0.6575927734375,0.095458984375,0,0,500,gene,C_sample_broad,broad,14,96
PLOD2,0.20953369140625,0.001220703125,0.114,0.024,500,gene,C_sample_broad,broad,14,96
POSTN,0.8125,0.6875,0,0,89,gene,C_sample_broad,broad,14,96
PPBP,0.8798828125,0.088134765625,0,0,500,gene,C_sample_broad,broad,14,96
PVR,0.3424072265625,0.0023193359375,0.062,0.01,500,gene,C_sample_broad,broad,14,96
RGS5,0.6575927734375,0.0732421875,0,0,500,gene,C_sample_broad,broad,14,96
RUNX2,0.5,0.1219482421875,0,0,500,gene,C_sample_broad,broad,14,96
S100A12,0.68170166015625,0.031982421875,0.002,0,500,gene,C_sample_broad,broad,14,96
S100A8,0.6822509765625,0.0401611328125,0.002,0,500,gene,C_sample_broad,broad,14,96
S100A9,0.7291259765625,0.047119140625,0.002,0,500,gene,C_sample_broad,broad,14,96
SELENOP,0.72802734375,0.054931640625,0,0,500,gene,C_sample_broad,broad,14,96
SELL,0.7725830078125,0.108154296875,0,0,500,gene,C_sample_broad,broad,14,96
SEPP1,,Inf,,,0,gene,C_sample_broad,broad,14,96
SERPINE1,0.36669921875,0.0107421875,0.038,0,500,gene,C_sample_broad,broad,14,96
SERPINH1,0.20953369140625,0.0067138671875,0.084,0.008,500,gene,C_sample_broad,broad,14,96
SFRP2,0.8125,0.3125,0,0,315,gene,C_sample_broad,broad,14,96
SFRP4,0.4609375,0.001953125,0.04,0.01,500,gene,C_sample_broad,broad,14,96
SLC2A1,0.108154296875,0.0001220703125,0.302,0.086,500,gene,C_sample_broad,broad,14,96
SNAI1,0.1697998046875,0.0008544921875,0.192,0.032,500,gene,C_sample_broad,broad,14,96
SNAI2,0.5,0.125,0,0,468,gene,C_sample_broad,broad,14,96
SP7,0.224609375,0.0078125,0.104,0.008,500,gene,C_sample_broad,broad,14,96
SPARC,0.64495849609375,0.047119140625,0.002,0,500,gene,C_sample_broad,broad,14,96
SPP1,0.05078125,0.00048828125,0.496,0.17,500,gene,C_sample_broad,broad,14,96
STAB1,0.86328125,0.0340576171875,0.002,0,500,gene,C_sample_broad,broad,14,96
TAGLN,0.5269775390625,0.0401611328125,0.004,0,500,gene,C_sample_broad,broad,14,96
TGFB1,0.5670166015625,0.02392578125,0.01,0,500,gene,C_sample_broad,broad,14,96
TGFB2,0.419677734375,0.02392578125,0.004,0,500,gene,C_sample_broad,broad,14,96
TGFB3,0.13671875,0.0107421875,0.13,0,500,gene,C_sample_broad,broad,14,96
TGFBR1,0.904541015625,0.3424072265625,0,0,500,gene,C_sample_broad,broad,14,96
TGFBR2,0.63232421875,0.1527099609375,0,0,500,gene,C_sample_broad,broad,14,96
TIGIT,0.545166015625,0.0198974609375,0.002,0,500,gene,C_sample_broad,broad,14,96
TIMP1,0.3177490234375,0.001708984375,0.044,0.002,500,gene,C_sample_broad,broad,14,96
TIMP2,0.8302001953125,0.108154296875,0,0,500,gene,C_sample_broad,broad,14,96
TIMP3,0.095458984375,0.001220703125,0.288,0.058,500,gene,C_sample_broad,broad,14,96
TNC,0.4212646484375,0.009765625,0.01,0.004,500,gene,C_sample_broad,broad,14,96
TNF,0.0732421875,0.0001220703125,0.392,0.164,500,gene,C_sample_broad,broad,14,96
TWIST1,0.849609375,0.15625,0,0,500,gene,C_sample_broad,broad,14,96
VCAM1,0.545166015625,0.0615234375,0,0,500,gene,C_sample_broad,broad,14,96
VCAN,0.8472900390625,0.0838623046875,0,0,500,gene,C_sample_broad,broad,14,96
VEGFA,0.5537109375,0.095458984375,0,0,500,gene,C_sample_broad,broad,14,96
VIM,0.7725830078125,0.2486572265625,0,0,500,gene,C_sample_broad,broad,14,96
VSIG4,0.2071533203125,0.0052490234375,0.12,0.012,500,gene,C_sample_broad,broad,14,96
VWF,0.8121337890625,0.13671875,0,0,500,gene,C_sample_broad,broad,14,96
ZEB1,0.2274169921875,0.0023193359375,0.098,0.008,500,gene,C_sample_broad,broad,14,96
ZEB2,0.8472900390625,0.2708740234375,0,0,500,gene,C_sample_broad,broad,14,96
ACTA2,0.740234375,0.232421875,0,0,500,gene,D_patient_broad,broad,11,74
ADAMTS1,0.38232421875,0.02685546875,0.014,0,500,gene,D_patient_broad,broad,11,74
ADM,0.07373046875,0.00048828125,0.42,0.184,500,gene,D_patient_broad,broad,11,74
ANGPT1,0.232421875,0.00927734375,0.054,0.006,500,gene,D_patient_broad,broad,11,74
ASPN,0.24609375,0.0009765625,0.104,0.026,500,gene,D_patient_broad,broad,11,74
BGLAP,0.68115234375,0.10302734375,0,0,500,gene,D_patient_broad,broad,11,74
BGN,0.1826171875,0.001953125,0.12,0.026,500,gene,D_patient_broad,broad,11,74
BNIP3,0.64990234375,0.05078125,0,0,500,gene,D_patient_broad,broad,11,74
C1QA,0.28857421875,0.005859375,0.082,0.012,500,gene,D_patient_broad,broad,11,74
C1QB,0.08740234375,0.0048828125,0.322,0.052,500,gene,D_patient_broad,broad,11,74
C1QC,0.1796875,0.009765625,0.154,0.002,500,gene,D_patient_broad,broad,11,74
CA9,0.1611328125,0.009765625,0.15,0.004,500,gene,D_patient_broad,broad,11,74
CALR,0.35009765625,0.00048828125,0.028,0.006,500,gene,D_patient_broad,broad,11,74
CCL2,0.41552734375,0.02099609375,0.034,0,500,gene,D_patient_broad,broad,11,74
CCL3,0.1201171875,0.00244140625,0.254,0.1,500,gene,D_patient_broad,broad,11,74
CCL4,0.15625,0.00390625,0.222,0.056,500,gene,D_patient_broad,broad,11,74
CCN1,0.078125,0.0078125,0.356,0.114,500,gene,D_patient_broad,broad,11,74
CCN2,0.109375,0.0078125,0.372,0.102,500,gene,D_patient_broad,broad,11,74
CD163,0.31884765625,0.009765625,0.044,0.002,500,gene,D_patient_broad,broad,11,74
CD226,0.79345703125,0.232421875,0,0,500,gene,D_patient_broad,broad,11,74
CD96,0.48291015625,0.0615234375,0,0,500,gene,D_patient_broad,broad,11,74
CDH2,0.34765625,0.01171875,0.056,0,500,gene,D_patient_broad,broad,11,74
CDH5,0.037109375,0.0078125,0.702,0.146,500,gene,D_patient_broad,broad,11,74
COL11A1,0.3125,0.1875,0,0,500,gene,D_patient_broad,broad,11,74
COL1A1,0.1826171875,0.0029296875,0.052,0.004,500,gene,D_patient_broad,broad,11,74
COL1A2,0.51708984375,0.048828125,0.002,0,500,gene,D_patient_broad,broad,11,74
COL3A1,0.2890625,0.109375,0,0,500,gene,D_patient_broad,broad,11,74
COL4A1,0.24609375,0.0390625,0.004,0,500,gene,D_patient_broad,broad,11,74
COL5A1,0.20654296875,0.0009765625,0.114,0.038,500,gene,D_patient_broad,broad,11,74
COL5A2,0.55078125,0.0615234375,0,0,500,gene,D_patient_broad,broad,11,74
COL6A1,0.61767578125,0.0615234375,0,0,500,gene,D_patient_broad,broad,11,74
COL6A2,0.55078125,0.02685546875,0.002,0,500,gene,D_patient_broad,broad,11,74
COL6A3,0.6875,0.16015625,0,0,500,gene,D_patient_broad,broad,11,74
CSF3R,0.16015625,0.00244140625,0.184,0.028,500,gene,D_patient_broad,broad,11,74
CTGF,0.5625,0.4375,0,0,316,gene,D_patient_broad,broad,11,74
CTSK,0.38232421875,0.01220703125,0.016,0,500,gene,D_patient_broad,broad,11,74
CXCL1,0.16015625,0.00146484375,0.16,0.054,500,gene,D_patient_broad,broad,11,74
CXCL12,0.55078125,0.07373046875,0,0,500,gene,D_patient_broad,broad,11,74
CXCL2,0.16015625,0.00048828125,0.168,0.038,500,gene,D_patient_broad,broad,11,74
CXCL8,0.08740234375,0.0009765625,0.34,0.108,500,gene,D_patient_broad,broad,11,74
CYR61,0.5625,0.125,0,0,333,gene,D_patient_broad,broad,11,74
DCN,0.315673828125,0.037109375,0.014,0,500,gene,D_patient_broad,broad,11,74
ELN,0.2529296875,0.0322265625,0.026,0,500,gene,D_patient_broad,broad,11,74
EMCN,0.24609375,0.0068359375,0.05,0.004,500,gene,D_patient_broad,broad,11,74
EPAS1,0.259765625,0.00341796875,0.102,0.026,500,gene,D_patient_broad,broad,11,74
FAP,0.673828125,0.09765625,0,0,500,gene,D_patient_broad,broad,11,74
FBN1,0.02685546875,0.00048828125,0.648,0.328,500,gene,D_patient_broad,broad,11,74
FCN1,0.38232421875,0.0048828125,0.046,0.01,500,gene,D_patient_broad,broad,11,74
FGF2,0.55078125,0.212890625,0,0,500,gene,D_patient_broad,broad,11,74
FN1,0.51708984375,0.02685546875,0.004,0,500,gene,D_patient_broad,broad,11,74
GATA1,0.51708984375,0.01611328125,0.016,0,500,gene,D_patient_broad,broad,11,74
GP9,0.232421875,0.00244140625,0.084,0.014,500,gene,D_patient_broad,broad,11,74
GREM1,0.52734375,0.02734375,0.006,0,500,gene,D_patient_broad,broad,11,74
HGF,0.38232421875,0.05078125,0,0,500,gene,D_patient_broad,broad,11,74
HIF1A,0.232421875,0.00244140625,0.098,0.02,500,gene,D_patient_broad,broad,11,74
IFNG,0.28857421875,0.0068359375,0.066,0.014,500,gene,D_patient_broad,broad,11,74
IGF1,0.61767578125,0.0615234375,0,0,500,gene,D_patient_broad,broad,11,74
IGF2,0.9501953125,0.578125,0,0,500,gene,D_patient_broad,broad,11,74
IL10,0.232421875,0.0009765625,0.04,0.004,500,gene,D_patient_broad,broad,11,74
IL11,0.20654296875,0.00048828125,0.134,0.02,500,gene,D_patient_broad,broad,11,74
IL18,0.58447265625,0.03369140625,0.004,0,500,gene,D_patient_broad,broad,11,74
IL1B,0.16015625,0.00048828125,0.172,0.046,500,gene,D_patient_broad,broad,11,74
IL6,0.08203125,0.001953125,0.408,0.208,500,gene,D_patient_broad,broad,11,74
ITGA2B,0.35009765625,0.0048828125,0.074,0.01,500,gene,D_patient_broad,broad,11,74
JAK2,0.51708984375,0.02099609375,0.006,0,500,gene,D_patient_broad,broad,11,74
KITLG,0.65234375,0.1376953125,0,0,500,gene,D_patient_broad,broad,11,74
LDHA,0.58447265625,0.02685546875,0.002,0,500,gene,D_patient_broad,broad,11,74
LEPR,0.96630859375,0.58447265625,0,0,500,gene,D_patient_broad,broad,11,74
LOX,0.28857421875,0.04150390625,0.004,0,500,gene,D_patient_broad,broad,11,74
LOXL1,0.232421875,0.0009765625,0.066,0.016,500,gene,D_patient_broad,broad,11,74
LOXL2,0.38232421875,0.0322265625,0.006,0,500,gene,D_patient_broad,broad,11,74
LTBP1,0.805419921875,0.10302734375,0,0,500,gene,D_patient_broad,broad,11,74
LTBP2,0.41552734375,0.02099609375,0.014,0,500,gene,D_patient_broad,broad,11,74
LUM,0.326171875,0.048828125,0.008,0,500,gene,D_patient_broad,broad,11,74
LYVE1,0.2890625,0.078125,0,0,500,gene,D_patient_broad,broad,11,74
MAF,0.68115234375,0.1201171875,0,0,500,gene,D_patient_broad,broad,11,74
MGP,0.232421875,0.00146484375,0.086,0.014,500,gene,D_patient_broad,broad,11,74
MMP14,0.08740234375,0.0009765625,0.342,0.108,500,gene,D_patient_broad,broad,11,74
MMP2,0.919921875,0.13916015625,0,0,500,gene,D_patient_broad,broad,11,74
MMP9,0.064453125,0.00390625,0.47,0.058,500,gene,D_patient_broad,broad,11,74
MPL,0.31884765625,0.01220703125,0.016,0,500,gene,D_patient_broad,broad,11,74
MRC1,0.48291015625,0.02685546875,0.006,0,500,gene,D_patient_broad,broad,11,74
MYH11,0.64990234375,0.02099609375,0.012,0,500,gene,D_patient_broad,broad,11,74
NDRG1,0.31884765625,0.00927734375,0.024,0.008,500,gene,D_patient_broad,broad,11,74
NECTIN1,0.38232421875,0.00244140625,0.05,0.008,500,gene,D_patient_broad,broad,11,74
NECTIN2,0.51708984375,0.02099609375,0.014,0,500,gene,D_patient_broad,broad,11,74
NECTIN3,0.61767578125,0.02685546875,0.002,0,500,gene,D_patient_broad,broad,11,74
NECTIN4,0.211181640625,0.001953125,0.122,0.014,500,gene,D_patient_broad,broad,11,74
NES,0.23046875,0.0419921875,0.042,0,500,gene,D_patient_broad,broad,11,74
NFE2,0.91259765625,0.35009765625,0,0,500,gene,D_patient_broad,broad,11,74
NGFR,0.1201171875,0.005859375,0.282,0.054,500,gene,D_patient_broad,broad,11,74
NLRP3,0.31884765625,0.00048828125,0.048,0.012,500,gene,D_patient_broad,broad,11,74
OGN,0.58447265625,0.07373046875,0,0,500,gene,D_patient_broad,broad,11,74
OSM,0.20654296875,0.00048828125,0.13,0.022,500,gene,D_patient_broad,broad,11,74
OSMR,0.61767578125,0.1376953125,0,0,500,gene,D_patient_broad,broad,11,74
PDGFA,0.86083984375,0.232421875,0,0,500,gene,D_patient_broad,broad,11,74
PDGFB,0.432373046875,0.02685546875,0.01,0,500,gene,D_patient_broad,broad,11,74
PDGFRA,0.2783203125,0.048828125,0.004,0,500,gene,D_patient_broad,broad,11,74
PDGFRB,0.10302734375,0.009765625,0.184,0.002,500,gene,D_patient_broad,broad,11,74
PECAM1,0.51708984375,0.01220703125,0.016,0,500,gene,D_patient_broad,broad,11,74
PF4,0.44921875,0.0009765625,0.014,0.002,500,gene,D_patient_broad,broad,11,74
PGK1,0.1826171875,0.00244140625,0.166,0.03,500,gene,D_patient_broad,broad,11,74
PLAC8,0.28857421875,0.00146484375,0.064,0.012,500,gene,D_patient_broad,broad,11,74
PLOD1,0.61767578125,0.04150390625,0.002,0,500,gene,D_patient_broad,broad,11,74
PLOD2,0.3125,0.013671875,0.04,0,500,gene,D_patient_broad,broad,11,74
POSTN,0.875,0.6875,0,0,141,gene,D_patient_broad,broad,11,74
PPBP,0.89697265625,0.232421875,0,0,500,gene,D_patient_broad,broad,11,74
PVR,0.35009765625,0.02099609375,0.014,0,500,gene,D_patient_broad,broad,11,74
RGS5,0.79345703125,0.28857421875,0,0,500,gene,D_patient_broad,broad,11,74
RUNX2,0.38232421875,0.04150390625,0.004,0,500,gene,D_patient_broad,broad,11,74
S100A12,0.232421875,0.00244140625,0.076,0.024,500,gene,D_patient_broad,broad,11,74
S100A8,0.259765625,0.0048828125,0.074,0.008,500,gene,D_patient_broad,broad,11,74
S100A9,0.31884765625,0.00244140625,0.06,0.006,500,gene,D_patient_broad,broad,11,74
SELENOP,0.9033203125,0.1611328125,0,0,500,gene,D_patient_broad,broad,11,74
SELL,0.8173828125,0.28857421875,0,0,500,gene,D_patient_broad,broad,11,74
SEPP1,,Inf,,,0,gene,D_patient_broad,broad,11,74
SERPINE1,0.16015625,0.00048828125,0.158,0.044,500,gene,D_patient_broad,broad,11,74
SERPINH1,0.51708984375,0.02099609375,0.006,0,500,gene,D_patient_broad,broad,11,74
SFRP2,0.78125,0.0625,0,0,500,gene,D_patient_broad,broad,11,74
SFRP4,0.48291015625,0.0009765625,0.022,0.004,500,gene,D_patient_broad,broad,11,74
SLC2A1,0.31884765625,0.0009765625,0.1,0.024,500,gene,D_patient_broad,broad,11,74
SNAI1,0.28857421875,0.02685546875,0.024,0,500,gene,D_patient_broad,broad,11,74
SNAI2,0.21875,0.0625,0,0,500,gene,D_patient_broad,broad,11,74
SP7,0.3203125,0.0078125,0.036,0.012,500,gene,D_patient_broad,broad,11,74
SPARC,0.66552734375,0.0615234375,0,0,500,gene,D_patient_broad,broad,11,74
SPP1,0.1201171875,0.0029296875,0.266,0.06,500,gene,D_patient_broad,broad,11,74
STAB1,0.71142578125,0.05078125,0,0,500,gene,D_patient_broad,broad,11,74
TAGLN,0.38232421875,0.01220703125,0.032,0,500,gene,D_patient_broad,broad,11,74
TGFB1,0.61767578125,0.02099609375,0.008,0,500,gene,D_patient_broad,broad,11,74
TGFB2,0.08740234375,0.00146484375,0.3,0.062,500,gene,D_patient_broad,broad,11,74
TGFB3,0.51708984375,0.1201171875,0,0,500,gene,D_patient_broad,broad,11,74
TGFBR1,0.91259765625,0.232421875,0,0,500,gene,D_patient_broad,broad,11,74
TGFBR2,0.86083984375,0.38232421875,0,0,500,gene,D_patient_broad,broad,11,74
TIGIT,0.89697265625,0.44921875,0,0,500,gene,D_patient_broad,broad,11,74
TIMP1,0.38232421875,0.01220703125,0.02,0,500,gene,D_patient_broad,broad,11,74
TIMP2,0.55078125,0.05078125,0,0,500,gene,D_patient_broad,broad,11,74
TIMP3,0.1201171875,0.0068359375,0.194,0.036,500,gene,D_patient_broad,broad,11,74
TNC,0.34765625,0.0322265625,0.006,0,500,gene,D_patient_broad,broad,11,74
TNF,0.05078125,0.00048828125,0.476,0.18,500,gene,D_patient_broad,broad,11,74
TWIST1,0.580810546875,0.0322265625,0.01,0,500,gene,D_patient_broad,broad,11,74
VCAM1,0.4609375,0.0322265625,0.002,0,500,gene,D_patient_broad,broad,11,74
VCAN,0.41552734375,0.0068359375,0.03,0.004,500,gene,D_patient_broad,broad,11,74
VEGFA,0.20654296875,0.0048828125,0.046,0.004,500,gene,D_patient_broad,broad,11,74
VIM,0.466064453125,0.0615234375,0,0,500,gene,D_patient_broad,broad,11,74
VSIG4,0.41552734375,0.01611328125,0.016,0,500,gene,D_patient_broad,broad,11,74
VWF,0.6875,0.0185546875,0.002,0,500,gene,D_patient_broad,broad,11,74
ZEB1,0.48291015625,0.02099609375,0.004,0,500,gene,D_patient_broad,broad,11,74
ZEB2,0.35009765625,0.01611328125,0.01,0,500,gene,D_patient_broad,broad,11,74
