gene,n_cells_mut,n_pos_mut,pct_mut,n_cells_WT,n_pos_WT,pct_WT,odds_ratio,p_cell_two_sided,p_sample_higher,interpretable
CD226,28444,1345,4.72858950921108,29208,441,1.50986031224322,3.23514565059591,2.44353611596859e-99,0.064453125,TRUE
TIGIT,28444,1244,4.37350583602869,29208,337,1.15379348123802,3.91393477924902,1.61400485792608e-107,0.09765625,TRUE
NECTIN4,28444,41,0.144142877232457,29208,94,0.321829635716242,0.450146383517271,1.85295553201384e-05,0.28515625,FALSE
NECTIN2,28444,3379,11.8794824919139,29208,3609,12.3562037797864,0.956225927852929,0.0795842443186923,0.58984375,TRUE
NECTIN1,28444,469,1.64885388834201,29208,1047,3.58463434675431,0.451190026527218,1.46269791541196e-45,0.751953125,TRUE
NECTIN3,28444,106,0.372662072844888,29208,83,0.284168720898384,1.31087011713292,0.0644750819190806,0.875,FALSE
PVR,28444,1011,3.55435241175643,29208,1225,4.19405642289784,0.841924959936315,7.13499027372648e-05,0.8984375,TRUE
