dataset,sample,n_cells_total,n_mono_dc,n_macrophage_like,n_monocyte_like,mac_score_p50,mac_score_p90,n_mac_markers_present,timepoint,uid_patient,mac_node_usable
GSE185381,GSM5613764_2020-01-03-count-1,7214,2220,21,2184,0,0.174360649271267,10,Diagnosis,GSE185381:AML012_AML005_AML055_AML048a,FALSE
GSE253355,GSM8019215_H24,3977,936,20,896,0,0,10,Healthy,GSE253355:H24,FALSE
GSE289435,GSM8791443_MLL_30862,3111,2945,20,2874,0,0.300779016290026,10,Diagnosis,GSE289435:MLL_30862,FALSE
GSE185991,GSM6412450_M85,6412,546,19,525,0,0.25942315645047,10,Post_treatment,GSE185991:PT17,FALSE
E-MTAB-11536,640C-BMA,1656,260,18,241,0.206428006977001,1.29086198473976,10,Healthy,E-MTAB-11536:640C,FALSE
GSE185991,GSM5628189_M42,3401,255,17,204,0,0.235329945944164,10,Relapse,GSE185991:PT10,FALSE
GSE239721,PT23A,4451,304,17,209,0,0.114924977766006,10,Diagnosis,GSE239721:PT23A,FALSE
GSE253355,GSM8019216_H32,3689,590,17,540,0,0.164073702096938,10,Healthy,GSE253355:H32,FALSE
GSE227903,6323_MRD,10615,8994,16,8887,0,0.256294933825619,10,MRD,GSE227903:6323,FALSE
GSE227903,4978_Dg,2679,138,15,120,0.064218636552999,0.216961331249822,10,Diagnosis,GSE227903:4978,FALSE
GSE185381,GSM5613757_2019-11-04-count-1,4225,914,14,868,0,0.177666016610341,10,Healthy,GSE185381:Control0058_PAXMIJ_PAUMTZa,FALSE
GSE227903,1886_R,1743,72,14,54,0.0651327751294793,0.243148450550832,10,Relapse,GSE227903:1886,FALSE
GSE289435,GSM8791444_MLL_30886,11881,1534,14,1275,0,0,10,Diagnosis,GSE289435:MLL_30886,FALSE
GSE185381,GSM5613759_2019-11-04-count-3,3522,1109,13,1050,0,0.189515703321942,10,Healthy,GSE185381:Control0058_PAXMIJ_PAUMTZc,FALSE
GSE185381,GSM5613784_2021-03-09-AML0693,2897,383,13,364,0,0.10139784289644,10,Diagnosis,GSE185381:AML0693,FALSE
GSE227903,1216_R,5745,884,13,767,0,0,10,Relapse,GSE227903:1216,FALSE
GSE289435,GSM8791442_MLL_29538,4632,3531,13,3386,0,0.176437617339183,10,Diagnosis,GSE289435:MLL_29538,FALSE
GSE147989,007C1D1BL,2378,59,12,45,0.0722733395311955,0.159265868580443,9,Post_treatment,GSE147989:007,FALSE
GSE185381,GSM5613763_2019-11-26-count-2,7929,3284,12,3265,0.0817019832437893,0.290974147784709,10,Diagnosis,GSE185381:AML073_AML006_AML025_AML003b,FALSE
GSE253355,GSM8019212_H14_MACS,4958,156,12,134,0,0.271145268683159,10,Healthy,GSE253355:H14_MACS,FALSE
GSE253355,GSM8019217_H33,5636,1664,12,1639,0,0,10,Healthy,GSE253355:H33,FALSE
Chen2023,NBM1_CD34,8364,3920,11,3896,0,0.207077180562243,9,Healthy,Chen2023:NBM1,FALSE
GSE185991,GSM5628164_M04,1284,33,11,21,0.128548767985112,0.25506528856788,10,Diagnosis,GSE185991:PT01,FALSE
GSE253355,GSM8019218_H34,3196,1244,11,1226,0,0,10,Healthy,GSE253355:H34,FALSE
Chen2023,NBM3_CD34,8712,2974,10,2900,0,0.19489686251949,9,Healthy,Chen2023:NBM3,FALSE
E-MTAB-11536,A36-BLD,2735,570,10,560,0.144951635962793,0.333195085162592,10,Healthy,E-MTAB-11536:A36,FALSE
GSE239721,PT17A,2475,51,10,37,0.104989641594405,0.267675945466412,10,Diagnosis,GSE239721:PT17A,FALSE
GSE289435,GSM8791438_MLL_28830,5502,3409,10,3337,0,0.122162254917794,10,Diagnosis,GSE289435:MLL_28830,FALSE
GSE185991,GSM5628178_M28,3602,501,9,457,0,0.159738766355958,10,Diagnosis,GSE185991:PT08,FALSE
GSE185991,GSM5628195_M48,2809,1472,9,1411,0,0.156578848192198,10,Diagnosis,GSE185991:PT15,FALSE
GSE201966,GSM6085177_AML01M4_P,4527,1298,9,1278,0,0.24305314487487,9,Diagnosis,GSE201966:AML01M4,FALSE
GSE253355,GSM8019213_H21,6785,602,9,586,0,0.0527448867463746,10,Healthy,GSE253355:H21,FALSE
GSE116256,AML328-D0,597,211,8,203,0.199486664093608,0.577029077641214,10,Diagnosis,GSE116256:AML328,FALSE
GSE185381,GSM5613765_2020-01-03-count-2,7821,2494,8,2452,0,0.168721848107741,10,Diagnosis,GSE185381:AML055,FALSE
GSE185991,GSM5628191_M44,600,21,8,7,0,0.136452118299535,10,Post_treatment,GSE185991:PT12_PT13,FALSE
GSE227903,1216_MRD,1832,933,8,919,0.0560605368220526,0.399643600188214,10,MRD,GSE227903:1216,FALSE
GSE253355,GSM8019221_H38,6294,841,8,815,0,0.0601662498689273,10,Healthy,GSE253355:H38,FALSE
GSE253355,GSM8019222_H39,7253,837,8,820,0,0.0400080427456934,10,Healthy,GSE253355:H39,FALSE
E-MTAB-11536,637C-BMA,1360,101,7,94,0.148843107167403,0.546532345619733,10,Healthy,E-MTAB-11536:637C,FALSE
E-MTAB-11536,A37-BMA,690,62,7,55,0.165577103517667,1.3478228114773,10,Healthy,E-MTAB-11536:A37,FALSE
GSE116256,AML210A-D0,595,265,7,252,0,0.236798569498166,10,Diagnosis,GSE116256:AML210A,FALSE
GSE185381,GSM5613758_2019-11-04-count-2,2995,675,7,649,0,0.137761320690995,10,Healthy,GSE185381:Control0058_PAXMIJ_PAUMTZb,FALSE
GSE185381,GSM5613762_2019-11-26-count-1,8406,3367,7,3359,0.0928584721541267,0.280593509246582,10,Diagnosis,GSE185381:AML073_AML006_AML025_AML003a,FALSE
GSE185381,GSM5613785_2021-03-09-AML3948,6754,1013,7,928,0,0.111561936074707,10,Diagnosis,GSE185381:AML3948,FALSE
GSE185991,GSM5628163_M03,1268,232,7,147,0,0.115427331298093,10,Diagnosis,GSE185991:PT01,FALSE
GSE185991,GSM5628172_M22,4601,3594,7,3573,0,0.229802881835313,10,Diagnosis,GSE185991:PT07,FALSE
GSE227903,40389_Dg,3114,1599,7,1480,0,0.110249982539854,10,Diagnosis,GSE227903:40389,FALSE
GSE253355,GSM8019219_H35,5724,1736,7,1724,0,0,10,Healthy,GSE253355:H35,FALSE
Chen2023,AML304_Niche_Immune,5574,236,6,213,0,0,9,Diagnosis,Chen2023:AML304,FALSE
GSE185381,GSM5613749_2019-08-01-count-3,4455,1955,6,1945,0,0.139594141183973,10,Healthy,GSE185381:Control1_Control2_Control3_Control4c,FALSE
GSE185381,GSM5613750_2019-08-01-count-4,4557,2188,6,2179,0,0.1425769085636,10,Healthy,GSE185381:Control1_Control2_Control3_Control4d,FALSE
GSE227903,3904_Dg,3265,60,6,37,0,0.125002174846053,10,Diagnosis,GSE227903:3904,FALSE
GSE227903,40389_R,5471,1239,6,1195,0,0.0903949049951374,10,Relapse,GSE227903:40389,FALSE
GSE239721,PT28A,7712,72,6,65,0,0.313059729085709,10,Diagnosis,GSE239721:PT28A,FALSE
GSE253355,GSM8019220_H36,8097,670,6,651,0,0.0345282102821907,10,Healthy,GSE253355:H36,FALSE
GSE253355,GSM8019223_H41,6710,444,6,426,0,0.0899970602789714,10,Healthy,GSE253355:H41,FALSE
GSE185381,GSM5613769_2020-03-18-count-1,5573,1425,5,1413,0,0.191763431546312,10,Unknown,GSE185381:Control0082_AML052_AML022a,FALSE
GSE227903,1886_MRD,2844,2199,5,2189,0,0.121357651695609,10,MRD,GSE227903:1886,FALSE
GSE227903,3853_R,528,55,5,50,0.13934999001707,0.266238848662648,10,Relapse,GSE227903:3853,FALSE
GSE227903,3904_R,9837,40,5,34,0,0.263463582694171,10,Relapse,GSE227903:3904,FALSE
Chen2023,NBM4_CD34,5130,1878,4,1865,0,0.212175775611067,9,Healthy,Chen2023:NBM4,FALSE
E-MTAB-11536,A35-BLD,1266,423,4,419,0.216299597690849,0.454143599395572,10,Healthy,E-MTAB-11536:A35,FALSE
GSE116256,AML328-D113,1647,48,4,44,0.245232926010394,0.800211234226955,10,Post_treatment,GSE116256:AML328,FALSE
GSE147989,007SCRBL,1354,21,4,16,0.0728130926400269,0.164774001280282,9,Diagnosis,GSE147989:007,FALSE
GSE185381,GSM5613756_2019-10-25-count-5,4914,3009,4,3002,0.116716740607241,0.327812478944687,10,Unknown,GSE185381:AML2451_Control0004,FALSE
GSE185381,GSM5613782_2020-10-06-count4_0.95,2555,831,4,551,0,0,10,Diagnosis,GSE185381:AML026_AML051,FALSE
GSE185991,GSM5628180_M30,2937,494,4,484,0,0.0817178711848109,10,Relapse,GSE185991:PT08,FALSE
GSE185991,GSM5628188_M41,2050,64,4,56,0,0.127869606008755,10,Diagnosis,GSE185991:PT13,FALSE
GSE227903,40389_MRD,3806,1089,4,1073,0,0.19316245522872,10,MRD,GSE227903:40389,FALSE
GSE227903,5750_MRD,2223,1670,4,1657,0,0.0790145617275738,10,MRD,GSE227903:5750,FALSE
GSE185381,GSM5613748_2019-08-01-count-2,5206,2153,3,2142,0,0.137266612228492,10,Healthy,GSE185381:Control1_Control2_Control3_Control4b,FALSE
GSE185381,GSM5613775_2020-08-26-Control4003-c2,2197,1069,3,1057,0,0.179260111489022,10,Healthy,GSE185381:Control4003b,FALSE
