dataset,sample,target,source,strength,n_lr,pair_id,arm,total,rel
GSE116256,AML556-D0,Mono_DC,LMPP_GMP,0.0853229639668886,2,2,TP53-WT,2.08264677715635,0.0409685237567692
GSE116256,AML556-D0,Mono_DC,Mono_DC,0.029565186552419,3,2,TP53-WT,2.08264677715635,0.0141959677832586
GSE116256,AML556-D0,Mono_DC,T_NK,0.0092852866756375,1,2,TP53-WT,2.08264677715635,0.00445840685875483
GSE116256,AML556-D0,T_NK,B_Plasma,0.213829823350245,4,2,TP53-WT,2.08264677715635,0.102672150503701
GSE116256,AML556-D0,T_NK,LMPP_GMP,0.178340016516371,4,2,TP53-WT,2.08264677715635,0.0856314275048968
GSE116256,AML556-D0,T_NK,Mono_DC,0.217398432025815,5,2,TP53-WT,2.08264677715635,0.104385647345659
GSE116256,AML556-D0,T_NK,T_NK,0.313552840357125,6,2,TP53-WT,2.08264677715635,0.15055497830758
GSE116256,AML556-D31,B_Plasma,B_Plasma,0.135352454982925,2,5,TP53-WT,2.6367459235625,0.0513331427853508
GSE116256,AML556-D31,B_Plasma,Erythroid,0.0765610985262866,1,5,TP53-WT,2.6367459235625,0.0290362062730888
GSE116256,AML556-D31,B_Plasma,LMPP_GMP,0.111212751167052,3,5,TP53-WT,2.6367459235625,0.0421780309483869
GSE116256,AML556-D31,B_Plasma,Megakaryocyte,0.0562246977126801,2,5,TP53-WT,2.6367459235625,0.0213235174501437
GSE116256,AML556-D31,B_Plasma,Mono_DC,0.0451258849759553,4,5,TP53-WT,2.6367459235625,0.0171142333331025
GSE116256,AML556-D31,B_Plasma,T_NK,0,0,5,TP53-WT,2.6367459235625,0
GSE116256,AML556-D31,Erythroid,B_Plasma,0,0,5,TP53-WT,2.6367459235625,0
GSE116256,AML556-D31,Erythroid,Erythroid,0,0,5,TP53-WT,2.6367459235625,0
GSE116256,AML556-D31,Erythroid,LMPP_GMP,0,0,5,TP53-WT,2.6367459235625,0
GSE116256,AML556-D31,Erythroid,Megakaryocyte,0,0,5,TP53-WT,2.6367459235625,0
GSE116256,AML556-D31,Erythroid,Mono_DC,0.0255556204027177,3,5,TP53-WT,2.6367459235625,0.00969210577869769
GSE116256,AML556-D31,Erythroid,T_NK,0,0,5,TP53-WT,2.6367459235625,0
GSE116256,AML556-D31,LMPP_GMP,B_Plasma,0.0759200127863241,1,5,TP53-WT,2.6367459235625,0.0287930710759378
