group,n_cells,HALLMARK_TGF_BETA_SIGNALING_UCell,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS_UCell,KEGG_TGF_BETA_SIGNALING_PATHWAY_UCell,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION_UCell,KEGG_ECM_RECEPTOR_INTERACTION_UCell,REACTOME_COLLAGEN_FORMATION_UCell,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION_UCell,HALLMARK_HYPOXIA_UCell,HALLMARK_INFLAMMATORY_RESPONSE_UCell,HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell,HALLMARK_IL6_JAK_STAT3_SIGNALING_UCell,HALLMARK_ANGIOGENESIS_UCell,HALLMARK_COAGULATION_UCell,HALLMARK_P53_PATHWAY_UCell,dataset,sample,unit,timepoint,uid_patient,study
T_NK,233,0.0721844530103236,0.0763959731920607,0.0347508974280827,0.0261015199061683,0.0164156692499069,0.0134618641143456,0.0360989056483999,0.0839185515366463,0.0524056798335396,0.0902748299131971,0.0592504530642758,0.0360822340579112,0.0214476939306658,0.0912009040629164,Chen2023,AML103_Niche_Immune,bin,Diagnosis,Chen2023:AML103,Chen 2023 Blood Cancer Discovery
Mono_DC,6,0.0952210274790921,0.0660592637336823,0.0323802414730013,0.035985108460383,0.0188087070162542,0.0305125854627401,0.0538933547695606,0.0809875550791949,0.056817315707991,0.0998809098487556,0.0487005810281672,0.042099473756578,0.0378034942682451,0.0777471120638323,Chen2023,AML103_Niche_Immune,bin,Diagnosis,Chen2023:AML103,Chen 2023 Blood Cancer Discovery
Erythroid,7,0.0549806415680779,0.0735605575992692,0.0349914976169377,0.0236257255130316,0.0174175330509562,0.00969132467929307,0.0342078803654366,0.0612596335425918,0.0264038176899913,0.0576759556984637,0.0484028492033418,0.0481614515532842,0.0281728362362984,0.0666214974735875,Chen2023,AML103_Niche_Immune,bin,Diagnosis,Chen2023:AML103,Chen 2023 Blood Cancer Discovery
LMPP_GMP,2,0.0261177136389361,0.076940501359106,0.0343847547880791,0.025365909836466,0.00638732336845545,0.0193575493678623,0.0269283672740265,0.0585155412647374,0.027449088960343,0.0436218292247231,0.028942860300619,0.0265684178947763,0.0159465880481641,0.0689746337977849,Chen2023,AML103_Niche_Immune,bin,Diagnosis,Chen2023:AML103,Chen 2023 Blood Cancer Discovery
HSC_MPP,4,0.0998129283782935,0.0667493948585961,0.0235122825505553,0.0464192485674202,0.0247835497835498,0.0430970933119438,0.0755202750982494,0.0905734190782424,0.0278536977491962,0.100936048588782,0.0402042282430213,0.04092370720366,0.0457482941507226,0.074876741693462,Chen2023,AML103_Niche_Immune,bin,Diagnosis,Chen2023:AML103,Chen 2023 Blood Cancer Discovery
Megakaryocyte,3,0.0639669664004695,0.0881478368839341,0.0484662446078392,0.0346448156084306,0.0333510305208418,0.0229046509555276,0.0377372871263547,0.0740371561271883,0.0282666428486364,0.0683523877575324,0.0527412003705107,0.0805208684891439,0.0639585834485763,0.0861986423722758,Chen2023,AML103_Niche_Immune,bin,Diagnosis,Chen2023:AML103,Chen 2023 Blood Cancer Discovery
LMPP_GMP,574,0.0757329550819965,0.073796809476393,0.0316546971817252,0.0260409853420757,0.0140619855020618,0.0166131195761695,0.0522229068868549,0.0895371075782416,0.0530871901736933,0.12700567213527,0.0514462521438672,0.044041059896159,0.0335604419011359,0.0897785514488126,Chen2023,AML162_CD34,bin,Diagnosis,Chen2023:AML162,Chen 2023 Blood Cancer Discovery
Mono_DC,1355,0.105176994384545,0.0780765736563646,0.0393865976118147,0.0408238226149754,0.024113768753468,0.0268828511592095,0.070331740777215,0.111333653690235,0.0724957911958541,0.172859049555126,0.0698650598669685,0.0679464730860605,0.050200865122795,0.106397319021422,Chen2023,AML162_CD34,bin,Diagnosis,Chen2023:AML162,Chen 2023 Blood Cancer Discovery
Erythroid,53,0.0638397406920968,0.0715161970766069,0.0298002162161511,0.0215153969812743,0.014899619189402,0.0135779727917336,0.0402325291377648,0.0723370880435735,0.0400672747005332,0.0816479942297451,0.0381181318681319,0.0403190714833046,0.0276265816100411,0.0781119941758175,Chen2023,AML162_CD34,bin,Diagnosis,Chen2023:AML162,Chen 2023 Blood Cancer Discovery
Megakaryocyte,35,0.0627719837227477,0.0722729242446128,0.0288436644985875,0.0245632630080502,0.0172608254279413,0.016206845749644,0.0436364007553718,0.0761716429337008,0.0375599448782728,0.0938453018935333,0.0416506523033617,0.0529442489111743,0.0320984786480281,0.0813219517174501,Chen2023,AML162_CD34,bin,Diagnosis,Chen2023:AML162,Chen 2023 Blood Cancer Discovery
unassigned,170,0.0529422121612275,0.0530958959555879,0.025046104471535,0.0195288906151057,0.0111476906371468,0.0120539367345426,0.0364081289536179,0.0630904419645671,0.0365313767522014,0.0825548935544207,0.0366892911010558,0.0362484807175205,0.0215488268161086,0.0667686673812076,Chen2023,AML162_CD34,bin,Diagnosis,Chen2023:AML162,Chen 2023 Blood Cancer Discovery
HSC_MPP,87,0.0951860452845953,0.0851230229041324,0.0386790294647422,0.0218835766019982,0.0135920971965214,0.0136118278281126,0.0502757963640545,0.0947152102762481,0.0599397157441287,0.154787013424335,0.055751010120808,0.0364676476026808,0.030067280236149,0.094484093251695,Chen2023,AML162_CD34,bin,Diagnosis,Chen2023:AML162,Chen 2023 Blood Cancer Discovery
T_NK,1,0.0434131924794064,0.0606629635952184,0.024565101110499,0.0305291297034334,0.0140978518337009,0.0171651197433254,0.0556341550553769,0.0932029296177206,0.0515541264737406,0.119019292604502,0.0515425666287736,0.0265402932463344,0.0116458722753269,0.0752929617720615,Chen2023,AML162_CD34,bin,Diagnosis,Chen2023:AML162,Chen 2023 Blood Cancer Discovery
Mono_DC,85,0.106100365820729,0.0868094493979226,0.0421214772403345,0.0339046682167035,0.0224611422613642,0.0230699856429337,0.0612550490721476,0.111535001996511,0.059026269886304,0.15058510392367,0.0649159199488814,0.0508314969592292,0.0348297488075667,0.100859634743501,Chen2023,AML162_niche_immune,bin,Diagnosis,Chen2023:AML162,Chen 2023 Blood Cancer Discovery
B_Plasma,735,0.0921214112256234,0.0762349534248587,0.0343304183934968,0.0255232636841772,0.0175280001733602,0.0226659827828615,0.0467075583359461,0.0907555249323739,0.0577432926725531,0.151660651398823,0.0708964294951276,0.0251168544066669,0.0193101390417622,0.0948888815976552,Chen2023,AML162_niche_immune,bin,Diagnosis,Chen2023:AML162,Chen 2023 Blood Cancer Discovery
Stromal,374,0.164848760584304,0.109711122413685,0.0917617199835737,0.0978910094141978,0.117739592328433,0.108071126405707,0.207312074786068,0.142868361122097,0.087062544300581,0.249018346888595,0.113953976213104,0.183654631121924,0.0913455608856588,0.0998793256950057,Chen2023,AML162_niche_immune,bin,Diagnosis,Chen2023:AML162,Chen 2023 Blood Cancer Discovery
T_NK,966,0.0930265185586167,0.0836991699821335,0.0457133440629029,0.0212605393140183,0.0150222867877854,0.0121076851284453,0.0428521980269498,0.100471352901103,0.0588189308219365,0.152015946615066,0.0682730529358555,0.0267507040478765,0.0191745134826229,0.101961514649198,Chen2023,AML162_niche_immune,bin,Diagnosis,Chen2023:AML162,Chen 2023 Blood Cancer Discovery
unassigned,93,0.106810306299143,0.0747651151447753,0.0456802322791477,0.0334546171935789,0.027400559810785,0.024872506656514,0.0612306046322227,0.100336967503755,0.0665247573057966,0.17838698152566,0.0727976563974895,0.0530918766741222,0.035136020478634,0.10044370685383,Chen2023,AML162_niche_immune,bin,Diagnosis,Chen2023:AML162,Chen 2023 Blood Cancer Discovery
LMPP_GMP,87,0.0823058759245166,0.0786640556697388,0.0362713744477764,0.0286181274967573,0.0163286832447535,0.0197526327550865,0.0535308176565522,0.0918856077498943,0.056937247703408,0.13304696258516,0.0561480895904201,0.0441646419074934,0.0362112139782375,0.0868472730408644,Chen2023,AML162_niche_immune,bin,Diagnosis,Chen2023:AML162,Chen 2023 Blood Cancer Discovery
Erythroid,2,0.0856788027416211,0.0849003541116787,0.047848857167948,0.0167378594245485,0.00306297476108797,0.00749589396890875,0.0329653447659878,0.0812942122186496,0.0507458020721686,0.107019471239728,0.0374984211191108,0.041572917838527,0.0209463600950311,0.074194355126831,Chen2023,AML162_niche_immune,bin,Diagnosis,Chen2023:AML162,Chen 2023 Blood Cancer Discovery
HSC_MPP,16,0.11811450669685,0.0819184186221598,0.0447318156779154,0.0330036451390004,0.0293856693620845,0.019394551392231,0.0657584181850661,0.10105093336906,0.0709339272954627,0.181326701500536,0.0711308043608691,0.0667761184235197,0.044077904249553,0.0979607672382994,Chen2023,AML162_niche_immune,bin,Diagnosis,Chen2023:AML162,Chen 2023 Blood Cancer Discovery
Mono_DC,9197,0.0571863232142025,0.052136076298899,0.0249304257062676,0.02948035979561,0.0163178714287465,0.0181484163385349,0.0393960950343291,0.0569980724021764,0.0474640630868843,0.0760861915260981,0.0473195851417243,0.061427032327911,0.0353999238343019,0.0658524839347751,Chen2023,AML24_CD34,bin,Diagnosis,Chen2023:AML24,Chen 2023 Blood Cancer Discovery
unassigned,365,0.049611213185416,0.0499152121477148,0.0236504592621076,0.0260591946524034,0.0152881322175713,0.0151601417529077,0.0346395581592251,0.0500733432194473,0.0388683678613204,0.0627629632892374,0.0422536967441313,0.0579795920359215,0.0320988265999725,0.0612878278445824,Chen2023,AML24_CD34,bin,Diagnosis,Chen2023:AML24,Chen 2023 Blood Cancer Discovery
HSC_MPP,23,0.0634192618838666,0.0755429049489805,0.030738396997942,0.0235263842606347,0.0118118960612808,0.013434402312995,0.0324929710921603,0.0595696444382311,0.0426941298911102,0.07065683396244,0.0398044453048201,0.0372888001943454,0.034078332625247,0.0794379203752893,Chen2023,AML24_CD34,bin,Diagnosis,Chen2023:AML24,Chen 2023 Blood Cancer Discovery
LMPP_GMP,15,0.0420394474837033,0.0606137935763821,0.0248708675624107,0.028877349147742,0.0142968771270658,0.0160391123333715,0.0369472430629987,0.056497320471597,0.0288422055496011,0.0498966297487198,0.0329330870279146,0.0469006637417032,0.0309771422106726,0.0669597475288794,Chen2023,AML24_CD34,bin,Diagnosis,Chen2023:AML24,Chen 2023 Blood Cancer Discovery
T_NK,3,0.0554256010396362,0.0720727424468577,0.0270958573835014,0.0213555008038267,0.0207955566446133,0.00838776211756619,0.0340383470287007,0.0733226152197213,0.0459777301417173,0.075492437775396,0.0446678560902699,0.029843376957788,0.0291366317307383,0.092968917470525,Chen2023,AML24_CD34,bin,Diagnosis,Chen2023:AML24,Chen 2023 Blood Cancer Discovery
B_Plasma,1,0.0746022763000692,0.0826603460577171,0.024932340191124,0.0251826931801525,0.0114351057747284,0.0146021924296246,0.0359110396570204,0.0594426580921757,0.0664022865309039,0.0870721686316541,0.0301803081975496,0,0.00709187524378319,0.0580332261521972,Chen2023,AML24_CD34,bin,Diagnosis,Chen2023:AML24,Chen 2023 Blood Cancer Discovery
Megakaryocyte,3,0.0539961013645224,0.0690875240925797,0.0226929801451393,0.0269489405230264,0.0213700345775817,0.0115694587678087,0.047449088960343,0.0549047278790044,0.042101345718709,0.0582583065380493,0.0439086775293672,0.0846645666929164,0.0432097827353363,0.0792187686078361,Chen2023,AML24_CD34,bin,Diagnosis,Chen2023:AML24,Chen 2023 Blood Cancer Discovery
Erythroid,3,0.0387222536628309,0.075227940243107,0.0272568571253696,0.0279846478013613,0.0202306079664571,0.0115363558814917,0.0249714183637013,0.0514368226747648,0.0231046802429439,0.0421186137906395,0.0468059239610964,0.0181028987137661,0.0221148309685306,0.0634059783255925,Chen2023,AML24_CD34,bin,Diagnosis,Chen2023:AML24,Chen 2023 Blood Cancer Discovery
Erythroid,43,0.052786880930759,0.0750317827116097,0.0344845480165098,0.0196102285780975,0.00855448485988197,0.00879361297870016,0.021006464102628,0.0519477055759117,0.0288350490623728,0.0476394393346461,0.0376474050541813,0.0214017673616289,0.0177542505012907,0.0658504698521897,Chen2023,AML24_Niche_Immune,bin,Diagnosis,Chen2023:AML24,Chen 2023 Blood Cancer Discovery
T_NK,1239,0.0649014147867898,0.0767746773862473,0.0370452631993161,0.0257589441504894,0.0171278845772884,0.0136695221528381,0.0360564334489344,0.0781047393554888,0.0501405725150888,0.0857334151104931,0.0533183010874628,0.0395626410602071,0.0224808949578595,0.089099070029911,Chen2023,AML24_Niche_Immune,bin,Diagnosis,Chen2023:AML24,Chen 2023 Blood Cancer Discovery
unassigned,130,0.10031513163941,0.0876548796670132,0.0533249568432669,0.0540546673760887,0.0564781759121382,0.0506722432298231,0.087348146315992,0.0864625553082145,0.050367782449776,0.123449954654135,0.067506934930675,0.0953511398415212,0.0555780521268417,0.0835888504136093,Chen2023,AML24_Niche_Immune,bin,Diagnosis,Chen2023:AML24,Chen 2023 Blood Cancer Discovery
Stromal,203,0.136595505572732,0.108444418684647,0.0766743130892889,0.110493846665231,0.125039863937531,0.134578417056102,0.210015337990169,0.127312340614259,0.0605047721124892,0.182089900157868,0.0893630833381555,0.187263653662457,0.109018454771216,0.0949426519323403,Chen2023,AML24_Niche_Immune,bin,Diagnosis,Chen2023:AML24,Chen 2023 Blood Cancer Discovery
B_Plasma,535,0.0636882478530766,0.0752035059113862,0.0351241125584052,0.0218882179769085,0.0131710128465551,0.0154235985502792,0.0270845328605343,0.0646605095945481,0.0454773133261879,0.0815370609663665,0.0517302911397336,0.0196261682242991,0.0173736504073828,0.0763378576460885,Chen2023,AML24_Niche_Immune,bin,Diagnosis,Chen2023:AML24,Chen 2023 Blood Cancer Discovery
Megakaryocyte,13,0.0610803960549292,0.0713864834188394,0.0443818868842221,0.035401932154984,0.0378068472408095,0.0223588450814302,0.0448737186357765,0.0493085442603128,0.02329252205458,0.0330329513287713,0.042552054488394,0.0714935774841276,0.0632061432784804,0.0683206914557397,Chen2023,AML24_Niche_Immune,bin,Diagnosis,Chen2023:AML24,Chen 2023 Blood Cancer Discovery
Mono_DC,5,0.078939822674967,0.079023807335233,0.0424600228326907,0.0340126890621401,0.0146459201176182,0.0185050227264047,0.0426873883529832,0.0744051446945338,0.0553704894605216,0.0850046445158986,0.0627755147151699,0.0545486931413358,0.0408502145292261,0.0799421221864952,Chen2023,AML24_Niche_Immune,bin,Diagnosis,Chen2023:AML24,Chen 2023 Blood Cancer Discovery
LMPP_GMP,2,0.0529900018864366,0.0794311014230124,0.0464677188864673,0.0189742659119303,0.00769010863350489,0.0110137122340629,0.0211084315827082,0.0539335476956056,0.0199294390853876,0.0488951411218292,0.0357281009220664,0.0302246221922226,0.0134543004624916,0.0781359414076457,Chen2023,AML24_Niche_Immune,bin,Diagnosis,Chen2023:AML24,Chen 2023 Blood Cancer Discovery
Mono_DC,1572,0.0814449047733565,0.0787693633192595,0.0345098949886776,0.0436992615514051,0.0175602499345838,0.0275718614969794,0.0617644944532172,0.116008674262982,0.0646509215395903,0.145927004328154,0.0654701817898548,0.0744886204189625,0.0518764374275353,0.103140103881157,Chen2023,AML304_CD34,bin,Diagnosis,Chen2023:AML304,Chen 2023 Blood Cancer Discovery
HSC_MPP,654,0.0766951535888157,0.079356830372591,0.0293932561945716,0.0246299037772197,0.0101591847653818,0.0154524191563623,0.0400072573975196,0.0847171690850708,0.0497970769377006,0.111003897197885,0.0419140367436002,0.034422949873677,0.0346823139645669,0.0914054768358731,Chen2023,AML304_CD34,bin,Diagnosis,Chen2023:AML304,Chen 2023 Blood Cancer Discovery
LMPP_GMP,297,0.0577045899689426,0.0747218411372592,0.029207186413455,0.0307405333869962,0.0153928404357221,0.016740813788291,0.04257892729847,0.0841032030438961,0.0460290652144886,0.0857153528857709,0.0489164145773341,0.0464491352948997,0.0338510743380835,0.0834857386536558,Chen2023,AML304_CD34,bin,Diagnosis,Chen2023:AML304,Chen 2023 Blood Cancer Discovery
T_NK,39,0.078367893817809,0.0806017373257009,0.0380871347388724,0.0268721043640254,0.0149877376292471,0.0142391379930053,0.0437451562371177,0.0999554786049963,0.0585649178735995,0.138872857522375,0.0681380217189236,0.0349678321328676,0.0232664813686956,0.104103342768938,Chen2023,AML304_CD34,bin,Diagnosis,Chen2023:AML304,Chen 2023 Blood Cancer Discovery
unassigned,102,0.0838625835796182,0.0766473179338224,0.0330212662109208,0.0420186102960166,0.0187247054339174,0.0253592449546183,0.0607114235476256,0.112278895123609,0.0680232961351744,0.160940602035741,0.0659764790089334,0.0659725209317236,0.0489936837613637,0.103156431918963,Chen2023,AML304_CD34,bin,Diagnosis,Chen2023:AML304,Chen 2023 Blood Cancer Discovery
Erythroid,2,0.0753631390303716,0.0844702988282361,0.0199766084672559,0.0181634595027209,0.0078105856407743,0.0131259310186777,0.0292595569846374,0.0913102893890678,0.0445060735977135,0.100012504465881,0.0443922098016926,0.0445822552218098,0.0175359279465475,0.102731332618793,Chen2023,AML304_CD34,bin,Diagnosis,Chen2023:AML304,Chen 2023 Blood Cancer Discovery
Megakaryocyte,1,0.0807834999685594,0.0902962894873917,0.0446195482959308,0.0264948734234644,0.0298864657355223,0.016229326610901,0.025182207931404,0.0802357984994641,0.0345480528760271,0.0537066809574848,0.0597843248705318,0.087420782240222,0.0638471396947454,0.0733154698106466,Chen2023,AML304_CD34,bin,Diagnosis,Chen2023:AML304,Chen 2023 Blood Cancer Discovery
Stromal,1,0.163717537571527,0.0972187569760876,0.123875330315586,0.0767962793641044,0.0859225679980397,0.077896184255758,0.179306895319757,0.147545551982851,0.0855537692032868,0.302029296177206,0.112593943412909,0.126307796152548,0.0797582683666904,0.103070739549839,Chen2023,AML304_CD34,bin,Diagnosis,Chen2023:AML304,Chen 2023 Blood Cancer Discovery
T_NK,1895,0.0717303600306408,0.0689924871307948,0.0338953435184146,0.0224913461609824,0.0147718679156923,0.0108636396573116,0.0395042236154828,0.0903418946268974,0.0508004658655891,0.131691602070472,0.0620490003809311,0.0282301121631758,0.0192087036368823,0.090193698088556,Chen2023,AML304_Niche_Immune,bin,Diagnosis,Chen2023:AML304,Chen 2023 Blood Cancer Discovery
Stromal,1892,0.151837537401363,0.104365712031804,0.0808386903941796,0.0865029882508146,0.0884434134947715,0.0871222982339646,0.18241555425639,0.14008576095963,0.0724038107841293,0.215587786373418,0.0966909306110889,0.162058872123506,0.0923296935477761,0.0960299812602961,Chen2023,AML304_Niche_Immune,bin,Diagnosis,Chen2023:AML304,Chen 2023 Blood Cancer Discovery
