arm_frac_min,arm_event_min,subclone_mal_min,n_Dg,n_Healthy,ck_Dg,ck_Healthy,ck_healthy_fpr,p17_Dg,p17_Healthy,p17_healthy_fpr,ck_auc_Dg_vs_H
0.5,2,0,73,26,69,21,0.807692307692308,10,3,0.115384615384615,0.463119072708114
0.5,2,0.5,73,26,48,16,0.615384615384615,9,3,0.115384615384615,0.513435194942044
0.5,2,0.8,73,26,30,11,0.423076923076923,5,3,0.115384615384615,0.480505795574289
0.5,3,0,73,26,67,21,0.807692307692308,10,3,0.115384615384615,0.463119072708114
0.5,3,0.5,73,26,46,16,0.615384615384615,9,3,0.115384615384615,0.513435194942044
0.5,3,0.8,73,26,30,11,0.423076923076923,5,3,0.115384615384615,0.480505795574289
0.5,4,0,73,26,66,21,0.807692307692308,10,3,0.115384615384615,0.463119072708114
0.5,4,0.5,73,26,46,15,0.576923076923077,9,3,0.115384615384615,0.513435194942044
0.5,4,0.8,73,26,28,11,0.423076923076923,5,3,0.115384615384615,0.480505795574289
0.5,5,0,73,26,57,21,0.807692307692308,10,3,0.115384615384615,0.463119072708114
0.5,5,0.5,73,26,42,15,0.576923076923077,9,3,0.115384615384615,0.513435194942044
0.5,5,0.8,73,26,27,10,0.384615384615385,5,3,0.115384615384615,0.480505795574289
0.6,2,0,73,26,68,21,0.807692307692308,8,2,0.0769230769230769,0.454162276080084
0.6,2,0.5,73,26,46,16,0.615384615384615,7,2,0.0769230769230769,0.510800842992624
0.6,2,0.8,73,26,29,11,0.423076923076923,5,2,0.0769230769230769,0.483930453108535
0.6,3,0,73,26,64,21,0.807692307692308,8,2,0.0769230769230769,0.454162276080084
0.6,3,0.5,73,26,45,15,0.576923076923077,7,2,0.0769230769230769,0.510800842992624
0.6,3,0.8,73,26,27,11,0.423076923076923,5,2,0.0769230769230769,0.483930453108535
0.6,4,0,73,26,55,21,0.807692307692308,8,2,0.0769230769230769,0.454162276080084
0.6,4,0.5,73,26,42,15,0.576923076923077,7,2,0.0769230769230769,0.510800842992624
0.6,4,0.8,73,26,27,10,0.384615384615385,5,2,0.0769230769230769,0.483930453108535
0.6,5,0,73,26,50,21,0.807692307692308,8,2,0.0769230769230769,0.454162276080084
0.6,5,0.5,73,26,37,13,0.5,7,2,0.0769230769230769,0.510800842992624
0.6,5,0.8,73,26,24,10,0.384615384615385,5,2,0.0769230769230769,0.483930453108535
0.7,2,0,73,26,65,21,0.807692307692308,6,1,0.0384615384615385,0.451791359325606
0.7,2,0.5,73,26,44,16,0.615384615384615,5,1,0.0384615384615385,0.48577449947313
0.7,2,0.8,73,26,29,10,0.384615384615385,4,1,0.0384615384615385,0.478925184404637
0.7,3,0,73,26,57,21,0.807692307692308,6,1,0.0384615384615385,0.451791359325606
0.7,3,0.5,73,26,41,15,0.576923076923077,5,1,0.0384615384615385,0.48577449947313
0.7,3,0.8,73,26,23,10,0.384615384615385,4,1,0.0384615384615385,0.478925184404637
0.7,4,0,73,26,48,21,0.807692307692308,6,1,0.0384615384615385,0.451791359325606
0.7,4,0.5,73,26,38,14,0.538461538461538,5,1,0.0384615384615385,0.48577449947313
0.7,4,0.8,73,26,22,10,0.384615384615385,4,1,0.0384615384615385,0.478925184404637
0.7,5,0,73,26,45,19,0.730769230769231,6,1,0.0384615384615385,0.451791359325606
0.7,5,0.5,73,26,33,13,0.5,5,1,0.0384615384615385,0.48577449947313
0.7,5,0.8,73,26,21,10,0.384615384615385,4,1,0.0384615384615385,0.478925184404637
