arm,direction,Diagnosis,Healthy,pct_Diagnosis,pct_Healthy,enrichment_pp,is_canonical
8q,gain,13,1,17.8,3.8,14,TRUE
18p,gain,10,0,13.7,0,13.7,FALSE
19q,loss,32,8,43.8,30.8,13,FALSE
6q,loss,15,2,20.5,7.7,12.8,FALSE
7p,loss,9,0,12.3,0,12.3,TRUE
13q,gain,17,3,23.3,11.5,11.8,FALSE
7q,loss,8,0,11,0,11,TRUE
19q,gain,32,9,43.8,34.6,9.2,FALSE
3q,gain,23,6,31.5,23.1,8.4,FALSE
21q,gain,25,7,34.2,26.9,7.3,FALSE
14q,gain,8,1,11,3.8,7.2,FALSE
17p,loss,5,0,6.8,0,6.8,TRUE
5q,loss,5,0,6.8,0,6.8,TRUE
22q,gain,27,8,37,30.8,6.2,FALSE
13q,loss,4,0,5.5,0,5.5,FALSE
3p,gain,4,0,5.5,0,5.5,FALSE
18q,gain,12,3,16.4,11.5,4.9,FALSE
10p,gain,51,17,69.9,65.4,4.5,FALSE
1p,gain,3,0,4.1,0,4.1,FALSE
10p,loss,5,1,6.8,3.8,3,FALSE
11q,gain,2,0,2.7,0,2.7,FALSE
2q,gain,2,0,2.7,0,2.7,FALSE
16q,gain,7,2,9.6,7.7,1.9,FALSE
10q,loss,1,0,1.4,0,1.4,FALSE
11q,loss,1,0,1.4,0,1.4,FALSE
12q,loss,1,0,1.4,0,1.4,FALSE
15q,loss,1,0,1.4,0,1.4,FALSE
16p,gain,1,0,1.4,0,1.4,FALSE
17q,gain,1,0,1.4,0,1.4,FALSE
2p,loss,1,0,1.4,0,1.4,FALSE
3q,loss,1,0,1.4,0,1.4,FALSE
9p,loss,1,0,1.4,0,1.4,FALSE
9q,loss,1,0,1.4,0,1.4,FALSE
6p,loss,3,1,4.1,3.8,0.3,FALSE
4q,loss,8,3,11,11.5,-0.5,FALSE
5p,gain,8,3,11,11.5,-0.5,FALSE
9p,gain,19,7,26,26.9,-0.899999999999999,FALSE
10q,gain,13,5,17.8,19.2,-1.4,FALSE
8p,gain,24,9,32.9,34.6,-1.7,TRUE
14q,loss,1,1,1.4,3.8,-2.4,FALSE
17q,loss,1,1,1.4,3.8,-2.4,FALSE
3p,loss,6,3,8.2,11.5,-3.3,FALSE
12p,loss,3,2,4.1,7.7,-3.6,FALSE
20p,loss,3,2,4.1,7.7,-3.6,FALSE
2p,gain,3,2,4.1,7.7,-3.6,FALSE
4p,loss,3,2,4.1,7.7,-3.6,FALSE
20q,loss,0,1,0,3.8,-3.8,TRUE
21q,loss,0,1,0,3.8,-3.8,FALSE
17p,gain,28,11,38.4,42.3,-3.9,FALSE
8q,loss,8,4,11,15.4,-4.4,FALSE
22q,loss,5,3,6.8,11.5,-4.7,FALSE
5q,gain,5,3,6.8,11.5,-4.7,FALSE
7p,gain,19,8,26,30.8,-4.8,FALSE
19p,gain,38,15,52.1,57.7,-5.6,FALSE
15q,gain,4,3,5.5,11.5,-6,FALSE
8p,loss,4,3,5.5,11.5,-6,FALSE
16q,loss,1,2,1.4,7.7,-6.3,FALSE
19p,loss,9,5,12.3,19.2,-6.9,FALSE
7q,gain,8,5,11,19.2,-8.2,FALSE
6q,gain,10,6,13.7,23.1,-9.4,FALSE
6p,gain,7,5,9.6,19.2,-9.6,FALSE
16p,loss,6,5,8.2,19.2,-11,FALSE
2q,loss,6,5,8.2,19.2,-11,FALSE
18p,loss,14,8,19.2,30.8,-11.6,FALSE
4q,gain,14,8,19.2,30.8,-11.6,FALSE
18q,loss,21,11,28.8,42.3,-13.5,FALSE
12p,gain,23,12,31.5,46.2,-14.7,FALSE
20q,gain,14,9,19.2,34.6,-15.4,FALSE
5p,loss,25,14,34.2,53.8,-19.6,FALSE
20p,gain,39,19,53.4,73.1,-19.7,FALSE
9q,gain,7,8,9.6,30.8,-21.2,FALSE
1q,gain,15,11,20.5,42.3,-21.8,FALSE
4p,gain,11,10,15.1,38.5,-23.4,FALSE
11p,gain,18,14,24.7,53.8,-29.1,FALSE
12q,gain,5,12,6.8,46.2,-39.4,FALSE
